packet_number,frame_name,frame_len,length,dbm_antsignal,channel_freq,type,subtype,ds,frag,retry,pwrmgt,moredata,protected,duration,label
4,S1G Beacon,61,34,-80,920,3,1,,,,,,,0,0
6,S1G Beacon,61,34,-80,920,3,1,,,,,,,0,0
7,S1G Beacon,61,34,-78,920,3,1,,,,,,,0,0
8,S1G Beacon,129,34,-78,920,3,1,,,,,,,0,0
11,S1G Beacon,61,34,-79,920,3,1,,,,,,,0,0
12,S1G Beacon,129,34,-74,920,3,1,,,,,,,0,0
15,S1G Beacon,61,34,-74,920,3,1,,,,,,,0,0
16,S1G Beacon,129,34,-78,920,3,1,,,,,,,0,0
17,S1G Beacon,129,34,-79,920,3,1,,,,,,,0,0
18,S1G Beacon,61,34,-78,920,3,1,,,,,,,0,0
19,S1G Beacon,129,34,-79,920,3,1,,,,,,,0,0
20,S1G Beacon,61,34,-78,920,3,1,,,,,,,0,0
21,S1G Beacon,61,34,-77,920,3,1,,,,,,,0,0
22,S1G Beacon,129,34,-72,920,3,1,,,,,,,0,0
23,S1G Beacon,61,34,-71,920,3,1,,,,,,,0,0
24,S1G Beacon,129,34,-71,920,3,1,,,,,,,0,0
26,S1G Beacon,61,34,-69,920,3,1,,,,,,,0,0
27,S1G Beacon,129,34,-71,920,3,1,,,,,,,0,0
30,S1G Beacon,61,34,-69,920,3,1,,,,,,,0,0
31,S1G Beacon,129,34,-71,920,3,1,,,,,,,0,0
32,S1G Beacon,61,34,-73,920,3,1,,,,,,,0,0
33,S1G Beacon,129,34,-69,920,3,1,,,,,,,0,0
34,S1G Beacon,61,34,-72,920,3,1,,,,,,,0,0
36,S1G Beacon,129,34,-72,920,3,1,,,,,,,0,0
37,S1G Beacon,61,34,-71,920,3,1,,,,,,,0,0
38,S1G Beacon,129,34,-70,920,3,1,,,,,,,0,0
39,S1G Beacon,61,34,-70,920,3,1,,,,,,,0,0
40,S1G Beacon,129,34,-70,920,3,1,,,,,,,0,0
41,S1G Beacon,61,34,-70,920,3,1,,,,,,,0,0
42,S1G Beacon,129,34,-70,920,3,1,,,,,,,0,0
43,S1G Beacon,61,34,-71,920,3,1,,,,,,,0,0
44,S1G Beacon,129,34,-72,920,3,1,,,,,,,0,0
45,S1G Beacon,61,34,-75,920,3,1,,,,,,,0,0
46,S1G Beacon,129,34,-75,920,3,1,,,,,,,0,0
47,S1G Beacon,61,34,-77,920,3,1,,,,,,,0,0
48,S1G Beacon,129,34,-73,920,3,1,,,,,,,0,0
50,S1G Beacon,61,34,-76,920,3,1,,,,,,,0,0
52,S1G Beacon,61,34,-79,920,3,1,,,,,,,0,0
53,S1G Beacon,61,34,-77,920,3,1,,,,,,,0,0
54,S1G Beacon,129,34,-76,920,3,1,,,,,,,0,0
56,S1G Beacon,61,34,-71,920,3,1,,,,,,,0,0
57,S1G Beacon,129,34,-71,920,3,1,,,,,,,0,0
58,S1G Beacon,129,34,-72,920,3,1,,,,,,,0,0
59,S1G Beacon,61,34,-72,920,3,1,,,,,,,0,0
