packet_number,frame_name,frame_len,length,dbm_antsignal,channel_freq,type,subtype,ds,frag,retry,pwrmgt,moredata,protected,duration,label
1,S1G Beacon,129,34,-79,920,3,1,,,,,,,0,0
3,QoS Data,133,34,-64,920,2,8,1,0,0,0,0,0,720,0
6,QoS Data,115,34,-47,920,2,8,1,0,0,0,0,0,720,0
8,QoS Data,115,34,-49,920,2,8,1,0,1,0,0,0,720,0
10,RTS,54,34,-50,920,1,11,,,,0,0,0,2668,0
12,QoS Data,115,34,-46,920,2,8,1,0,1,0,0,0,720,0
14,QoS Data,112,34,-60,920,2,8,1,0,0,0,0,0,720,0
17,S1G Beacon,129,34,-80,920,3,1,,,,,,,0,0
18,S1G Beacon,61,34,-77,920,3,1,,,,,,,0,0
19,S1G Beacon,129,34,-75,920,3,1,,,,,,,0,0
21,S1G Beacon,61,34,-76,920,3,1,,,,,,,0,0
24,S1G Beacon,129,34,-75,920,3,1,,,,,,,0,0
27,S1G Beacon,61,34,-77,920,3,1,,,,,,,0,0
29,QoS Data,134,34,-55,920,2,8,1,0,0,0,0,0,720,0
32,QoS Data,115,34,-53,920,2,8,1,0,0,0,0,0,720,0
34,QoS Data,115,34,-52,920,2,8,1,0,1,0,0,0,720,0
37,S1G Beacon,129,34,-75,920,3,1,,,,,,,0,0
38,QoS Data,112,34,-56,920,2,8,1,0,0,0,0,0,720,0
41,S1G Beacon,61,34,-75,920,3,1,,,,,,,0,0
43,S1G Beacon,129,34,-75,920,3,1,,,,,,,0,0
45,S1G Beacon,61,34,-78,920,3,1,,,,,,,0,0
47,S1G Beacon,129,34,-78,920,3,1,,,,,,,0,0
54,S1G Beacon,61,34,-76,920,3,1,,,,,,,0,0
62,S1G Beacon,129,34,-74,920,3,1,,,,,,,0,0
65,QoS Data,115,34,-55,920,2,8,1,0,0,0,0,0,720,0
68,QoS Data,112,34,-58,920,2,8,1,0,0,0,0,0,720,0
71,S1G Beacon,61,34,-75,920,3,1,,,,,,,0,0
73,S1G Beacon,129,34,-78,920,3,1,,,,,,,0,0
74,S1G Beacon,61,34,-75,920,3,1,,,,,,,0,0
76,S1G Beacon,129,34,-77,920,3,1,,,,,,,0,0
77,S1G Beacon,61,34,-81,920,3,1,,,,,,,0,0
78,S1G Beacon,129,34,-74,920,3,1,,,,,,,0,0
79,QoS Data,133,34,-55,920,2,8,1,0,0,0,0,0,720,0
82,QoS Data,115,34,-45,920,2,8,1,0,0,0,0,0,720,0
85,QoS Data,115,34,-45,920,2,8,1,0,1,0,0,0,720,0
87,RTS,54,34,-48,920,1,11,,,,0,0,0,2668,0
89,QoS Data,115,34,-49,920,2,8,1,0,1,0,0,0,720,0
