attack_type,packet Number,event_type,time_stamp,signal_strength,ssid,bssid,src,dst,reason,status,details
,4,S1G Beacon,2026-07-08T14:32:17.743073000Z,-31,,,78:72:64:ea:b9:14,,,,Trusted AP s1g Beacon
,18,S1G Beacon,2026-07-08T14:32:18.564122000Z,-30,H7608,,78:72:64:ea:b9:14,,,,Trusted AP s1g Beacon
,19,S1G Beacon,2026-07-08T14:32:19.381526000Z,-30,,,78:72:64:ea:b9:14,,,,Trusted AP s1g Beacon
,20,S1G Beacon,2026-07-08T14:32:20.202562000Z,-22,H7608,,78:72:64:ea:b9:14,,,,Trusted AP s1g Beacon
,22,S1G Beacon,2026-07-08T14:32:21.019984000Z,-30,,,78:72:64:ea:b9:14,,,,Trusted AP s1g Beacon
,23,S1G Beacon,2026-07-08T14:32:22.658437000Z,-21,,,78:72:64:ea:b9:14,,,,Trusted AP s1g Beacon
,34,S1G Beacon,2026-07-08T14:32:24.296880000Z,-20,,,78:72:64:ea:b9:14,,,,Trusted AP s1g Beacon
,35,S1G Beacon,2026-07-08T14:32:25.117908000Z,-20,H7608,,78:72:64:ea:b9:14,,,,Trusted AP s1g Beacon
,36,S1G Beacon,2026-07-08T14:32:25.935330000Z,-20,,,78:72:64:ea:b9:14,,,,Trusted AP s1g Beacon
,46,S1G Beacon,2026-07-08T14:32:29.212240000Z,-20,,,78:72:64:ea:b9:14,,,,Trusted AP s1g Beacon
,48,S1G Beacon,2026-07-08T14:32:30.033260000Z,-21,H7608,,78:72:64:ea:b9:14,,,,Trusted AP s1g Beacon
,59,S1G Beacon,2026-07-08T14:32:34.948638000Z,-27,H7608,,78:72:64:ea:b9:14,,,,Trusted AP s1g Beacon
,72,S1G Beacon,2026-07-08T14:32:37.404491000Z,-21,,,78:72:64:ea:b9:14,,,,Trusted AP s1g Beacon
,80,S1G Beacon,2026-07-08T14:32:39.863968000Z,-18,H7608,,78:72:64:ea:b9:14,,,,Trusted AP s1g Beacon
,81,S1G Beacon,2026-07-08T14:32:40.681389000Z,-18,,,78:72:64:ea:b9:14,,,,Trusted AP s1g Beacon
,82,S1G Beacon,2026-07-08T14:32:41.502417000Z,-19,H7608,,78:72:64:ea:b9:14,,,,Trusted AP s1g Beacon
,84,S1G Beacon,2026-07-08T14:32:42.319843000Z,-20,,,78:72:64:ea:b9:14,,,,Trusted AP s1g Beacon
,94,S1G Beacon,2026-07-08T14:32:45.596742000Z,-28,,,78:72:64:ea:b9:14,,,,Trusted AP s1g Beacon
,95,S1G Beacon,2026-07-08T14:32:46.417774000Z,-26,H7608,,78:72:64:ea:b9:14,,,,Trusted AP s1g Beacon
,96,S1G Beacon,2026-07-08T14:32:47.235192000Z,-20,,,78:72:64:ea:b9:14,,,,Trusted AP s1g Beacon
,107,S1G Beacon,2026-07-08T14:32:48.056214000Z,-21,H7608,,78:72:64:ea:b9:14,,,,Trusted AP s1g Beacon
,110,S1G Beacon,2026-07-08T14:32:48.873646000Z,-21,,,78:72:64:ea:b9:14,,,,Trusted AP s1g Beacon
,111,S1G Beacon,2026-07-08T14:32:49.694675000Z,-20,H7608,,78:72:64:ea:b9:14,,,,Trusted AP s1g Beacon
,114,S1G Beacon,2026-07-08T14:32:51.333114000Z,-21,H7608,,78:72:64:ea:b9:14,,,,Trusted AP s1g Beacon
,115,S1G Beacon,2026-07-08T14:32:52.150552000Z,-19,,,78:72:64:ea:b9:14,,,,Trusted AP s1g Beacon
,124,S1G Beacon,2026-07-08T14:32:53.788987000Z,-21,,,78:72:64:ea:b9:14,,,,Trusted AP s1g Beacon
,127,S1G Beacon,2026-07-08T14:32:54.610039000Z,-21,H7608,,78:72:64:ea:b9:14,,,,Trusted AP s1g Beacon
,129,S1G Beacon,2026-07-08T14:32:55.427435000Z,-19,,,78:72:64:ea:b9:14,,,,Trusted AP s1g Beacon
