packet_number,timestamp,frame_name,frame_len,length,dbm_antsignal,channel_freq,type,subtype,ds,frag,retry,pwrmgt,moredata,protected,duration,label
1,2026-07-08T14:32:17.600234000Z,Data,287,34,-29,920,2,0,0,0,0,0,0,1,0,0
2,2026-07-08T14:32:17.736671000Z,QoS Data,149,34,-13,920,2,8,1,0,0,0,0,1,720,0
4,2026-07-08T14:32:17.743073000Z,S1G Beacon,61,34,-31,920,3,1,,,,,,,0,0
5,2026-07-08T14:32:17.744415000Z,QoS Data,149,34,-34,920,2,8,0,0,0,0,0,1,720,0
7,2026-07-08T14:32:17.751838000Z,QoS Data,131,34,-29,920,2,8,1,0,0,0,0,1,720,0
9,2026-07-08T14:32:17.754112000Z,QoS Data,131,34,-33,920,2,8,0,0,0,0,0,1,720,0
11,2026-07-08T14:32:17.802085000Z,QoS Data,128,34,-13,920,2,8,1,0,1,0,0,1,720,0
13,2026-07-08T14:32:17.804878000Z,QoS Data,128,34,-35,920,2,8,0,0,0,0,0,1,720,0
14,2026-07-08T14:32:17.810878000Z,QoS Data,128,34,-35,920,2,8,0,0,1,0,0,1,720,0
15,2026-07-08T14:32:17.813767000Z,QoS Data,128,34,-34,920,2,8,0,0,1,0,0,1,720,0
16,2026-07-08T14:32:17.823196000Z,QoS Data,128,34,-34,920,2,8,0,0,1,0,0,1,720,0
18,2026-07-08T14:32:18.564122000Z,S1G Beacon,129,34,-30,920,3,1,,,,,,,0,0
19,2026-07-08T14:32:19.381526000Z,S1G Beacon,61,34,-30,920,3,1,,,,,,,0,0
20,2026-07-08T14:32:20.202562000Z,S1G Beacon,129,34,-22,920,3,1,,,,,,,0,0
21,2026-07-08T14:32:20.739133000Z,Data,132,34,-28,920,2,0,0,0,0,0,0,1,0,0
22,2026-07-08T14:32:21.019984000Z,S1G Beacon,61,34,-30,920,3,1,,,,,,,0,0
23,2026-07-08T14:32:22.658437000Z,S1G Beacon,61,34,-21,920,3,1,,,,,,,0,0
24,2026-07-08T14:32:22.766608000Z,QoS Data,149,34,-11,920,2,8,1,0,0,0,0,1,720,0
25,2026-07-08T14:32:22.769004000Z,QoS Data,149,34,-27,920,2,8,0,0,0,0,0,1,720,0
27,2026-07-08T14:32:22.775745000Z,QoS Data,131,34,-17,920,2,8,1,0,0,0,0,1,720,0
29,2026-07-08T14:32:22.798875000Z,QoS Data,128,34,-9,920,2,8,1,0,0,0,0,1,720,0
30,2026-07-08T14:32:22.801140000Z,QoS Data,128,34,-27,920,2,8,0,0,0,0,0,1,720,0
32,2026-07-08T14:32:23.739145000Z,Data,132,34,-21,920,2,0,0,0,0,0,0,1,0,0
33,2026-07-08T14:32:24.239712000Z,Data,132,34,-20,920,2,0,0,0,0,0,0,1,0,0
34,2026-07-08T14:32:24.296880000Z,S1G Beacon,61,34,-20,920,3,1,,,,,,,0,0
35,2026-07-08T14:32:25.117908000Z,S1G Beacon,129,34,-20,920,3,1,,,,,,,0,0
36,2026-07-08T14:32:25.935330000Z,S1G Beacon,61,34,-20,920,3,1,,,,,,,0,0
37,2026-07-08T14:32:27.786640000Z,QoS Data,149,34,-13,920,2,8,1,0,0,0,0,1,720,0
38,2026-07-08T14:32:27.789119000Z,QoS Data,149,34,-26,920,2,8,0,0,0,0,0,1,720,0
40,2026-07-08T14:32:27.795810000Z,QoS Data,131,34,-18,920,2,8,1,0,0,0,0,1,720,0
41,2026-07-08T14:32:27.798554000Z,QoS Data,131,34,-28,920,2,8,0,0,0,0,0,1,720,0
43,2026-07-08T14:32:28.048907000Z,QoS Data,128,34,-13,920,2,8,1,0,0,0,0,1,720,0
44,2026-07-08T14:32:28.051483000Z,QoS Data,128,34,-25,920,2,8,0,0,0,0,0,1,720,0
46,2026-07-08T14:32:29.212240000Z,S1G Beacon,61,34,-20,920,3,1,,,,,,,0,0
47,2026-07-08T14:32:29.696561000Z,Data,287,34,-19,920,2,0,0,0,0,0,0,1,0,0
48,2026-07-08T14:32:30.033260000Z,S1G Beacon,129,34,-21,920,3,1,,,,,,,0,0
49,2026-07-08T14:32:32.722195000Z,Data,287,34,-21,920,2,0,0,0,0,0,0,1,0,0
50,2026-07-08T14:32:32.806800000Z,QoS Data,149,34,-10,920,2,8,1,0,0,0,0,1,720,0
51,2026-07-08T14:32:32.809235000Z,QoS Data,149,34,-27,920,2,8,0,0,0,0,0,1,720,0
53,2026-07-08T14:32:32.816236000Z,QoS Data,131,34,-16,920,2,8,1,0,0,0,0,1,720,0
54,2026-07-08T14:32:32.818626000Z,QoS Data,131,34,-27,920,2,8,0,0,0,0,0,1,720,0
