host_timestamp,local_time,esp32_uptime_us,cpu_used_pct,ram_used_pct,throughput_bps,tcp_disconnects,rssi
1783087986.3327749,2026-07-03 16:13:06,2691688172,1.14,17.62,32.0,0,-63
1783087991.3340154,2026-07-03 16:13:11,2696688172,0.84,17.62,32.0,0,-63
1783087996.3266346,2026-07-03 16:13:16,2701688172,0.98,17.62,32.0,0,-64
1783088001.3376083,2026-07-03 16:13:21,2706688172,0.82,17.62,32.0,0,-63
1783088006.3398583,2026-07-03 16:13:26,2711688172,1.15,17.62,32.0,0,-62
1783088011.333015,2026-07-03 16:13:31,2716688172,0.84,17.62,32.0,0,-61
1783088016.339866,2026-07-03 16:13:36,2721688172,0.77,17.62,32.0,0,-60
1783088021.3463924,2026-07-03 16:13:41,2726688172,0.83,17.62,32.0,0,-60
1783088026.3428893,2026-07-03 16:13:46,2731688172,1.11,17.62,32.0,0,-62
1783088031.3477592,2026-07-03 16:13:51,2736688172,0.9,17.62,32.0,0,-63
1783088036.3475173,2026-07-03 16:13:56,2741688172,0.8,17.66,32.0,0,-60
1783088041.350566,2026-07-03 16:14:01,2746688172,0.82,17.62,32.0,0,-60
1783088046.3530407,2026-07-03 16:14:06,2751688172,0.93,17.62,32.0,0,-61
1783088051.360145,2026-07-03 16:14:11,2756688172,0.94,17.62,32.0,0,-61
1783088056.3590407,2026-07-03 16:14:16,2761688172,0.78,17.62,32.0,0,-62
1783088061.3613694,2026-07-03 16:14:21,2766688172,0.81,17.62,32.0,0,-62
1783088066.3829737,2026-07-03 16:14:26,2771688172,0.76,17.62,32.0,0,-71
1783088071.3879225,2026-07-03 16:14:31,2776688172,1.09,17.62,32.0,0,-62
1783088076.366449,2026-07-03 16:14:36,2781688172,0.8,17.62,32.0,0,-59
1783088081.3697739,2026-07-03 16:14:41,2786688172,0.79,17.62,32.0,0,-60
1783088086.3743906,2026-07-03 16:14:46,2791688172,0.81,17.62,32.0,0,-61
1783088091.3770626,2026-07-03 16:14:51,2796688172,1.05,17.62,32.0,0,-60
1783088096.3942347,2026-07-03 16:14:56,2801688172,0.77,17.62,32.0,0,-59
1783088101.38602,2026-07-03 16:15:01,2806688172,0.77,17.62,32.0,0,-60
1783088106.3899024,2026-07-03 16:15:06,2811688172,0.74,17.62,32.0,0,-62
1783088111.381814,2026-07-03 16:15:11,2816688172,1.1,17.62,32.0,0,-63
1783088116.3995242,2026-07-03 16:15:16,2821688172,0.81,17.62,32.0,0,-68
1783088121.4067202,2026-07-03 16:15:21,2826688172,0.95,17.62,32.0,0,-62
1783088126.3982592,2026-07-03 16:15:26,2831688172,0.9,17.62,32.0,0,-64
1783088131.3913689,2026-07-03 16:15:31,2836688172,1.2,17.62,32.0,0,-66
