packet_number,timestamp,frame_name,frame_len,length,dbm_antsignal,channel_freq,type,subtype,ds,frag,retry,pwrmgt,moredata,protected,duration,label
1,2026-07-03T13:46:26.377364000Z,S1G Beacon,61,34,-62,920,3,1,,,,,,,0,0
2,2026-07-03T13:46:27.198375000Z,S1G Beacon,129,34,-62,920,3,1,,,,,,,0,0
3,2026-07-03T13:46:28.015797000Z,S1G Beacon,61,34,-62,920,3,1,,,,,,,0,0
5,2026-07-03T13:46:28.836821000Z,S1G Beacon,129,34,-63,920,3,1,,,,,,,0,0
10,2026-07-03T13:46:29.654239000Z,S1G Beacon,61,34,-63,920,3,1,,,,,,,0,0
13,2026-07-03T13:46:29.796514000Z,QoS Data,132,34,-11,920,2,8,1,0,0,0,0,0,720,0
19,2026-07-03T13:46:30.026674000Z,QoS Data,112,34,-11,920,2,8,1,0,0,0,0,0,720,0
26,2026-07-03T13:46:30.475272000Z,S1G Beacon,129,34,-63,920,3,1,,,,,,,0,0
27,2026-07-03T13:46:31.292695000Z,S1G Beacon,61,34,-62,920,3,1,,,,,,,0,0
29,2026-07-03T13:46:32.113723000Z,S1G Beacon,129,34,-62,920,3,1,,,,,,,0,0
31,2026-07-03T13:46:32.931141000Z,S1G Beacon,61,34,-61,920,3,1,,,,,,,0,0
33,2026-07-03T13:46:33.752164000Z,S1G Beacon,129,34,-61,920,3,1,,,,,,,0,0
35,2026-07-03T13:46:34.569591000Z,S1G Beacon,61,34,-60,920,3,1,,,,,,,0,0
36,2026-07-03T13:46:34.834311000Z,QoS Data,132,34,-12,920,2,8,1,0,0,0,0,0,720,0
40,2026-07-03T13:46:34.857006000Z,QoS Data,115,34,-18,920,2,8,1,0,1,0,0,0,720,0
42,2026-07-03T13:46:34.860447000Z,QoS Data,112,34,-63,920,2,8,0,0,1,0,0,0,720,0
43,2026-07-03T13:46:34.865924000Z,QoS Data,112,34,-64,920,2,8,0,0,1,0,0,0,720,0
44,2026-07-03T13:46:34.876345000Z,QoS Data,112,34,-63,920,2,8,0,0,1,0,0,0,720,0
46,2026-07-03T13:46:34.886757000Z,QoS Data,115,34,-63,920,2,8,0,0,1,0,0,0,720,0
47,2026-07-03T13:46:34.894661000Z,QoS Data,115,34,-63,920,2,8,0,0,1,0,0,0,720,0
48,2026-07-03T13:46:34.898730000Z,QoS Data,115,34,-61,920,2,8,0,0,1,0,0,0,720,0
50,2026-07-03T13:46:35.026841000Z,QoS Data,112,34,-12,920,2,8,1,0,0,0,0,0,720,0
52,2026-07-03T13:46:35.036931000Z,QoS Data,112,34,-63,920,2,8,0,0,1,0,0,0,720,0
54,2026-07-03T13:46:35.390621000Z,S1G Beacon,129,34,-63,920,3,1,,,,,,,0,0
55,2026-07-03T13:46:36.208045000Z,S1G Beacon,61,34,-59,920,3,1,,,,,,,0,0
56,2026-07-03T13:46:37.029073000Z,S1G Beacon,129,34,-61,920,3,1,,,,,,,0,0
58,2026-07-03T13:46:37.846490000Z,S1G Beacon,61,34,-60,920,3,1,,,,,,,0,0
59,2026-07-03T13:46:38.667524000Z,S1G Beacon,129,34,-60,920,3,1,,,,,,,0,0
61,2026-07-03T13:46:39.484941000Z,S1G Beacon,61,34,-62,920,3,1,,,,,,,0,0
65,2026-07-03T13:46:39.909506000Z,QoS Data,132,34,-12,920,2,8,1,0,0,0,0,0,720,0
71,2026-07-03T13:46:39.925607000Z,QoS Data,115,34,-17,920,2,8,1,0,1,0,0,0,720,0
75,2026-07-03T13:46:39.931232000Z,QoS Data,115,34,-63,920,2,8,0,0,0,0,0,0,720,0
77,2026-07-03T13:46:40.026834000Z,QoS Data,112,34,-10,920,2,8,1,0,0,0,0,0,720,0
79,2026-07-03T13:46:40.029494000Z,QoS Data,112,34,-64,920,2,8,0,0,0,0,0,0,720,0
81,2026-07-03T13:46:40.305969000Z,S1G Beacon,129,34,-63,920,3,1,,,,,,,0,0
83,2026-07-03T13:46:41.123396000Z,S1G Beacon,61,34,-62,920,3,1,,,,,,,0,0
84,2026-07-03T13:46:41.944419000Z,S1G Beacon,129,34,-60,920,3,1,,,,,,,0,0
85,2026-07-03T13:46:42.761841000Z,S1G Beacon,61,34,-61,920,3,1,,,,,,,0,0
87,2026-07-03T13:46:43.582865000Z,S1G Beacon,129,34,-60,920,3,1,,,,,,,0,0
88,2026-07-03T13:46:44.400301000Z,S1G Beacon,61,34,-61,920,3,1,,,,,,,0,0
89,2026-07-03T13:46:44.944471000Z,QoS Data,132,34,-11,920,2,8,1,0,0,0,0,0,720,0
92,2026-07-03T13:46:44.956243000Z,QoS Data,115,34,-18,920,2,8,1,0,0,0,0,0,720,0
94,2026-07-03T13:46:44.958818000Z,QoS Data,115,34,-63,920,2,8,0,0,0,0,0,0,720,0
96,2026-07-03T13:46:45.026779000Z,QoS Data,112,34,-10,920,2,8,1,0,0,0,0,0,720,0
98,2026-07-03T13:46:45.028868000Z,QoS Data,112,34,-62,920,2,8,0,0,0,0,0,0,720,0
100,2026-07-03T13:46:45.221322000Z,S1G Beacon,129,34,-60,920,3,1,,,,,,,0,0
101,2026-07-03T13:46:46.038747000Z,S1G Beacon,61,34,-60,920,3,1,,,,,,,0,0
105,2026-07-03T13:46:46.859801000Z,S1G Beacon,129,34,-65,920,3,1,,,,,,,0,0
