host_timestamp,local_time,esp32_uptime_us,cpu_used_pct,ram_used_pct,throughput_bps,tcp_disconnects,rssi
1783521136.75504,2026-07-08 16:32:16,1347610828,1.26,18.26,33.6,0,-32
1783521141.7639267,2026-07-08 16:32:21,1352610828,0.95,18.26,33.6,0,-31
1783521146.7799175,2026-07-08 16:32:26,1357610829,0.88,18.26,33.6,0,-30
1783521151.7602475,2026-07-08 16:32:31,1362610828,0.9,18.26,33.6,0,-29
1783521156.772772,2026-07-08 16:32:36,1367610828,1.42,18.26,33.6,0,-32
1783521161.7701678,2026-07-08 16:32:41,1372610829,0.86,18.26,32.0,0,-30
1783521166.7660825,2026-07-08 16:32:46,1377610828,0.87,18.26,32.0,0,-31
1783521171.7736382,2026-07-08 16:32:51,1382610828,0.86,18.26,32.0,0,-33
1783521176.7775671,2026-07-08 16:32:56,1387610828,1.21,18.26,32.0,0,-34
1783521181.778156,2026-07-08 16:33:01,1392610828,0.94,18.26,33.6,0,-35
1783521186.7849793,2026-07-08 16:33:06,1397610828,0.91,18.26,32.0,0,-29
1783521191.7884266,2026-07-08 16:33:11,1402610828,0.87,18.26,32.0,0,-29
1783521196.8152974,2026-07-08 16:33:16,1407610828,1.19,18.26,32.0,0,-30
1783521201.7863226,2026-07-08 16:33:21,1412610828,0.92,18.26,32.0,0,-30
1783521206.7871485,2026-07-08 16:33:26,1417610828,0.89,18.26,32.0,0,-30
1783521211.8003094,2026-07-08 16:33:31,1422610828,0.92,18.26,32.0,0,-29
1783521216.798691,2026-07-08 16:33:36,1427610828,1.02,18.26,33.6,0,-29
1783521221.7960424,2026-07-08 16:33:41,1432610828,1.07,18.26,33.6,0,-29
1783521226.8100178,2026-07-08 16:33:46,1437610828,0.93,18.26,33.6,0,-30
1783521231.8035252,2026-07-08 16:33:51,1442610828,0.9,18.26,32.0,0,-28
1783521236.8241994,2026-07-08 16:33:56,1447610828,0.87,18.26,32.0,0,-29
1783521241.807796,2026-07-08 16:34:01,1452610828,1.23,18.26,32.0,0,-28
1783521246.8240108,2026-07-08 16:34:06,1457610828,0.86,18.26,32.0,0,-29
1783521251.8167355,2026-07-08 16:34:11,1462610828,0.87,18.26,32.0,0,-28
1783521256.8131866,2026-07-08 16:34:16,1467610828,0.89,18.26,32.0,0,-30
1783521261.817806,2026-07-08 16:34:21,1472610828,1.28,18.26,32.0,0,-28
1783521266.8187256,2026-07-08 16:34:26,1477610828,0.88,18.26,32.0,0,-29
1783521271.8322725,2026-07-08 16:34:31,1482610828,0.92,18.26,33.6,0,-30
1783521276.824318,2026-07-08 16:34:36,1487610828,0.87,18.26,33.6,0,-30
1783521281.8246853,2026-07-08 16:34:41,1492610828,1.24,18.26,33.6,0,-29
1783521286.827398,2026-07-08 16:34:46,1497610829,0.88,18.26,33.6,0,-30
1783521291.8359802,2026-07-08 16:34:51,1502610828,1.22,18.26,32.0,0,-30
1783521296.8369298,2026-07-08 16:34:56,1507610828,0.87,18.26,32.0,0,-30
1783521301.8445764,2026-07-08 16:35:01,1512610828,1.18,18.26,33.6,0,-31
1783521306.8478734,2026-07-08 16:35:06,1517610828,0.85,18.26,33.6,0,-30
1783521311.844417,2026-07-08 16:35:11,1522610828,0.87,18.26,33.6,0,-29
1783521316.8432243,2026-07-08 16:35:16,1527610828,1.01,18.26,32.0,0,-31
1783521321.8567476,2026-07-08 16:35:21,1532610828,1.02,18.26,32.0,0,-31
1783521326.8556805,2026-07-08 16:35:26,1537610828,1.1,18.26,33.6,0,-33
1783521331.857855,2026-07-08 16:35:31,1542610828,0.9,18.26,33.6,0,-28
1783521336.8558092,2026-07-08 16:35:36,1547610829,0.86,18.26,33.6,0,-31
1783521341.861131,2026-07-08 16:35:41,1552610828,0.89,18.26,33.6,0,-34
1783521346.854707,2026-07-08 16:35:46,1557610828,1.18,18.26,33.6,0,-35
1783521351.8642817,2026-07-08 16:35:51,1562610828,0.82,18.26,32.0,0,-33
1783521356.867572,2026-07-08 16:35:56,1567610828,0.83,18.26,32.0,0,-34
1783521361.8691492,2026-07-08 16:36:01,1572610828,0.9,18.26,32.0,0,-35
1783521366.8718915,2026-07-08 16:36:06,1577610828,1.18,18.26,33.6,0,-35
1783521371.8756208,2026-07-08 16:36:11,1582610828,0.88,18.26,32.0,0,-35
1783521376.880574,2026-07-08 16:36:16,1587610828,0.87,18.26,32.0,0,-33
1783521381.8728523,2026-07-08 16:36:21,1592610829,0.84,18.26,33.6,0,-34
