attack_type,packet Number,event_type,time_stamp,signal_strength,ssid,bssid,src,dst,reason,status,details
Dragonblood DoS,1244,Authentication,2026-06-27T12:10:15.908075000Z,-55,,78:72:64:ea:b9:14,5a:d0:6d:af:9d:cd,78:72:64:ea:b9:14,,126,Attacker is Sending Authentication request to trusted AP
,1246,Authentication,2026-06-27T12:10:15.989874000Z,-18,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,5a:d0:6d:af:9d:cd,,126,Unsuccessful Authentication (check status code) to Trusted AP
,1247,Authentication,2026-06-27T12:10:15.996647000Z,-18,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,5a:d0:6d:af:9d:cd,,126,Unsuccessful Authentication (check status code) to Trusted AP
,1248,Authentication,2026-06-27T12:10:16.003260000Z,-16,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,5a:d0:6d:af:9d:cd,,126,Unsuccessful Authentication (check status code) to Trusted AP
,1249,Authentication,2026-06-27T12:10:16.009821000Z,-16,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,5a:d0:6d:af:9d:cd,,126,Unsuccessful Authentication (check status code) to Trusted AP
Dragonblood DoS,1250,Authentication,2026-06-27T12:10:16.039071000Z,-55,,78:72:64:ea:b9:14,1e:ce:1f:85:ae:be,78:72:64:ea:b9:14,,126,Attacker is Sending Authentication request to trusted AP
,1251,Authentication,2026-06-27T12:10:16.123172000Z,-17,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,1e:ce:1f:85:ae:be,,126,Unsuccessful Authentication (check status code) to Trusted AP
,1252,Authentication,2026-06-27T12:10:16.129630000Z,-17,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,1e:ce:1f:85:ae:be,,126,Unsuccessful Authentication (check status code) to Trusted AP
,1253,Authentication,2026-06-27T12:10:16.136348000Z,-18,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,1e:ce:1f:85:ae:be,,126,Unsuccessful Authentication (check status code) to Trusted AP
,1254,Authentication,2026-06-27T12:10:16.142911000Z,-18,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,1e:ce:1f:85:ae:be,,126,Unsuccessful Authentication (check status code) to Trusted AP
Dragonblood DoS,1255,Authentication,2026-06-27T12:10:16.170147000Z,-55,,78:72:64:ea:b9:14,ee:80:6a:66:7f:4e,78:72:64:ea:b9:14,,126,Attacker is Sending Authentication request to trusted AP
,1256,Authentication,2026-06-27T12:10:16.256675000Z,-18,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,ee:80:6a:66:7f:4e,,126,Unsuccessful Authentication (check status code) to Trusted AP
,1257,Authentication,2026-06-27T12:10:16.263181000Z,-16,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,ee:80:6a:66:7f:4e,,126,Unsuccessful Authentication (check status code) to Trusted AP
,1258,Authentication,2026-06-27T12:10:16.276416000Z,-19,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,ee:80:6a:66:7f:4e,,126,Unsuccessful Authentication (check status code) to Trusted AP
Dragonblood DoS,1259,Authentication,2026-06-27T12:10:16.280738000Z,-54,,78:72:64:ea:b9:14,ee:80:6a:66:7f:4e,78:72:64:ea:b9:14,,126,Attacker is Sending Authentication request to trusted AP
,1260,Authentication,2026-06-27T12:10:16.328973000Z,-17,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,ee:80:6a:66:7f:4e,,126,Unsuccessful Authentication (check status code) to Trusted AP
,1261,Authentication,2026-06-27T12:10:16.335488000Z,-17,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,ee:80:6a:66:7f:4e,,126,Unsuccessful Authentication (check status code) to Trusted AP
,1262,Authentication,2026-06-27T12:10:16.342158000Z,-18,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,ee:80:6a:66:7f:4e,,126,Unsuccessful Authentication (check status code) to Trusted AP
,1263,Authentication,2026-06-27T12:10:16.348873000Z,-17,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,ee:80:6a:66:7f:4e,,126,Unsuccessful Authentication (check status code) to Trusted AP
Dragonblood DoS,1264,Authentication,2026-06-27T12:10:16.411830000Z,-54,,78:72:64:ea:b9:14,b2:cd:64:81:63:01,78:72:64:ea:b9:14,,126,Attacker is Sending Authentication request to trusted AP
,1265,Authentication,2026-06-27T12:10:16.479701000Z,-19,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,b2:cd:64:81:63:01,,126,Unsuccessful Authentication (check status code) to Trusted AP
,1266,Authentication,2026-06-27T12:10:16.486139000Z,-17,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,b2:cd:64:81:63:01,,126,Unsuccessful Authentication (check status code) to Trusted AP
,1267,Authentication,2026-06-27T12:10:16.492806000Z,-17,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,b2:cd:64:81:63:01,,126,Unsuccessful Authentication (check status code) to Trusted AP
,1268,Authentication,2026-06-27T12:10:16.499315000Z,-17,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,b2:cd:64:81:63:01,,126,Unsuccessful Authentication (check status code) to Trusted AP
Dragonblood DoS,1269,Authentication,2026-06-27T12:10:16.530600000Z,-56,,78:72:64:ea:b9:14,b2:cd:64:81:63:01,78:72:64:ea:b9:14,,126,Attacker is Sending Authentication request to trusted AP
,1270,Authentication,2026-06-27T12:10:16.552416000Z,-17,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,b2:cd:64:81:63:01,,126,Unsuccessful Authentication (check status code) to Trusted AP
,1271,Authentication,2026-06-27T12:10:16.559187000Z,-17,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,b2:cd:64:81:63:01,,126,Unsuccessful Authentication (check status code) to Trusted AP
,1272,Authentication,2026-06-27T12:10:16.565702000Z,-16,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,b2:cd:64:81:63:01,,126,Unsuccessful Authentication (check status code) to Trusted AP
,1273,Authentication,2026-06-27T12:10:16.572264000Z,-17,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,b2:cd:64:81:63:01,,126,Unsuccessful Authentication (check status code) to Trusted AP
Dragonblood DoS,1274,Authentication,2026-06-27T12:10:16.661719000Z,-54,,78:72:64:ea:b9:14,2a:df:ee:5e:e3:33,78:72:64:ea:b9:14,,126,Attacker is Sending Authentication request to trusted AP
,1275,Authentication,2026-06-27T12:10:16.727963000Z,-17,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,2a:df:ee:5e:e3:33,,126,Unsuccessful Authentication (check status code) to Trusted AP
,1276,Authentication,2026-06-27T12:10:16.734630000Z,-18,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,2a:df:ee:5e:e3:33,,126,Unsuccessful Authentication (check status code) to Trusted AP
,1278,Authentication,2026-06-27T12:10:16.747555000Z,-16,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,2a:df:ee:5e:e3:33,,126,Unsuccessful Authentication (check status code) to Trusted AP
,1279,Authentication,2026-06-27T12:10:16.754016000Z,-18,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,2a:df:ee:5e:e3:33,,126,Unsuccessful Authentication (check status code) to Trusted AP
Dragonblood DoS,1280,Authentication,2026-06-27T12:10:16.792754000Z,-54,,78:72:64:ea:b9:14,ee:80:6a:66:7f:4e,78:72:64:ea:b9:14,,126,Attacker is Sending Authentication request to trusted AP
,1281,Authentication,2026-06-27T12:10:16.802279000Z,-18,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,ee:80:6a:66:7f:4e,,126,Unsuccessful Authentication (check status code) to Trusted AP
,1282,Authentication,2026-06-27T12:10:16.808949000Z,-18,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,ee:80:6a:66:7f:4e,,126,Unsuccessful Authentication (check status code) to Trusted AP
,1283,Authentication,2026-06-27T12:10:16.815723000Z,-17,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,ee:80:6a:66:7f:4e,,126,Unsuccessful Authentication (check status code) to Trusted AP
,1284,Authentication,2026-06-27T12:10:16.822283000Z,-18,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,ee:80:6a:66:7f:4e,,126,Unsuccessful Authentication (check status code) to Trusted AP
Dragonblood DoS,1285,Authentication,2026-06-27T12:10:16.923824000Z,-57,,78:72:64:ea:b9:14,5a:d0:6d:af:9d:cd,78:72:64:ea:b9:14,,126,Attacker is Sending Authentication request to trusted AP
,1286,Authentication,2026-06-27T12:10:16.934914000Z,-18,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,5a:d0:6d:af:9d:cd,,126,Unsuccessful Authentication (check status code) to Trusted AP
,1287,Authentication,2026-06-27T12:10:16.941373000Z,-18,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,5a:d0:6d:af:9d:cd,,126,Unsuccessful Authentication (check status code) to Trusted AP
,1288,Authentication,2026-06-27T12:10:16.947989000Z,-16,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,5a:d0:6d:af:9d:cd,,126,Unsuccessful Authentication (check status code) to Trusted AP
,1289,Authentication,2026-06-27T12:10:16.954501000Z,-18,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,5a:d0:6d:af:9d:cd,,126,Unsuccessful Authentication (check status code) to Trusted AP
Dragonblood DoS,1290,Authentication,2026-06-27T12:10:17.054900000Z,-54,,78:72:64:ea:b9:14,36:eb:56:1b:53:1a,78:72:64:ea:b9:14,,126,Attacker is Sending Authentication request to trusted AP
,1291,Authentication,2026-06-27T12:10:17.076114000Z,-19,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,36:eb:56:1b:53:1a,,76,Unsuccessful Authentication (check status code) to Trusted AP
,1292,Authentication,2026-06-27T12:10:17.081243000Z,-18,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,36:eb:56:1b:53:1a,,76,Unsuccessful Authentication (check status code) to Trusted AP
,1293,Authentication,2026-06-27T12:10:17.086370000Z,-17,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,36:eb:56:1b:53:1a,,76,Unsuccessful Authentication (check status code) to Trusted AP
,1294,Authentication,2026-06-27T12:10:17.091291000Z,-19,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,36:eb:56:1b:53:1a,,76,Unsuccessful Authentication (check status code) to Trusted AP
Dragonblood DoS,1295,Authentication,2026-06-27T12:10:17.185970000Z,-55,,78:72:64:ea:b9:14,b2:cd:64:81:63:01,78:72:64:ea:b9:14,,126,Attacker is Sending Authentication request to trusted AP
,1296,Authentication,2026-06-27T12:10:17.198046000Z,-18,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,b2:cd:64:81:63:01,,126,Unsuccessful Authentication (check status code) to Trusted AP
,1297,Authentication,2026-06-27T12:10:17.204764000Z,-19,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,b2:cd:64:81:63:01,,126,Unsuccessful Authentication (check status code) to Trusted AP
,1298,Authentication,2026-06-27T12:10:17.211279000Z,-17,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,b2:cd:64:81:63:01,,126,Unsuccessful Authentication (check status code) to Trusted AP
,1299,Authentication,2026-06-27T12:10:17.218050000Z,-16,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,b2:cd:64:81:63:01,,126,Unsuccessful Authentication (check status code) to Trusted AP
Dragonblood DoS,1301,Authentication,2026-06-27T12:10:17.297591000Z,-54,,78:72:64:ea:b9:14,2a:df:ee:5e:e3:33,78:72:64:ea:b9:14,,126,Attacker is Sending Authentication request to trusted AP
,1302,Authentication,2026-06-27T12:10:17.308071000Z,-17,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,2a:df:ee:5e:e3:33,,126,Unsuccessful Authentication (check status code) to Trusted AP
,1303,Authentication,2026-06-27T12:10:17.314685000Z,-18,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,2a:df:ee:5e:e3:33,,126,Unsuccessful Authentication (check status code) to Trusted AP
,1304,Authentication,2026-06-27T12:10:17.321991000Z,-17,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,2a:df:ee:5e:e3:33,,126,Unsuccessful Authentication (check status code) to Trusted AP
,1305,Authentication,2026-06-27T12:10:17.328451000Z,-17,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,2a:df:ee:5e:e3:33,,126,Unsuccessful Authentication (check status code) to Trusted AP
Dragonblood DoS,1306,Authentication,2026-06-27T12:10:17.429687000Z,-54,,78:72:64:ea:b9:14,22:b4:7e:40:de:16,78:72:64:ea:b9:14,,126,Attacker is Sending Authentication request to trusted AP
,1307,Authentication,2026-06-27T12:10:17.436968000Z,-18,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,22:b4:7e:40:de:16,,76,Unsuccessful Authentication (check status code) to Trusted AP
,1308,Authentication,2026-06-27T12:10:17.441352000Z,-18,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,22:b4:7e:40:de:16,,76,Unsuccessful Authentication (check status code) to Trusted AP
,1309,Authentication,2026-06-27T12:10:17.446427000Z,-18,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,22:b4:7e:40:de:16,,76,Unsuccessful Authentication (check status code) to Trusted AP
,1310,Authentication,2026-06-27T12:10:17.451556000Z,-19,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,22:b4:7e:40:de:16,,76,Unsuccessful Authentication (check status code) to Trusted AP
Dragonblood DoS,1311,Authentication,2026-06-27T12:10:17.558717000Z,-54,,78:72:64:ea:b9:14,2a:df:ee:5e:e3:33,78:72:64:ea:b9:14,,126,Attacker is Sending Authentication request to trusted AP
,1313,Authentication,2026-06-27T12:10:17.568791000Z,-19,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,2a:df:ee:5e:e3:33,,126,Unsuccessful Authentication (check status code) to Trusted AP
,1314,Authentication,2026-06-27T12:10:17.575565000Z,-18,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,2a:df:ee:5e:e3:33,,126,Unsuccessful Authentication (check status code) to Trusted AP
,1315,Authentication,2026-06-27T12:10:17.581920000Z,-19,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,2a:df:ee:5e:e3:33,,126,Unsuccessful Authentication (check status code) to Trusted AP
,1316,Authentication,2026-06-27T12:10:17.588328000Z,-18,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,2a:df:ee:5e:e3:33,,126,Unsuccessful Authentication (check status code) to Trusted AP
Dragonblood DoS,1318,Authentication,2026-06-27T12:10:17.680592000Z,-55,,78:72:64:ea:b9:14,b2:cd:64:81:63:01,78:72:64:ea:b9:14,,126,Attacker is Sending Authentication request to trusted AP
,1319,Authentication,2026-06-27T12:10:17.686827000Z,-18,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,b2:cd:64:81:63:01,,126,Unsuccessful Authentication (check status code) to Trusted AP
,1320,Authentication,2026-06-27T12:10:17.693235000Z,-17,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,b2:cd:64:81:63:01,,126,Unsuccessful Authentication (check status code) to Trusted AP
,1321,Authentication,2026-06-27T12:10:17.699807000Z,-18,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,b2:cd:64:81:63:01,,126,Unsuccessful Authentication (check status code) to Trusted AP
,1322,Authentication,2026-06-27T12:10:17.706517000Z,-17,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,b2:cd:64:81:63:01,,126,Unsuccessful Authentication (check status code) to Trusted AP
Dragonblood DoS,1323,Authentication,2026-06-27T12:10:17.808628000Z,-56,,78:72:64:ea:b9:14,1a:54:ae:08:c3:ac,78:72:64:ea:b9:14,,126,Attacker is Sending Authentication request to trusted AP
,1324,Authentication,2026-06-27T12:10:17.816100000Z,-19,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,1a:54:ae:08:c3:ac,,76,Unsuccessful Authentication (check status code) to Trusted AP
,1325,Authentication,2026-06-27T12:10:17.820868000Z,-17,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,1a:54:ae:08:c3:ac,,76,Unsuccessful Authentication (check status code) to Trusted AP
,1326,Authentication,2026-06-27T12:10:17.825835000Z,-17,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,1a:54:ae:08:c3:ac,,76,Unsuccessful Authentication (check status code) to Trusted AP
,1327,Authentication,2026-06-27T12:10:17.830656000Z,-17,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,1a:54:ae:08:c3:ac,,76,Unsuccessful Authentication (check status code) to Trusted AP
Dragonblood DoS,1328,Authentication,2026-06-27T12:10:17.939654000Z,-55,,78:72:64:ea:b9:14,1e:ce:1f:85:ae:be,78:72:64:ea:b9:14,,126,Attacker is Sending Authentication request to trusted AP
,1329,Authentication,2026-06-27T12:10:17.948091000Z,-17,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,1e:ce:1f:85:ae:be,,126,Unsuccessful Authentication (check status code) to Trusted AP
,1330,Authentication,2026-06-27T12:10:17.954706000Z,-18,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,1e:ce:1f:85:ae:be,,126,Unsuccessful Authentication (check status code) to Trusted AP
,1331,Authentication,2026-06-27T12:10:17.961323000Z,-19,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,1e:ce:1f:85:ae:be,,126,Unsuccessful Authentication (check status code) to Trusted AP
,1332,Authentication,2026-06-27T12:10:17.967889000Z,-17,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,1e:ce:1f:85:ae:be,,126,Unsuccessful Authentication (check status code) to Trusted AP
Dragonblood DoS,1333,Authentication,2026-06-27T12:10:18.070741000Z,-57,,78:72:64:ea:b9:14,06:81:08:d9:95:5d,78:72:64:ea:b9:14,,126,Attacker is Sending Authentication request to trusted AP
