packet_number,timestamp,frame_name,frame_len,length,dbm_antsignal,channel_freq,type,subtype,ds,frag,retry,pwrmgt,moredata,protected,duration,label
1,2026-06-23T13:19:50.664091000Z,S1G Beacon,61,34,-17,920,3,1,,,,,,,0,0
2,2026-06-23T13:19:51.485109000Z,S1G Beacon,129,34,-18,920,3,1,,,,,,,0,0
3,2026-06-23T13:19:52.302534000Z,S1G Beacon,61,34,-17,920,3,1,,,,,,,0,0
4,2026-06-23T13:19:52.531381000Z,Data,287,34,-17,920,2,0,0,0,0,0,0,1,0,0
5,2026-06-23T13:19:53.940982000Z,S1G Beacon,61,34,-16,920,3,1,,,,,,,0,0
7,2026-06-23T13:19:54.762003000Z,S1G Beacon,129,34,-16,920,3,1,,,,,,,0,0
8,2026-06-23T13:19:54.990773000Z,QoS Data,148,34,-17,920,2,8,1,0,0,0,0,1,720,0
11,2026-06-23T13:19:54.998714000Z,QoS Data,131,34,-15,920,2,8,1,0,0,0,0,1,720,0
14,2026-06-23T13:19:55.234670000Z,QoS Data,128,34,-18,920,2,8,1,0,0,0,0,1,720,0
17,2026-06-23T13:19:55.554261000Z,Data,287,34,-17,920,2,0,0,0,0,0,0,1,0,0
18,2026-06-23T13:19:55.579417000Z,S1G Beacon,61,34,-16,920,3,1,,,,,,,0,0
19,2026-06-23T13:19:56.400446000Z,S1G Beacon,129,34,-16,920,3,1,,,,,,,0,0
20,2026-06-23T13:19:57.217877000Z,S1G Beacon,61,34,-16,920,3,1,,,,,,,0,0
21,2026-06-23T13:19:58.038906000Z,S1G Beacon,129,34,-17,920,3,1,,,,,,,0,0
22,2026-06-23T13:19:58.264990000Z,Deauthentication,64,34,-16,920,0,12,0,0,0,0,0,0,720,0
23,2026-06-23T13:19:58.268047000Z,Deauthentication,64,34,-17,920,0,12,0,0,1,0,0,0,720,0
24,2026-06-23T13:19:58.271322000Z,Deauthentication,64,34,-17,920,0,12,0,0,1,0,0,0,720,0
25,2026-06-23T13:19:58.274334000Z,Deauthentication,64,34,-17,920,0,12,0,0,1,0,0,0,720,0
26,2026-06-23T13:19:58.578391000Z,Data,287,34,-17,920,2,0,0,0,0,0,0,1,0,0
27,2026-06-23T13:19:58.856336000Z,S1G Beacon,61,34,-19,920,3,1,,,,,,,0,0
28,2026-06-23T13:19:59.677362000Z,S1G Beacon,129,34,-20,920,3,1,,,,,,,0,0
29,2026-06-23T13:20:00.013734000Z,QoS Data,148,34,-16,920,2,8,1,0,0,0,0,1,720,0
32,2026-06-23T13:20:00.021766000Z,QoS Data,131,34,-11,920,2,8,1,0,0,0,0,1,720,0
35,2026-06-23T13:20:00.233576000Z,QoS Data,128,34,-16,920,2,8,1,0,0,0,0,1,720,0
38,2026-06-23T13:20:00.494766000Z,S1G Beacon,61,34,-16,920,3,1,,,,,,,0,0
40,2026-06-23T13:20:01.315800000Z,S1G Beacon,129,34,-17,920,3,1,,,,,,,0,0
41,2026-06-23T13:20:01.602457000Z,Data,287,34,-17,920,2,0,0,0,0,0,0,1,0,0
42,2026-06-23T13:20:02.101368000Z,Data,378,34,-16,920,2,0,0,0,0,0,0,1,0,0
43,2026-06-23T13:20:02.133216000Z,S1G Beacon,61,34,-18,920,3,1,,,,,,,0,0
44,2026-06-23T13:20:02.205093000Z,Data,387,34,-18,920,2,0,0,0,0,0,0,1,0,0
45,2026-06-23T13:20:02.310827000Z,Data,450,34,-18,920,2,0,0,0,0,0,0,1,0,0
46,2026-06-23T13:20:02.414684000Z,Data,442,34,-20,920,2,0,0,0,0,0,0,1,0,0
47,2026-06-23T13:20:02.517291000Z,Data,387,34,-19,920,2,0,0,0,0,0,0,1,0,0
48,2026-06-23T13:20:02.622197000Z,Data,426,34,-19,920,2,0,0,0,0,0,0,1,0,0
49,2026-06-23T13:20:02.727086000Z,Data,458,34,-18,920,2,0,0,0,0,0,0,1,0,0
50,2026-06-23T13:20:02.829279000Z,Data,387,34,-16,920,2,0,0,0,0,0,0,1,0,0
51,2026-06-23T13:20:02.934721000Z,Data,446,34,-17,920,2,0,0,0,0,0,0,1,0,0
52,2026-06-23T13:20:02.954251000Z,S1G Beacon,129,34,-16,920,3,1,,,,,,,0,0
53,2026-06-23T13:20:03.038741000Z,Data,440,34,-15,920,2,0,0,0,0,0,0,1,0,0
54,2026-06-23T13:20:03.141461000Z,Data,387,34,-17,920,2,0,0,0,0,0,0,1,0,0
55,2026-06-23T13:20:03.246839000Z,Data,442,34,-16,920,2,0,0,0,0,0,0,1,0,0
56,2026-06-23T13:20:03.350936000Z,Data,452,34,-17,920,2,0,0,0,0,0,0,1,0,0
57,2026-06-23T13:20:03.771684000Z,S1G Beacon,61,34,-17,920,3,1,,,,,,,0,0
58,2026-06-23T13:20:04.592713000Z,S1G Beacon,129,34,-16,920,3,1,,,,,,,0,0
59,2026-06-23T13:20:04.626513000Z,Data,287,34,-17,920,2,0,0,0,0,0,0,1,0,0
60,2026-06-23T13:20:05.037025000Z,QoS Data,149,34,-14,920,2,8,1,0,0,0,0,1,720,0
62,2026-06-23T13:20:05.040585000Z,QoS Data,149,34,-19,920,2,8,0,0,0,0,0,1,720,0
64,2026-06-23T13:20:05.046292000Z,QoS Data,131,34,-14,920,2,8,1,0,0,0,0,1,720,0
68,2026-06-23T13:20:05.233941000Z,QoS Data,128,34,-15,920,2,8,1,0,0,0,0,1,720,0
