attack_type,packet Number,event_type,time_stamp,signal_strength,ssid,bssid,src,dst,reason,status,details
,1,S1G Beacon,2026-07-07T13:31:21.527510000Z,-58,H7608,,78:72:64:ea:b9:14,,,,
,2,S1G Beacon,2026-07-07T13:31:21.590162000Z,-57,H7608,,9c:04:b6:46:07:34,,,,
,12,S1G Beacon,2026-07-07T13:31:22.344895000Z,-58,,,78:72:64:ea:b9:14,,,,
,14,S1G Beacon,2026-07-07T13:31:22.407572000Z,-57,,,9c:04:b6:46:07:34,,,,
,15,S1G Beacon,2026-07-07T13:31:23.165923000Z,-57,H7608,,78:72:64:ea:b9:14,,,,
,16,S1G Beacon,2026-07-07T13:31:23.983354000Z,-59,,,78:72:64:ea:b9:14,,,,
,17,S1G Beacon,2026-07-07T13:31:24.046019000Z,-57,,,9c:04:b6:46:07:34,,,,
,19,S1G Beacon,2026-07-07T13:31:24.804370000Z,-60,H7608,,78:72:64:ea:b9:14,,,,
,20,S1G Beacon,2026-07-07T13:31:24.867044000Z,-58,H7608,,9c:04:b6:46:07:34,,,,
,21,S1G Beacon,2026-07-07T13:31:25.621793000Z,-58,,,78:72:64:ea:b9:14,,,,
,22,S1G Beacon,2026-07-07T13:31:25.684464000Z,-57,,,9c:04:b6:46:07:34,,,,
,29,S1G Beacon,2026-07-07T13:31:26.442818000Z,-58,H7608,,78:72:64:ea:b9:14,,,,
,30,S1G Beacon,2026-07-07T13:31:26.505490000Z,-57,H7608,,9c:04:b6:46:07:34,,,,
,46,S1G Beacon,2026-07-07T13:31:27.260241000Z,-63,,,78:72:64:ea:b9:14,,,,
,47,S1G Beacon,2026-07-07T13:31:27.322911000Z,-57,,,9c:04:b6:46:07:34,,,,
,50,S1G Beacon,2026-07-07T13:31:28.081270000Z,-60,H7608,,78:72:64:ea:b9:14,,,,
,51,S1G Beacon,2026-07-07T13:31:28.143937000Z,-55,H7608,,9c:04:b6:46:07:34,,,,
,52,S1G Beacon,2026-07-07T13:31:28.898815000Z,-58,,,78:72:64:ea:b9:14,,,,
,53,S1G Beacon,2026-07-07T13:31:28.961358000Z,-59,,,9c:04:b6:46:07:34,,,,
,54,S1G Beacon,2026-07-07T13:31:29.782395000Z,-59,H7608,,9c:04:b6:46:07:34,,,,
,55,S1G Beacon,2026-07-07T13:31:30.537144000Z,-58,,,78:72:64:ea:b9:14,,,,
,56,S1G Beacon,2026-07-07T13:31:30.599806000Z,-59,,,9c:04:b6:46:07:34,,,,
,58,S1G Beacon,2026-07-07T13:31:31.358172000Z,-59,H7608,,78:72:64:ea:b9:14,,,,
,59,S1G Beacon,2026-07-07T13:31:31.423484000Z,-61,H7608,,9c:04:b6:46:07:34,,,,
,71,S1G Beacon,2026-07-07T13:31:32.175594000Z,-58,,,78:72:64:ea:b9:14,,,,
,72,S1G Beacon,2026-07-07T13:31:32.238257000Z,-64,,,9c:04:b6:46:07:34,,,,
,73,S1G Beacon,2026-07-07T13:31:32.996638000Z,-60,H7608,,78:72:64:ea:b9:14,,,,
,74,S1G Beacon,2026-07-07T13:31:33.059288000Z,-60,H7608,,9c:04:b6:46:07:34,,,,
