packet_number,tsft,frame_name,frame_len,length,dbm_antsignal,channel_freq,type,subtype,ds,frag,retry,pwrmgt,moredata,protected,duration,label
1,,S1G Beacon,129,34,-58,920,3,1,,,,,,,0,0
2,,S1G Beacon,129,34,-57,920,3,1,,,,,,,0,1
12,,S1G Beacon,61,34,-58,920,3,1,,,,,,,0,0
14,,S1G Beacon,61,34,-57,920,3,1,,,,,,,0,1
15,,S1G Beacon,129,34,-57,920,3,1,,,,,,,0,0
16,,S1G Beacon,61,34,-59,920,3,1,,,,,,,0,0
17,,S1G Beacon,61,34,-57,920,3,1,,,,,,,0,1
19,,S1G Beacon,129,34,-60,920,3,1,,,,,,,0,0
20,,S1G Beacon,129,34,-58,920,3,1,,,,,,,0,1
21,,S1G Beacon,61,34,-58,920,3,1,,,,,,,0,0
22,,S1G Beacon,61,34,-57,920,3,1,,,,,,,0,1
29,,S1G Beacon,129,34,-58,920,3,1,,,,,,,0,0
30,,S1G Beacon,129,34,-57,920,3,1,,,,,,,0,1
46,,S1G Beacon,61,34,-63,920,3,1,,,,,,,0,0
47,,S1G Beacon,61,34,-57,920,3,1,,,,,,,0,1
50,,S1G Beacon,129,34,-60,920,3,1,,,,,,,0,0
51,,S1G Beacon,129,34,-55,920,3,1,,,,,,,0,1
52,,S1G Beacon,61,34,-58,920,3,1,,,,,,,0,0
53,,S1G Beacon,61,34,-59,920,3,1,,,,,,,0,1
54,,S1G Beacon,129,34,-59,920,3,1,,,,,,,0,1
55,,S1G Beacon,61,34,-58,920,3,1,,,,,,,0,0
56,,S1G Beacon,61,34,-59,920,3,1,,,,,,,0,1
58,,S1G Beacon,129,34,-59,920,3,1,,,,,,,0,0
59,,S1G Beacon,129,34,-61,920,3,1,,,,,,,0,1
71,,S1G Beacon,61,34,-58,920,3,1,,,,,,,0,0
72,,S1G Beacon,61,34,-64,920,3,1,,,,,,,0,1
73,,S1G Beacon,129,34,-60,920,3,1,,,,,,,0,0
74,,S1G Beacon,129,34,-60,920,3,1,,,,,,,0,1
76,,S1G Beacon,61,34,-58,920,3,1,,,,,,,0,0
77,,S1G Beacon,61,34,-61,920,3,1,,,,,,,0,1
78,,S1G Beacon,129,34,-58,920,3,1,,,,,,,0,0
79,,S1G Beacon,129,34,-60,920,3,1,,,,,,,0,1
80,,S1G Beacon,61,34,-59,920,3,1,,,,,,,0,0
81,,S1G Beacon,61,34,-61,920,3,1,,,,,,,0,1
82,,S1G Beacon,129,34,-59,920,3,1,,,,,,,0,0
84,,S1G Beacon,129,34,-61,920,3,1,,,,,,,0,1
86,,RTS,54,34,0,920,1,11,,,,0,0,0,2452,0
