packet_number,timestamp,frame_name,frame_len,length,dbm_antsignal,channel_freq,type,subtype,ds,frag,retry,pwrmgt,moredata,protected,duration,label
1,2026-07-07T15:04:18.349069000Z,S1G Beacon,129,34,-8,920,3,1,,,,,,,0,1
2,2026-07-07T15:04:19.012220000Z,S1G Beacon,129,34,-65,920,3,1,,,,,,,0,0
3,2026-07-07T15:04:19.166437000Z,S1G Beacon,61,34,-9,920,3,1,,,,,,,0,1
4,2026-07-07T15:04:19.829637000Z,S1G Beacon,61,34,-64,920,3,1,,,,,,,0,0
5,2026-07-07T15:04:19.987464000Z,S1G Beacon,129,34,-7,920,3,1,,,,,,,0,1
6,2026-07-07T15:04:20.312014000Z,QoS Data,132,34,-1,920,2,8,1,0,1,0,0,0,720,0
7,2026-07-07T15:04:20.316601000Z,RTS,54,34,0,920,1,11,,,,0,0,0,2416,0
9,2026-07-07T15:04:20.321811000Z,RTS,54,34,0,920,1,11,,,,0,0,0,2416,0
11,2026-07-07T15:04:20.323505000Z,QoS Data,132,34,-2,920,2,8,1,0,1,0,0,0,720,0
14,2026-07-07T15:04:20.332807000Z,QoS Data,115,34,0,920,2,8,1,0,0,0,0,0,720,0
17,2026-07-07T15:04:20.420806000Z,QoS Data,112,34,-1,920,2,8,1,0,0,0,0,0,720,0
21,2026-07-07T15:04:20.650662000Z,S1G Beacon,129,34,-64,920,3,1,,,,,,,0,0
22,2026-07-07T15:04:20.804877000Z,S1G Beacon,61,34,-8,920,3,1,,,,,,,0,1
24,2026-07-07T15:04:21.468093000Z,S1G Beacon,61,34,-63,920,3,1,,,,,,,0,0
25,2026-07-07T15:04:21.625911000Z,S1G Beacon,129,34,-9,920,3,1,,,,,,,0,1
26,2026-07-07T15:04:22.289119000Z,S1G Beacon,129,34,-63,920,3,1,,,,,,,0,0
27,2026-07-07T15:04:22.443332000Z,S1G Beacon,61,34,-9,920,3,1,,,,,,,0,1
28,2026-07-07T15:04:23.106537000Z,S1G Beacon,61,34,-64,920,3,1,,,,,,,0,0
29,2026-07-07T15:04:23.264354000Z,S1G Beacon,129,34,-9,920,3,1,,,,,,,0,1
32,2026-07-07T15:04:23.927563000Z,S1G Beacon,129,34,-63,920,3,1,,,,,,,0,0
