attack_type,packet Number,event_type,time_stamp,signal_strength,ssid,bssid,src,dst,reason,status,details
Deauthentication Attack,1150,Deauthentication,2026-07-03T15:15:04.809465000Z,-53,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,ff:ff:ff:ff:ff:ff,3,,Deauthentication frame number 1 sent by attacker
,1157,Probe Request,2026-07-03T15:15:07.339572000Z,-34,,ff:ff:ff:ff:ff:ff,3c:22:7f:71:dc:b8,ff:ff:ff:ff:ff:ff,,,STA is broadcasting probe request
,1158,Probe Response,2026-07-03T15:15:07.349871000Z,-63,H7608,78:72:64:ea:b9:14,78:72:64:ea:b9:14,3c:22:7f:71:dc:b8,,,Trusted AP is sending probe response to STA
Evil Twin Attack,1160,Probe Response,2026-07-03T15:15:07.355066000Z,-53,H7608,9c:04:b6:46:07:34,9c:04:b6:46:07:34,3c:22:7f:71:dc:b8,,,Evil Twin is sending probe response to STA
Evil Twin Attack,1170,Authentication,2026-07-03T15:15:10.186785000Z,-21,,9c:04:b6:46:07:34,3c:22:7f:71:dc:b8,9c:04:b6:46:07:34,,0,STA is Sending Authentication request to Evil Twin
Evil Twin Attack,1172,Authentication,2026-07-03T15:15:10.189554000Z,-52,,9c:04:b6:46:07:34,9c:04:b6:46:07:34,3c:22:7f:71:dc:b8,,0,Successful Authentication to Evil Twin
Evil Twin Attack,1174,Association Request,2026-07-03T15:15:10.207156000Z,-19,H7608,9c:04:b6:46:07:34,3c:22:7f:71:dc:b8,9c:04:b6:46:07:34,,,STA is Sending association request to Evil Twin
Evil Twin Attack,1176,Association Response,2026-07-03T15:15:10.213551000Z,-53,,9c:04:b6:46:07:34,9c:04:b6:46:07:34,3c:22:7f:71:dc:b8,,0,Successful association to Evil Twin
,1252,Probe Request,2026-07-03T15:15:17.603805000Z,-18,,ff:ff:ff:ff:ff:ff,3c:22:7f:71:df:d6,ff:ff:ff:ff:ff:ff,,,STA is broadcasting probe request
,1253,Probe Response,2026-07-03T15:15:17.609945000Z,-60,H7608,78:72:64:ea:b9:14,78:72:64:ea:b9:14,3c:22:7f:71:df:d6,,,Trusted AP is sending probe response to STA
Evil Twin Attack,1256,Probe Response,2026-07-03T15:15:17.618596000Z,-54,H7608,9c:04:b6:46:07:34,9c:04:b6:46:07:34,3c:22:7f:71:df:d6,,,Evil Twin is sending probe response to STA
,1271,Authentication,2026-07-03T15:15:20.443590000Z,-16,,78:72:64:ea:b9:14,3c:22:7f:71:df:d6,78:72:64:ea:b9:14,,0,STA is Sending Authentication request to Trusted AP
,1273,Authentication,2026-07-03T15:15:20.450363000Z,-60,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,3c:22:7f:71:df:d6,,0,Successful Authentication to Trusted AP
,1275,Association Request,2026-07-03T15:15:20.465420000Z,-17,H7608,78:72:64:ea:b9:14,3c:22:7f:71:df:d6,78:72:64:ea:b9:14,,,STA is Sending association request to Trusted AP
,1277,Association Response,2026-07-03T15:15:20.473478000Z,-60,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,3c:22:7f:71:df:d6,,0,Successful association to Trusted AP
,1279,Association Response,2026-07-03T15:15:20.478681000Z,-60,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,3c:22:7f:71:df:d6,,0,Successful association to Trusted AP
