packet_number,timestamp,frame_name,frame_len,length,dbm_antsignal,channel_freq,type,subtype,ds,frag,retry,pwrmgt,moredata,protected,duration,label
1,2026-07-03T15:11:41.334298000Z,S1G Beacon,129,34,-52,920,3,1,,,,,,,0,1
3,2026-07-03T15:11:41.710626000Z,QoS Data,132,34,-16,920,2,8,1,0,0,0,0,0,720,0
5,2026-07-03T15:11:41.726319000Z,QoS Data,132,34,-65,920,2,8,0,0,1,0,0,0,720,0
7,2026-07-03T15:11:41.733295000Z,QoS Data,115,34,-16,920,2,8,1,0,0,0,0,0,720,0
9,2026-07-03T15:11:41.737177000Z,QoS Data,115,34,-62,920,2,8,0,0,0,0,0,0,720,0
10,2026-07-03T15:11:41.742628000Z,QoS Data,115,34,-63,920,2,8,0,0,1,0,0,0,720,0
11,2026-07-03T15:11:41.747247000Z,QoS Data,115,34,-63,920,2,8,0,0,1,0,0,0,720,0
12,2026-07-03T15:11:41.757899000Z,QoS Data,115,34,-62,920,2,8,0,0,1,0,0,0,720,0
15,2026-07-03T15:11:41.942988000Z,QoS Data,112,34,-15,920,2,8,1,0,0,0,0,0,720,0
18,2026-07-03T15:11:42.088046000Z,S1G Beacon,129,34,-62,920,3,1,,,,,,,0,0
19,2026-07-03T15:11:42.151697000Z,S1G Beacon,61,34,-53,920,3,1,,,,,,,0,1
20,2026-07-03T15:11:42.905474000Z,S1G Beacon,61,34,-63,920,3,1,,,,,,,0,0
21,2026-07-03T15:11:42.972725000Z,S1G Beacon,129,34,-51,920,3,1,,,,,,,0,1
22,2026-07-03T15:11:43.726506000Z,S1G Beacon,129,34,-63,920,3,1,,,,,,,0,0
23,2026-07-03T15:11:43.790143000Z,S1G Beacon,61,34,-51,920,3,1,,,,,,,0,1
25,2026-07-03T15:11:44.543916000Z,S1G Beacon,61,34,-62,920,3,1,,,,,,,0,0
26,2026-07-03T15:11:44.611169000Z,S1G Beacon,129,34,-51,920,3,1,,,,,,,0,1
27,2026-07-03T15:11:45.364947000Z,S1G Beacon,129,34,-61,920,3,1,,,,,,,0,0
28,2026-07-03T15:11:45.428584000Z,S1G Beacon,61,34,-52,920,3,1,,,,,,,0,1
30,2026-07-03T15:11:46.182362000Z,S1G Beacon,61,34,-64,920,3,1,,,,,,,0,0
31,2026-07-03T15:11:46.249616000Z,S1G Beacon,129,34,-51,920,3,1,,,,,,,0,1
34,2026-07-03T15:11:46.780322000Z,QoS Data,115,34,-15,920,2,8,1,0,0,0,0,0,720,0
36,2026-07-03T15:11:46.785325000Z,QoS Data,115,34,-62,920,2,8,0,0,0,0,0,0,720,0
37,2026-07-03T15:11:46.943069000Z,QoS Data,112,34,-13,920,2,8,1,0,0,0,0,0,720,0
39,2026-07-03T15:11:46.949165000Z,QoS Data,112,34,-65,920,2,8,0,0,1,0,0,0,720,0
41,2026-07-03T15:11:47.003398000Z,S1G Beacon,129,34,-62,920,3,1,,,,,,,0,0
42,2026-07-03T15:11:47.067045000Z,S1G Beacon,61,34,-52,920,3,1,,,,,,,0,1
44,2026-07-03T15:11:47.820819000Z,S1G Beacon,61,34,-63,920,3,1,,,,,,,0,0
45,2026-07-03T15:11:47.888069000Z,S1G Beacon,129,34,-51,920,3,1,,,,,,,0,1
46,2026-07-03T15:11:48.641844000Z,S1G Beacon,129,34,-62,920,3,1,,,,,,,0,0
47,2026-07-03T15:11:48.705488000Z,S1G Beacon,61,34,-51,920,3,1,,,,,,,0,1
48,2026-07-03T15:11:49.459266000Z,S1G Beacon,61,34,-63,920,3,1,,,,,,,0,0
49,2026-07-03T15:11:49.526515000Z,S1G Beacon,129,34,-51,920,3,1,,,,,,,0,1
50,2026-07-03T15:11:50.280295000Z,S1G Beacon,129,34,-64,920,3,1,,,,,,,0,0
51,2026-07-03T15:11:50.343929000Z,S1G Beacon,61,34,-53,920,3,1,,,,,,,0,1
53,2026-07-03T15:11:51.097708000Z,S1G Beacon,61,34,-62,920,3,1,,,,,,,0,0
54,2026-07-03T15:11:51.164955000Z,S1G Beacon,129,34,-51,920,3,1,,,,,,,0,1
55,2026-07-03T15:11:51.790630000Z,QoS Data,132,34,-17,920,2,8,1,0,0,0,0,0,720,0
57,2026-07-03T15:11:51.793442000Z,QoS Data,132,34,-62,920,2,8,0,0,0,0,0,0,720,0
59,2026-07-03T15:11:51.804609000Z,QoS Data,115,34,-60,920,2,8,0,0,0,0,0,0,720,0
61,2026-07-03T15:11:51.918734000Z,S1G Beacon,129,34,-60,920,3,1,,,,,,,0,0
62,2026-07-03T15:11:51.943100000Z,QoS Data,112,34,-16,920,2,8,1,0,0,0,0,0,720,0
64,2026-07-03T15:11:51.945657000Z,QoS Data,112,34,-62,920,2,8,0,0,0,0,0,0,720,0
66,2026-07-03T15:11:51.982379000Z,S1G Beacon,61,34,-51,920,3,1,,,,,,,0,1
67,2026-07-03T15:11:52.736167000Z,S1G Beacon,61,34,-59,920,3,1,,,,,,,0,0
68,2026-07-03T15:11:52.803764000Z,S1G Beacon,129,34,-51,920,3,1,,,,,,,0,1
75,2026-07-03T15:11:53.557190000Z,S1G Beacon,129,34,-62,920,3,1,,,,,,,0,0
77,2026-07-03T15:11:53.620822000Z,S1G Beacon,61,34,-51,920,3,1,,,,,,,0,1
85,2026-07-03T15:11:54.374606000Z,S1G Beacon,61,34,-60,920,3,1,,,,,,,0,0
86,2026-07-03T15:11:54.441847000Z,S1G Beacon,129,34,-53,920,3,1,,,,,,,0,1
87,2026-07-03T15:11:55.195647000Z,S1G Beacon,129,34,-62,920,3,1,,,,,,,0,0
88,2026-07-03T15:11:55.259687000Z,S1G Beacon,61,34,-53,920,3,1,,,,,,,0,1
89,2026-07-03T15:11:56.013067000Z,S1G Beacon,61,34,-60,920,3,1,,,,,,,0,0
90,2026-07-03T15:11:56.080309000Z,S1G Beacon,129,34,-53,920,3,1,,,,,,,0,1
93,2026-07-03T15:11:56.834082000Z,S1G Beacon,129,34,-62,920,3,1,,,,,,,0,0
95,2026-07-03T15:11:56.897718000Z,S1G Beacon,61,34,-51,920,3,1,,,,,,,0,1
97,2026-07-03T15:11:56.948628000Z,QoS Data,112,34,-62,920,2,8,0,0,1,0,0,0,720,0
99,2026-07-03T15:11:57.651546000Z,S1G Beacon,61,34,-62,920,3,1,,,,,,,0,0
100,2026-07-03T15:11:57.718758000Z,S1G Beacon,129,34,-51,920,3,1,,,,,,,0,1
101,2026-07-03T15:11:58.472543000Z,S1G Beacon,129,34,-60,920,3,1,,,,,,,0,0
102,2026-07-03T15:11:58.536180000Z,S1G Beacon,61,34,-51,920,3,1,,,,,,,0,1
103,2026-07-03T15:11:59.289966000Z,S1G Beacon,61,34,-60,920,3,1,,,,,,,0,0
104,2026-07-03T15:11:59.357208000Z,S1G Beacon,129,34,-52,920,3,1,,,,,,,0,1
106,2026-07-03T15:12:00.110999000Z,S1G Beacon,129,34,-60,920,3,1,,,,,,,0,0
107,2026-07-03T15:12:00.174623000Z,S1G Beacon,61,34,-51,920,3,1,,,,,,,0,1
108,2026-07-03T15:12:00.928418000Z,S1G Beacon,61,34,-61,920,3,1,,,,,,,0,0
109,2026-07-03T15:12:00.995654000Z,S1G Beacon,129,34,-52,920,3,1,,,,,,,0,1
110,2026-07-03T15:12:01.749448000Z,S1G Beacon,129,34,-61,920,3,1,,,,,,,0,0
111,2026-07-03T15:12:01.813073000Z,S1G Beacon,61,34,-51,920,3,1,,,,,,,0,1
113,2026-07-03T15:12:01.840207000Z,QoS Data,115,34,-20,920,2,8,1,0,0,0,0,0,720,0
115,2026-07-03T15:12:01.844143000Z,QoS Data,115,34,-62,920,2,8,0,0,0,0,0,0,720,0
116,2026-07-03T15:12:01.943173000Z,QoS Data,112,34,-20,920,2,8,1,0,0,0,0,0,720,0
118,2026-07-03T15:12:01.945415000Z,QoS Data,112,34,-62,920,2,8,0,0,0,0,0,0,720,0
