packet_number,timestamp,frame_name,frame_len,length,dbm_antsignal,channel_freq,type,subtype,ds,frag,retry,pwrmgt,moredata,protected,duration,label
1,2026-07-03T15:43:20.430568000Z,S1G Beacon,61,34,-54,920,3,1,,,,,,,0,1
2,2026-07-03T15:43:20.682644000Z,QoS Data,132,34,-11,920,2,8,1,0,0,0,0,0,720,0
5,2026-07-03T15:43:20.721055000Z,QoS Data,115,34,-62,920,2,8,0,0,1,0,0,0,720,0
7,2026-07-03T15:43:20.765168000Z,QoS Data,112,34,-11,920,2,8,1,0,0,0,0,0,720,0
9,2026-07-03T15:43:20.860950000Z,S1G Beacon,129,34,-58,920,3,1,,,,,,,0,0
10,2026-07-03T15:43:21.251586000Z,S1G Beacon,129,34,-55,920,3,1,,,,,,,0,1
11,2026-07-03T15:43:21.678374000Z,S1G Beacon,61,34,-61,920,3,1,,,,,,,0,0
12,2026-07-03T15:43:22.068993000Z,S1G Beacon,61,34,-55,920,3,1,,,,,,,0,1
13,2026-07-03T15:43:22.499402000Z,S1G Beacon,129,34,-60,920,3,1,,,,,,,0,0
15,2026-07-03T15:43:22.890016000Z,S1G Beacon,129,34,-54,920,3,1,,,,,,,0,1
20,2026-07-03T15:43:23.316820000Z,S1G Beacon,61,34,-61,920,3,1,,,,,,,0,0
25,2026-07-03T15:43:23.707449000Z,S1G Beacon,61,34,-56,920,3,1,,,,,,,0,1
31,2026-07-03T15:43:24.137861000Z,S1G Beacon,129,34,-58,920,3,1,,,,,,,0,0
32,2026-07-03T15:43:24.528470000Z,S1G Beacon,129,34,-54,920,3,1,,,,,,,0,1
33,2026-07-03T15:43:24.955276000Z,S1G Beacon,61,34,-60,920,3,1,,,,,,,0,0
34,2026-07-03T15:43:25.345887000Z,S1G Beacon,61,34,-54,920,3,1,,,,,,,0,1
35,2026-07-03T15:43:25.733134000Z,QoS Data,132,34,-11,920,2,8,1,0,0,0,0,0,720,0
39,2026-07-03T15:43:25.765452000Z,QoS Data,112,34,-11,920,2,8,1,0,0,0,0,0,720,0
42,2026-07-03T15:43:25.776295000Z,S1G Beacon,129,34,-62,920,3,1,,,,,,,0,0
45,2026-07-03T15:43:26.593718000Z,S1G Beacon,61,34,-61,920,3,1,,,,,,,0,0
47,2026-07-03T15:43:26.984329000Z,S1G Beacon,61,34,-54,920,3,1,,,,,,,0,1
48,2026-07-03T15:43:27.414740000Z,S1G Beacon,129,34,-61,920,3,1,,,,,,,0,0
49,2026-07-03T15:43:27.805352000Z,S1G Beacon,129,34,-54,920,3,1,,,,,,,0,1
50,2026-07-03T15:43:28.232169000Z,S1G Beacon,61,34,-60,920,3,1,,,,,,,0,0
51,2026-07-03T15:43:28.622775000Z,S1G Beacon,61,34,-55,920,3,1,,,,,,,0,1
52,2026-07-03T15:43:29.053192000Z,S1G Beacon,129,34,-60,920,3,1,,,,,,,0,0
53,2026-07-03T15:43:29.443800000Z,S1G Beacon,129,34,-53,920,3,1,,,,,,,0,1
55,2026-07-03T15:43:29.870612000Z,S1G Beacon,61,34,-59,920,3,1,,,,,,,0,0
56,2026-07-03T15:43:30.261220000Z,S1G Beacon,61,34,-54,920,3,1,,,,,,,0,1
57,2026-07-03T15:43:30.691651000Z,S1G Beacon,129,34,-60,920,3,1,,,,,,,0,0
58,2026-07-03T15:43:30.758299000Z,QoS Data,132,34,-10,920,2,8,1,0,0,0,0,0,720,0
