attack_type,packet Number,event_type,time_stamp,signal_strength,bssid,src,dst,details
,2,QoS Data,2026-07-03T15:43:20.682644000Z,-11,78:72:64:ea:b9:14,3c:22:7f:71:df:d6,3c:22:7f:71:dc:b8,Transmitting data using Trusted AP
,5,QoS Data,2026-07-03T15:43:20.721055000Z,-62,78:72:64:ea:b9:14,3c:22:7f:71:dc:b8,3c:22:7f:71:df:d6,Transmitting data using Trusted AP
,7,QoS Data,2026-07-03T15:43:20.765168000Z,-11,78:72:64:ea:b9:14,3c:22:7f:71:df:d6,3c:22:7f:71:dc:b8,Transmitting data using Trusted AP
,35,QoS Data,2026-07-03T15:43:25.733134000Z,-11,78:72:64:ea:b9:14,3c:22:7f:71:df:d6,3c:22:7f:71:dc:b8,Transmitting data using Trusted AP
,39,QoS Data,2026-07-03T15:43:25.765452000Z,-11,78:72:64:ea:b9:14,3c:22:7f:71:df:d6,3c:22:7f:71:dc:b8,Transmitting data using Trusted AP
,58,QoS Data,2026-07-03T15:43:30.758299000Z,-10,78:72:64:ea:b9:14,3c:22:7f:71:df:d6,3c:22:7f:71:dc:b8,Transmitting data using Trusted AP
,60,QoS Data,2026-07-03T15:43:30.770253000Z,-26,78:72:64:ea:b9:14,3c:22:7f:71:dc:b8,3c:22:7f:71:df:d6,Transmitting data using Trusted AP
,62,QoS Data,2026-07-03T15:43:30.772579000Z,-64,78:72:64:ea:b9:14,3c:22:7f:71:dc:b8,3c:22:7f:71:df:d6,Transmitting data using Trusted AP
,64,QoS Data,2026-07-03T15:43:31.015620000Z,-10,78:72:64:ea:b9:14,3c:22:7f:71:df:d6,3c:22:7f:71:dc:b8,Transmitting data using Trusted AP
,81,QoS Data,2026-07-03T15:43:35.783058000Z,-8,78:72:64:ea:b9:14,3c:22:7f:71:df:d6,3c:22:7f:71:dc:b8,Transmitting data using Trusted AP
,83,QoS Data,2026-07-03T15:43:35.797482000Z,-63,78:72:64:ea:b9:14,3c:22:7f:71:df:d6,3c:22:7f:71:dc:b8,Transmitting data using Trusted AP
,88,QoS Data,2026-07-03T15:43:36.015612000Z,-9,78:72:64:ea:b9:14,3c:22:7f:71:df:d6,3c:22:7f:71:dc:b8,Transmitting data using Trusted AP
,101,QoS Data,2026-07-03T15:43:40.813065000Z,-8,78:72:64:ea:b9:14,3c:22:7f:71:df:d6,3c:22:7f:71:dc:b8,Transmitting data using Trusted AP
,103,QoS Data,2026-07-03T15:43:40.815358000Z,-62,78:72:64:ea:b9:14,3c:22:7f:71:df:d6,3c:22:7f:71:dc:b8,Transmitting data using Trusted AP
,107,QoS Data,2026-07-03T15:43:41.015234000Z,-8,78:72:64:ea:b9:14,3c:22:7f:71:df:d6,3c:22:7f:71:dc:b8,Transmitting data using Trusted AP
,137,QoS Data,2026-07-03T15:43:45.834316000Z,-9,78:72:64:ea:b9:14,3c:22:7f:71:df:d6,3c:22:7f:71:dc:b8,Transmitting data using Trusted AP
,139,QoS Data,2026-07-03T15:43:45.836557000Z,-62,78:72:64:ea:b9:14,3c:22:7f:71:df:d6,3c:22:7f:71:dc:b8,Transmitting data using Trusted AP
,140,QoS Data,2026-07-03T15:43:45.843510000Z,-25,78:72:64:ea:b9:14,3c:22:7f:71:dc:b8,3c:22:7f:71:df:d6,Transmitting data using Trusted AP
,143,QoS Data,2026-07-03T15:43:46.015630000Z,-10,78:72:64:ea:b9:14,3c:22:7f:71:df:d6,3c:22:7f:71:dc:b8,Transmitting data using Trusted AP
,145,QoS Data,2026-07-03T15:43:46.018693000Z,-63,78:72:64:ea:b9:14,3c:22:7f:71:df:d6,3c:22:7f:71:dc:b8,Transmitting data using Trusted AP
,167,QoS Data,2026-07-03T15:43:51.015602000Z,-8,78:72:64:ea:b9:14,3c:22:7f:71:df:d6,3c:22:7f:71:dc:b8,Transmitting data using Trusted AP
,169,QoS Data,2026-07-03T15:43:51.018029000Z,-62,78:72:64:ea:b9:14,3c:22:7f:71:df:d6,3c:22:7f:71:dc:b8,Transmitting data using Trusted AP
,186,QoS Data,2026-07-03T15:43:55.897161000Z,-8,78:72:64:ea:b9:14,3c:22:7f:71:df:d6,3c:22:7f:71:dc:b8,Transmitting data using Trusted AP
,189,QoS Data,2026-07-03T15:43:55.906406000Z,-27,78:72:64:ea:b9:14,3c:22:7f:71:dc:b8,3c:22:7f:71:df:d6,Transmitting data using Trusted AP
,192,QoS Data,2026-07-03T15:43:56.015653000Z,-7,78:72:64:ea:b9:14,3c:22:7f:71:df:d6,3c:22:7f:71:dc:b8,Transmitting data using Trusted AP
,209,QoS Data,2026-07-03T15:44:00.923084000Z,-13,78:72:64:ea:b9:14,3c:22:7f:71:df:d6,3c:22:7f:71:dc:b8,Transmitting data using Trusted AP
,212,QoS Data,2026-07-03T15:44:00.934040000Z,-26,78:72:64:ea:b9:14,3c:22:7f:71:dc:b8,3c:22:7f:71:df:d6,Transmitting data using Trusted AP
,216,QoS Data,2026-07-03T15:44:01.015709000Z,-12,78:72:64:ea:b9:14,3c:22:7f:71:df:d6,3c:22:7f:71:dc:b8,Transmitting data using Trusted AP
,243,QoS Data,2026-07-03T15:44:05.982312000Z,-15,78:72:64:ea:b9:14,3c:22:7f:71:df:d6,3c:22:7f:71:dc:b8,Transmitting data using Trusted AP
,245,QoS Data,2026-07-03T15:44:05.984658000Z,-63,78:72:64:ea:b9:14,3c:22:7f:71:df:d6,3c:22:7f:71:dc:b8,Transmitting data using Trusted AP
,248,QoS Data,2026-07-03T15:44:06.015567000Z,-13,78:72:64:ea:b9:14,3c:22:7f:71:df:d6,3c:22:7f:71:dc:b8,Transmitting data using Trusted AP
,266,QoS Data,2026-07-03T15:44:11.002710000Z,-15,78:72:64:ea:b9:14,3c:22:7f:71:df:d6,3c:22:7f:71:dc:b8,Transmitting data using Trusted AP
,268,QoS Data,2026-07-03T15:44:11.004849000Z,-61,78:72:64:ea:b9:14,3c:22:7f:71:df:d6,3c:22:7f:71:dc:b8,Transmitting data using Trusted AP
,272,QoS Data,2026-07-03T15:44:11.265139000Z,-14,78:72:64:ea:b9:14,3c:22:7f:71:df:d6,3c:22:7f:71:dc:b8,Transmitting data using Trusted AP
,274,QoS Data,2026-07-03T15:44:11.267570000Z,-63,78:72:64:ea:b9:14,3c:22:7f:71:df:d6,3c:22:7f:71:dc:b8,Transmitting data using Trusted AP
,290,QoS Data,2026-07-03T15:44:16.032731000Z,-15,78:72:64:ea:b9:14,3c:22:7f:71:df:d6,3c:22:7f:71:dc:b8,Transmitting data using Trusted AP
,292,QoS Data,2026-07-03T15:44:16.035495000Z,-63,78:72:64:ea:b9:14,3c:22:7f:71:df:d6,3c:22:7f:71:dc:b8,Transmitting data using Trusted AP
,296,QoS Data,2026-07-03T15:44:16.265136000Z,-14,78:72:64:ea:b9:14,3c:22:7f:71:df:d6,3c:22:7f:71:dc:b8,Transmitting data using Trusted AP
,298,QoS Data,2026-07-03T15:44:16.267139000Z,-62,78:72:64:ea:b9:14,3c:22:7f:71:df:d6,3c:22:7f:71:dc:b8,Transmitting data using Trusted AP
,314,QoS Data,2026-07-03T15:44:21.052676000Z,-14,78:72:64:ea:b9:14,3c:22:7f:71:df:d6,3c:22:7f:71:dc:b8,Transmitting data using Trusted AP
,320,QoS Data,2026-07-03T15:44:21.265438000Z,-14,78:72:64:ea:b9:14,3c:22:7f:71:df:d6,3c:22:7f:71:dc:b8,Transmitting data using Trusted AP
,340,QoS Data,2026-07-03T15:44:26.083796000Z,-14,78:72:64:ea:b9:14,3c:22:7f:71:df:d6,3c:22:7f:71:dc:b8,Transmitting data using Trusted AP
,346,QoS Data,2026-07-03T15:44:26.269166000Z,-14,78:72:64:ea:b9:14,3c:22:7f:71:df:d6,3c:22:7f:71:dc:b8,Transmitting data using Trusted AP
,369,QoS Data,2026-07-03T15:44:31.122503000Z,-14,78:72:64:ea:b9:14,3c:22:7f:71:df:d6,3c:22:7f:71:dc:b8,Transmitting data using Trusted AP
,373,QoS Data,2026-07-03T15:44:31.265142000Z,-14,78:72:64:ea:b9:14,3c:22:7f:71:df:d6,3c:22:7f:71:dc:b8,Transmitting data using Trusted AP
,390,QoS Data,2026-07-03T15:44:36.143093000Z,-15,78:72:64:ea:b9:14,3c:22:7f:71:df:d6,3c:22:7f:71:dc:b8,Transmitting data using Trusted AP
,395,QoS Data,2026-07-03T15:44:36.265547000Z,-14,78:72:64:ea:b9:14,3c:22:7f:71:df:d6,3c:22:7f:71:dc:b8,Transmitting data using Trusted AP
,412,QoS Data,2026-07-03T15:44:41.163153000Z,-13,78:72:64:ea:b9:14,3c:22:7f:71:df:d6,3c:22:7f:71:dc:b8,Transmitting data using Trusted AP
,416,QoS Data,2026-07-03T15:44:41.269069000Z,-14,78:72:64:ea:b9:14,3c:22:7f:71:df:d6,3c:22:7f:71:dc:b8,Transmitting data using Trusted AP
,435,QoS Data,2026-07-03T15:44:46.183175000Z,-14,78:72:64:ea:b9:14,3c:22:7f:71:df:d6,3c:22:7f:71:dc:b8,Transmitting data using Trusted AP
,438,QoS Data,2026-07-03T15:44:46.195281000Z,-23,78:72:64:ea:b9:14,3c:22:7f:71:dc:b8,3c:22:7f:71:df:d6,Transmitting data using Trusted AP
,440,QoS Data,2026-07-03T15:44:46.222154000Z,-63,78:72:64:ea:b9:14,3c:22:7f:71:dc:b8,3c:22:7f:71:df:d6,Transmitting data using Trusted AP
,441,QoS Data,2026-07-03T15:44:46.233865000Z,-63,78:72:64:ea:b9:14,3c:22:7f:71:dc:b8,3c:22:7f:71:df:d6,Transmitting data using Trusted AP
,443,QoS Data,2026-07-03T15:44:46.265668000Z,-14,78:72:64:ea:b9:14,3c:22:7f:71:df:d6,3c:22:7f:71:dc:b8,Transmitting data using Trusted AP
,474,QoS Data,2026-07-03T15:44:51.243091000Z,-13,78:72:64:ea:b9:14,3c:22:7f:71:df:d6,3c:22:7f:71:dc:b8,Transmitting data using Trusted AP
,478,QoS Data,2026-07-03T15:44:51.265240000Z,-14,78:72:64:ea:b9:14,3c:22:7f:71:df:d6,3c:22:7f:71:dc:b8,Transmitting data using Trusted AP
,497,QoS Data,2026-07-03T15:44:56.263125000Z,-15,78:72:64:ea:b9:14,3c:22:7f:71:df:d6,3c:22:7f:71:dc:b8,Transmitting data using Trusted AP
,499,QoS Data,2026-07-03T15:44:56.275296000Z,-65,78:72:64:ea:b9:14,3c:22:7f:71:df:d6,3c:22:7f:71:dc:b8,Transmitting data using Trusted AP
,501,QoS Data,2026-07-03T15:44:56.293895000Z,-64,78:72:64:ea:b9:14,3c:22:7f:71:df:d6,3c:22:7f:71:dc:b8,Transmitting data using Trusted AP
,502,QoS Data,2026-07-03T15:44:56.300895000Z,-27,78:72:64:ea:b9:14,3c:22:7f:71:dc:b8,3c:22:7f:71:df:d6,Transmitting data using Trusted AP
,504,QoS Data,2026-07-03T15:44:56.316315000Z,-64,78:72:64:ea:b9:14,3c:22:7f:71:dc:b8,3c:22:7f:71:df:d6,Transmitting data using Trusted AP
,506,QoS Data,2026-07-03T15:44:56.515706000Z,-14,78:72:64:ea:b9:14,3c:22:7f:71:df:d6,3c:22:7f:71:dc:b8,Transmitting data using Trusted AP
,523,QoS Data,2026-07-03T15:45:01.323145000Z,-15,78:72:64:ea:b9:14,3c:22:7f:71:df:d6,3c:22:7f:71:dc:b8,Transmitting data using Trusted AP
,525,QoS Data,2026-07-03T15:45:01.336584000Z,-25,78:72:64:ea:b9:14,3c:22:7f:71:dc:b8,3c:22:7f:71:df:d6,Transmitting data using Trusted AP
,526,QoS Data,2026-07-03T15:45:01.346882000Z,-24,78:72:64:ea:b9:14,3c:22:7f:71:dc:b8,3c:22:7f:71:df:d6,Transmitting data using Trusted AP
,527,QoS Data,2026-07-03T15:45:01.351881000Z,-24,78:72:64:ea:b9:14,3c:22:7f:71:dc:b8,3c:22:7f:71:df:d6,Transmitting data using Trusted AP
,528,QoS Data,2026-07-03T15:45:01.355998000Z,-23,78:72:64:ea:b9:14,3c:22:7f:71:dc:b8,3c:22:7f:71:df:d6,Transmitting data using Trusted AP
,531,QoS Data,2026-07-03T15:45:01.515705000Z,-16,78:72:64:ea:b9:14,3c:22:7f:71:df:d6,3c:22:7f:71:dc:b8,Transmitting data using Trusted AP
,549,QoS Data,2026-07-03T15:45:06.373171000Z,-15,78:72:64:ea:b9:14,3c:22:7f:71:df:d6,3c:22:7f:71:dc:b8,Transmitting data using Trusted AP
,550,QoS Data,2026-07-03T15:45:06.377571000Z,-15,78:72:64:ea:b9:14,3c:22:7f:71:df:d6,3c:22:7f:71:dc:b8,Transmitting data using Trusted AP
,553,QoS Data,2026-07-03T15:45:06.387287000Z,-28,78:72:64:ea:b9:14,3c:22:7f:71:dc:b8,3c:22:7f:71:df:d6,Transmitting data using Trusted AP
,554,QoS Data,2026-07-03T15:45:06.391077000Z,-28,78:72:64:ea:b9:14,3c:22:7f:71:dc:b8,3c:22:7f:71:df:d6,Transmitting data using Trusted AP
,555,QoS Data,2026-07-03T15:45:06.398361000Z,-24,78:72:64:ea:b9:14,3c:22:7f:71:dc:b8,3c:22:7f:71:df:d6,Transmitting data using Trusted AP
,556,QoS Data,2026-07-03T15:45:06.402635000Z,-25,78:72:64:ea:b9:14,3c:22:7f:71:dc:b8,3c:22:7f:71:df:d6,Transmitting data using Trusted AP
