host_timestamp,local_time,esp32_uptime_us,cpu_used_pct,ram_used_pct,throughput_bps,tcp_disconnects,rssi
1783093411.4809253,2026-07-03 17:43:31,8106901445,1.11,17.73,4.8,1,-59
1783093416.4822702,2026-07-03 17:43:36,8111901445,1.04,17.73,4.8,1,-59
1783093421.4857652,2026-07-03 17:43:41,8116901445,0.94,17.73,4.8,1,-59
1783093426.479892,2026-07-03 17:43:46,8121901445,1.33,17.73,4.8,1,-60
1783093431.467176,2026-07-03 17:43:51,8126901445,1.02,17.73,4.8,1,-60
1783093436.4878063,2026-07-03 17:43:56,8131901445,0.99,17.73,4.8,1,-62
1783093441.4785352,2026-07-03 17:44:01,8136901446,0.99,17.73,4.8,1,-65
1783093446.500874,2026-07-03 17:44:06,8141901445,1.29,17.81,4.8,1,-61
1783093451.5052624,2026-07-03 17:44:11,8146901445,0.95,18.18,4.8,1,-60
1783093456.4915736,2026-07-03 17:44:16,8151901445,0.98,17.73,2.4,1,-61
1783093461.4985952,2026-07-03 17:44:21,8156901445,1.0,17.73,4.8,1,-61
1783093466.4893634,2026-07-03 17:44:26,8161901445,1.11,17.73,4.8,1,-62
1783093471.4977732,2026-07-03 17:44:31,8166901445,1.31,17.73,4.8,1,-62
1783093476.496966,2026-07-03 17:44:36,8171901445,1.08,17.73,4.8,1,-61
1783093481.5033612,2026-07-03 17:44:41,8176901445,1.11,17.73,4.8,1,-61
1783093486.4972477,2026-07-03 17:44:46,8181901445,1.08,17.73,4.8,1,-62
1783093491.5096474,2026-07-03 17:44:51,8186901445,1.38,17.73,4.8,1,-61
1783093496.5026114,2026-07-03 17:44:56,8191901445,1.06,17.73,4.8,1,-66
1783093501.5118823,2026-07-03 17:45:01,8196901445,1.08,17.73,4.8,1,-67
1783093506.5080717,2026-07-03 17:45:06,8201901445,1.06,17.73,4.8,1,-66
1783093511.506425,2026-07-03 17:45:11,8206901445,1.37,17.73,4.8,1,-63
1783093516.511664,2026-07-03 17:45:16,8211901445,1.23,17.73,4.8,1,-64
1783093521.5147748,2026-07-03 17:45:21,8216901445,0.98,17.73,4.8,1,-64
1783093526.5083373,2026-07-03 17:45:26,8221901445,1.0,17.73,4.8,1,-62
1783093531.4998918,2026-07-03 17:45:31,8226901445,1.29,17.73,4.8,1,-59
1783093536.5223594,2026-07-03 17:45:36,8231901445,1.03,17.73,4.8,1,-60
1783093541.4988096,2026-07-03 17:45:41,8236901445,1.01,17.73,4.8,1,-60
1783093546.4902227,2026-07-03 17:45:46,8241901445,1.22,17.73,4.8,1,-62
1783093551.4957764,2026-07-03 17:45:51,8246901445,1.33,17.73,4.8,1,-60
1783093556.4950194,2026-07-03 17:45:56,8251901445,1.13,17.73,4.8,1,-60
1783093561.5041802,2026-07-03 17:46:01,8256901445,1.11,17.73,4.8,1,-60
1783093566.4959552,2026-07-03 17:46:06,8261901445,1.11,17.73,4.8,1,-60
1783093571.4996705,2026-07-03 17:46:11,8266901445,1.17,17.73,4.8,1,-59
1783093576.5009024,2026-07-03 17:46:16,8271901445,1.37,17.73,4.8,1,-60
1783093581.5074902,2026-07-03 17:46:21,8276901445,1.07,17.73,4.8,1,-61
1783093586.503362,2026-07-03 17:46:26,8281901445,1.09,17.73,4.8,1,-60
1783093591.5068347,2026-07-03 17:46:31,8286901445,1.03,17.73,4.8,1,-59
1783093596.5233278,2026-07-03 17:46:36,8291901445,1.43,17.76,4.8,1,-60
1783093601.5152504,2026-07-03 17:46:41,8296901445,0.92,18.08,0.0,1,-60
1783093606.514417,2026-07-03 17:46:46,8301901447,0.82,18.11,0.0,1,-60
1783093611.515466,2026-07-03 17:46:51,8306901445,1.7,17.7,0.0,1,-60
1783093616.533992,2026-07-03 17:46:56,8311901445,1.5,17.81,2.4,2,-60
1783093621.5179965,2026-07-03 17:47:01,8316901445,1.11,17.81,2.4,2,-64
1783093626.5301862,2026-07-03 17:47:06,8321901445,1.15,17.81,4.8,2,-62
1783093631.520287,2026-07-03 17:47:11,8326901445,1.08,17.81,4.8,2,-67
1783093636.5217154,2026-07-03 17:47:16,8331901445,1.31,17.81,4.8,2,-62
1783093641.5355153,2026-07-03 17:47:21,8336901445,1.02,17.81,4.8,2,-63
