host_timestamp,local_time,esp32_uptime_us,cpu_used_pct,ram_used_pct,throughput_bps,tcp_disconnects,rssi
1783093413.8356173,2026-07-03 17:43:33,8116838172,0.84,17.64,32.0,1,-65
1783093418.82176,2026-07-03 17:43:38,8121838172,0.83,17.64,32.0,1,-65
1783093423.8273377,2026-07-03 17:43:43,8126838172,0.82,17.64,32.0,1,-63
1783093428.8224115,2026-07-03 17:43:48,8131838172,1.17,17.64,32.0,1,-64
1783093433.8194528,2026-07-03 17:43:53,8136838172,0.77,17.64,32.0,1,-62
1783093438.8244147,2026-07-03 17:43:58,8141838174,0.85,17.64,32.0,1,-66
1783093443.8215933,2026-07-03 17:44:03,8146838172,1.03,17.64,32.0,1,-64
1783093448.8261213,2026-07-03 17:44:08,8151838172,1.19,17.64,32.0,1,-60
1783093453.8309493,2026-07-03 17:44:13,8156838172,0.88,17.64,32.0,1,-59
1783093458.829211,2026-07-03 17:44:18,8161838172,0.87,17.64,32.0,1,-61
1783093463.8312945,2026-07-03 17:44:23,8166838172,0.84,17.64,32.0,1,-60
1783093468.8350213,2026-07-03 17:44:28,8171838172,1.16,17.64,32.0,1,-59
1783093473.8427947,2026-07-03 17:44:33,8176838172,0.86,17.64,32.0,1,-58
1783093478.8424523,2026-07-03 17:44:38,8181838172,0.83,17.64,32.0,1,-59
1783093483.8444867,2026-07-03 17:44:43,8186838172,0.86,17.64,32.0,1,-60
1783093488.851799,2026-07-03 17:44:48,8191838172,1.18,17.64,32.0,1,-59
1783093493.84484,2026-07-03 17:44:53,8196838172,0.92,17.64,32.0,1,-60
1783093498.8755393,2026-07-03 17:44:58,8201838172,0.89,17.64,32.0,1,-64
1783093503.856055,2026-07-03 17:45:03,8206838172,0.82,17.64,32.0,1,-67
1783093508.8528614,2026-07-03 17:45:08,8211838172,1.04,17.64,32.0,1,-68
1783093513.8702579,2026-07-03 17:45:13,8216838172,1.08,17.64,32.0,1,-62
1783093518.8581064,2026-07-03 17:45:18,8221838174,0.88,17.64,32.0,1,-63
1783093523.8521202,2026-07-03 17:45:23,8226838172,0.88,17.64,32.0,1,-60
1783093528.8549337,2026-07-03 17:45:28,8231838172,0.88,17.64,32.0,1,-64
1783093533.8528264,2026-07-03 17:45:33,8236838174,1.16,17.64,32.0,1,-58
1783093538.845628,2026-07-03 17:45:38,8241838172,0.9,17.64,32.0,1,-59
1783093543.840988,2026-07-03 17:45:43,8246838172,0.88,17.64,32.0,1,-60
1783093548.8460848,2026-07-03 17:45:48,8251838172,0.89,17.64,32.0,1,-60
1783093553.8375776,2026-07-03 17:45:53,8256838172,1.18,17.64,32.0,1,-59
1783093558.8460963,2026-07-03 17:45:58,8261838172,0.9,17.64,32.0,1,-60
1783093563.8472514,2026-07-03 17:46:03,8266838172,0.87,17.64,32.0,1,-59
1783093568.8478441,2026-07-03 17:46:08,8271838172,0.91,17.64,32.0,1,-60
1783093573.8680718,2026-07-03 17:46:13,8276838172,1.26,17.64,32.0,1,-60
1783093578.8508487,2026-07-03 17:46:18,8281838172,0.86,17.64,32.0,1,-60
1783093583.8495984,2026-07-03 17:46:23,8286838172,0.85,17.64,32.0,1,-58
1783093588.8499506,2026-07-03 17:46:28,8291838172,0.92,17.64,32.0,1,-59
1783093593.851849,2026-07-03 17:46:33,8296838174,1.16,17.64,32.0,1,-62
1783093598.858736,2026-07-03 17:46:38,8301838172,1.27,17.75,32.0,2,-63
1783093603.8664436,2026-07-03 17:46:43,8306838172,1.94,17.68,0.0,2,-56
1783093608.8697193,2026-07-03 17:46:48,8311838172,0.91,17.68,0.0,2,-56
1783093613.8645666,2026-07-03 17:46:53,8316838172,1.44,17.7,0.0,2,-59
1783093618.8740363,2026-07-03 17:46:58,8321838172,1.04,18.1,32.0,2,-59
1783093623.874607,2026-07-03 17:47:03,8326838173,0.8,17.7,0.0,2,-58
1783093628.8734052,2026-07-03 17:47:08,8331838172,0.8,17.7,0.0,2,-59
1783093633.8657508,2026-07-03 17:47:13,8336838172,0.91,17.7,32.0,2,-59
1783093638.8749623,2026-07-03 17:47:18,8341838172,1.12,17.7,32.0,2,-59
1783093643.868075,2026-07-03 17:47:23,8346838172,0.89,17.7,32.0,2,-59
