attack_type,packet Number,event_type,time_stamp,signal_strength,ssid,bssid,src,dst,reason,status,details
,2622,Deauthentication,2026-07-03T14:23:14.649721000Z,-51,,9c:04:b6:46:07:34,9c:04:b6:46:07:34,ff:ff:ff:ff:ff:ff,2,,Legitimate Deauthentication frame not sent by attacker
,1,S1G Beacon,2026-07-08T14:25:43.389398000Z,-33,H7608,,78:72:64:ea:b9:14,,,,Trusted AP s1g Beacon
,3,S1G Beacon,2026-07-08T14:25:44.206797000Z,-32,,,78:72:64:ea:b9:14,,,,Trusted AP s1g Beacon
,4,S1G Beacon,2026-07-08T14:25:45.027862000Z,-33,H7608,,78:72:64:ea:b9:14,,,,Trusted AP s1g Beacon
,17,S1G Beacon,2026-07-08T14:25:45.845257000Z,-35,,,78:72:64:ea:b9:14,,,,Trusted AP s1g Beacon
,18,S1G Beacon,2026-07-08T14:25:46.666339000Z,-38,H7608,,78:72:64:ea:b9:14,,,,Trusted AP s1g Beacon
,20,S1G Beacon,2026-07-08T14:25:47.483755000Z,-38,,,78:72:64:ea:b9:14,,,,Trusted AP s1g Beacon
,21,S1G Beacon,2026-07-08T14:25:48.304741000Z,-39,H7608,,78:72:64:ea:b9:14,,,,Trusted AP s1g Beacon
,22,S1G Beacon,2026-07-08T14:25:49.122167000Z,-37,,,78:72:64:ea:b9:14,,,,Trusted AP s1g Beacon
,24,S1G Beacon,2026-07-08T14:25:49.943183000Z,-37,H7608,,78:72:64:ea:b9:14,,,,Trusted AP s1g Beacon
,37,S1G Beacon,2026-07-08T14:25:50.760597000Z,-35,,,78:72:64:ea:b9:14,,,,Trusted AP s1g Beacon
,38,S1G Beacon,2026-07-08T14:25:51.581640000Z,-34,H7608,,78:72:64:ea:b9:14,,,,Trusted AP s1g Beacon
,39,S1G Beacon,2026-07-08T14:25:52.399046000Z,-34,,,78:72:64:ea:b9:14,,,,Trusted AP s1g Beacon
,41,S1G Beacon,2026-07-08T14:25:53.220081000Z,-34,H7608,,78:72:64:ea:b9:14,,,,Trusted AP s1g Beacon
,43,S1G Beacon,2026-07-08T14:25:54.037501000Z,-35,,,78:72:64:ea:b9:14,,,,Trusted AP s1g Beacon
,44,S1G Beacon,2026-07-08T14:25:54.858523000Z,-33,H7608,,78:72:64:ea:b9:14,,,,Trusted AP s1g Beacon
,45,S1G Beacon,2026-07-08T14:25:55.675955000Z,-29,,,78:72:64:ea:b9:14,,,,Trusted AP s1g Beacon
,58,S1G Beacon,2026-07-08T14:25:56.496980000Z,-32,H7608,,78:72:64:ea:b9:14,,,,Trusted AP s1g Beacon
,66,S1G Beacon,2026-07-08T14:25:57.314397000Z,-33,,,78:72:64:ea:b9:14,,,,Trusted AP s1g Beacon
