attack_type,packet Number,event_type,time_stamp,signal_strength,bssid,src,dst,details
,7,QoS Data,2026-07-03T14:12:58.665431000Z,-16,78:72:64:ea:b9:14,3c:22:7f:71:dc:b8,3c:22:7f:71:df:d6,Transmitting data using Trusted AP
,9,QoS Data,2026-07-03T14:12:58.667969000Z,-64,78:72:64:ea:b9:14,3c:22:7f:71:dc:b8,3c:22:7f:71:df:d6,Transmitting data using Trusted AP
,11,QoS Data,2026-07-03T14:12:58.858148000Z,-12,78:72:64:ea:b9:14,3c:22:7f:71:df:d6,3c:22:7f:71:dc:b8,Transmitting data using Trusted AP
,21,QoS Data,2026-07-03T14:13:03.676085000Z,-13,78:72:64:ea:b9:14,3c:22:7f:71:df:d6,3c:22:7f:71:dc:b8,Transmitting data using Trusted AP
,24,QoS Data,2026-07-03T14:13:03.685864000Z,-16,78:72:64:ea:b9:14,3c:22:7f:71:dc:b8,3c:22:7f:71:df:d6,Transmitting data using Trusted AP
,26,QoS Data,2026-07-03T14:13:03.688042000Z,-63,78:72:64:ea:b9:14,3c:22:7f:71:dc:b8,3c:22:7f:71:df:d6,Transmitting data using Trusted AP
,28,QoS Data,2026-07-03T14:13:03.858231000Z,-14,78:72:64:ea:b9:14,3c:22:7f:71:df:d6,3c:22:7f:71:dc:b8,Transmitting data using Trusted AP
,52,QoS Data,2026-07-03T14:13:08.695780000Z,-11,78:72:64:ea:b9:14,3c:22:7f:71:df:d6,3c:22:7f:71:dc:b8,Transmitting data using Trusted AP
,53,QoS Data,2026-07-03T14:13:08.699353000Z,-11,78:72:64:ea:b9:14,3c:22:7f:71:df:d6,3c:22:7f:71:dc:b8,Transmitting data using Trusted AP
,58,QoS Data,2026-07-03T14:13:08.858190000Z,-10,78:72:64:ea:b9:14,3c:22:7f:71:df:d6,3c:22:7f:71:dc:b8,Transmitting data using Trusted AP
,69,QoS Data,2026-07-03T14:13:13.725750000Z,-10,78:72:64:ea:b9:14,3c:22:7f:71:df:d6,3c:22:7f:71:dc:b8,Transmitting data using Trusted AP
