packet_number,timestamp,frame_name,frame_len,length,dbm_antsignal,channel_freq,type,subtype,ds,frag,retry,pwrmgt,moredata,protected,duration,label
1,2026-06-22T17:29:28.321710000Z,Data,287,34,-18,920,2,0,0,0,0,0,0,1,0,0
2,2026-06-22T17:29:29.013017000Z,S1G Beacon,61,34,-18,920,3,1,,,,,,,0,0
3,2026-06-22T17:29:29.834039000Z,S1G Beacon,129,34,-19,920,3,1,,,,,,,0,0
4,2026-06-22T17:29:30.651469000Z,S1G Beacon,61,34,-19,920,3,1,,,,,,,0,0
6,2026-06-22T17:29:31.346313000Z,Data,287,34,-18,920,2,0,0,0,0,0,0,1,0,0
7,2026-06-22T17:29:31.472488000Z,S1G Beacon,129,34,-18,920,3,1,,,,,,,0,0
8,2026-06-22T17:29:31.541680000Z,Data,132,34,-19,920,2,0,0,0,0,0,0,1,0,0
9,2026-06-22T17:29:31.914572000Z,Data,132,34,-19,920,2,0,0,0,0,0,0,1,0,0
10,2026-06-22T17:29:32.289912000Z,S1G Beacon,61,34,-19,920,3,1,,,,,,,0,0
11,2026-06-22T17:29:33.066553000Z,QoS Data,150,34,-30,920,2,8,1,0,0,0,0,1,720,0
13,2026-06-22T17:29:33.069117000Z,QoS Data,150,34,-27,920,2,8,0,0,0,0,0,1,720,0
14,2026-06-22T17:29:33.071590000Z,QoS Data,150,34,-26,920,2,8,0,0,1,0,0,1,720,0
16,2026-06-22T17:29:33.077196000Z,QoS Data,131,34,-21,920,2,8,1,0,0,0,0,1,720,0
18,2026-06-22T17:29:33.079732000Z,QoS Data,131,34,-27,920,2,8,0,0,0,0,0,1,720,0
20,2026-06-22T17:29:33.110939000Z,S1G Beacon,129,34,-19,920,3,1,,,,,,,0,0
21,2026-06-22T17:29:33.171416000Z,QoS Data,128,34,-30,920,2,8,1,0,0,0,0,1,720,0
23,2026-06-22T17:29:33.173842000Z,QoS Data,128,34,-28,920,2,8,0,0,0,0,0,1,720,0
25,2026-06-22T17:29:33.928378000Z,S1G Beacon,61,34,-22,920,3,1,,,,,,,0,0
26,2026-06-22T17:29:34.370282000Z,Data,287,34,-22,920,2,0,0,0,0,0,0,1,0,0
27,2026-06-22T17:29:34.749438000Z,S1G Beacon,129,34,-19,920,3,1,,,,,,,0,0
