packet_number,timestamp,frame_name,frame_len,length,dbm_antsignal,channel_freq,type,subtype,ds,frag,retry,pwrmgt,moredata,protected,duration,label
1,2026-06-29T15:40:05.399753000Z,QoS Data,128,34,-13,920,2,8,1,0,0,0,0,1,720,0
3,2026-06-29T15:40:05.402300000Z,QoS Data,128,34,-39,920,2,8,0,0,0,0,0,1,720,0
5,2026-06-29T15:40:06.234936000Z,S1G Beacon,61,34,-35,920,3,1,,,,,,,0,0
6,2026-06-29T15:40:06.289909000Z,Data,287,34,-35,920,2,0,0,0,0,0,0,1,0,0
8,2026-06-29T15:40:07.055963000Z,S1G Beacon,129,34,-37,920,3,1,,,,,,,0,0
10,2026-06-29T15:40:07.873389000Z,S1G Beacon,61,34,-29,920,3,1,,,,,,,0,0
11,2026-06-29T15:40:08.694429000Z,S1G Beacon,129,34,-30,920,3,1,,,,,,,0,0
12,2026-06-29T15:40:09.313852000Z,Data,287,34,-31,920,2,0,0,0,0,0,0,1,0,0
13,2026-06-29T15:40:09.511843000Z,S1G Beacon,61,34,-29,920,3,1,,,,,,,0,0
15,2026-06-29T15:40:10.270301000Z,QoS Data,148,34,-13,920,2,8,1,0,0,0,0,1,720,0
17,2026-06-29T15:40:10.272870000Z,QoS Data,148,34,-35,920,2,8,0,0,0,0,0,1,720,0
19,2026-06-29T15:40:10.278574000Z,QoS Data,131,34,-18,920,2,8,1,0,0,0,0,1,720,0
21,2026-06-29T15:40:10.280971000Z,QoS Data,131,34,-33,920,2,8,0,0,0,0,0,1,720,0
23,2026-06-29T15:40:10.332865000Z,S1G Beacon,129,34,-30,920,3,1,,,,,,,0,0
24,2026-06-29T15:40:10.399706000Z,QoS Data,128,34,-12,920,2,8,1,0,0,0,0,1,720,0
26,2026-06-29T15:40:10.402028000Z,QoS Data,128,34,-35,920,2,8,0,0,0,0,0,1,720,0
28,2026-06-29T15:40:11.150286000Z,S1G Beacon,61,34,-31,920,3,1,,,,,,,0,0
29,2026-06-29T15:40:11.971312000Z,S1G Beacon,129,34,-29,920,3,1,,,,,,,0,0
30,2026-06-29T15:40:12.337953000Z,Data,287,34,-30,920,2,0,0,0,0,0,0,1,0,0
31,2026-06-29T15:40:12.788745000Z,S1G Beacon,61,34,-31,920,3,1,,,,,,,0,0
32,2026-06-29T15:40:13.609772000Z,S1G Beacon,129,34,-34,920,3,1,,,,,,,0,0
33,2026-06-29T15:40:13.816788000Z,Data,378,34,-33,920,2,0,0,0,0,0,0,1,0,0
34,2026-06-29T15:40:13.920806000Z,Data,387,34,-33,920,2,0,0,0,0,0,0,1,0,0
35,2026-06-29T15:40:14.026559000Z,Data,450,34,-34,920,2,0,0,0,0,0,0,1,0,0
36,2026-06-29T15:40:14.130259000Z,Data,442,34,-34,920,2,0,0,0,0,0,0,1,0,0
37,2026-06-29T15:40:14.233282000Z,Data,387,34,-32,920,2,0,0,0,0,0,0,1,0,0
38,2026-06-29T15:40:14.338093000Z,Data,426,34,-33,920,2,0,0,0,0,0,0,1,0,0
39,2026-06-29T15:40:14.427185000Z,S1G Beacon,61,34,-33,920,3,1,,,,,,,0,0
40,2026-06-29T15:40:14.442787000Z,Data,458,34,-32,920,2,0,0,0,0,0,0,1,0,0
41,2026-06-29T15:40:14.545433000Z,Data,387,34,-33,920,2,0,0,0,0,0,0,1,0,0
42,2026-06-29T15:40:14.650419000Z,Data,446,34,-32,920,2,0,0,0,0,0,0,1,0,0
43,2026-06-29T15:40:14.754208000Z,Data,440,34,-34,920,2,0,0,0,0,0,0,1,0,0
44,2026-06-29T15:40:14.856882000Z,Data,387,34,-33,920,2,0,0,0,0,0,0,1,0,0
45,2026-06-29T15:40:14.962285000Z,Data,442,34,-34,920,2,0,0,0,0,0,0,1,0,0
46,2026-06-29T15:40:15.066571000Z,Data,452,34,-34,920,2,0,0,0,0,0,0,1,0,0
47,2026-06-29T15:40:15.248214000Z,S1G Beacon,129,34,-34,920,3,1,,,,,,,0,0
48,2026-06-29T15:40:15.294347000Z,QoS Data,148,34,-10,920,2,8,1,0,0,0,0,1,720,0
50,2026-06-29T15:40:15.296816000Z,QoS Data,148,34,-38,920,2,8,0,0,0,0,0,1,720,0
