host_timestamp,local_time,esp32_uptime_us,cpu_used_pct,ram_used_pct,throughput_bps,tcp_disconnects
1782738952.8941479,2026-06-29 15:15:52,5966575040,0.83,19.83,4.8,9
1782738957.8843749,2026-06-29 15:15:57,5971577040,0.84,19.83,4.8,9
1782738962.8916621,2026-06-29 15:16:02,5976579040,0.97,19.83,4.8,9
1782738967.882229,2026-06-29 15:16:07,5981581040,0.91,19.83,4.8,9
1782738972.8972971,2026-06-29 15:16:12,5986583040,0.83,19.83,4.8,9
1782738977.8927107,2026-06-29 15:16:17,5991585040,0.87,19.88,4.8,9
1782738982.9029734,2026-06-29 15:16:22,5996587040,0.85,19.88,4.8,9
1782738987.9022038,2026-06-29 15:16:27,6001589040,1.08,19.88,4.8,9
1782738992.9241853,2026-06-29 15:16:32,6006591040,0.9,19.88,4.8,9
1782738997.9457033,2026-06-29 15:16:37,6011593040,0.92,19.88,4.8,9
1782739002.957396,2026-06-29 15:16:42,6016595040,0.93,19.88,4.8,9
1782739007.9771237,2026-06-29 15:16:47,6021597040,1.17,19.88,4.8,9
1782739012.9974043,2026-06-29 15:16:52,6026599040,0.91,19.88,4.8,9
1782739018.0105126,2026-06-29 15:16:58,6031601040,0.89,19.88,4.8,9
1782739023.024171,2026-06-29 15:17:03,6036603040,0.84,19.88,4.8,9
1782739028.0265884,2026-06-29 15:17:08,6041605040,1.12,19.88,4.8,9
1782739033.0341845,2026-06-29 15:17:13,6046607040,0.87,19.88,4.8,9
1782739038.0435822,2026-06-29 15:17:18,6051609040,0.96,19.88,4.8,9
1782739043.0472214,2026-06-29 15:17:23,6056611040,0.95,19.88,4.8,9
1782739048.0462587,2026-06-29 15:17:28,6061613040,1.18,19.88,4.8,9
1782739053.050689,2026-06-29 15:17:33,6066615040,0.96,19.88,4.8,9
1782739058.0415475,2026-06-29 15:17:38,6071617040,0.95,19.88,4.8,9
1782739063.0456722,2026-06-29 15:17:43,6076619040,0.9,19.88,4.8,9
1782739068.0380032,2026-06-29 15:17:48,6081621040,1.13,19.88,4.8,9
1782739073.0312445,2026-06-29 15:17:53,6086623040,0.95,19.88,4.8,9
1782739078.0179873,2026-06-29 15:17:58,6091625040,0.9,19.88,4.8,9
1782739083.0189822,2026-06-29 15:18:03,6096627040,0.9,19.88,4.8,9
1782739088.0121145,2026-06-29 15:18:08,6101629040,0.92,19.88,4.8,9
1782739093.004752,2026-06-29 15:18:12,6106631040,1.13,19.88,4.8,9
1782739098.0035925,2026-06-29 15:18:17,6111633040,0.92,19.88,4.8,9
1782739102.999011,2026-06-29 15:18:22,6116635045,0.86,19.98,4.8,9
1782739107.9872174,2026-06-29 15:18:27,6121637040,0.86,19.88,4.8,9
1782739112.992008,2026-06-29 15:18:32,6126639040,1.12,19.88,4.8,9
1782739117.9896052,2026-06-29 15:18:37,6131641040,0.88,19.83,4.8,9
1782739122.969915,2026-06-29 15:18:42,6136643040,0.8,19.83,4.8,9
1782739127.9499648,2026-06-29 15:18:47,6141645040,0.89,19.83,4.8,9
1782739132.927851,2026-06-29 15:18:52,6146647040,1.14,19.83,4.8,9
1782739137.9101598,2026-06-29 15:18:57,6151648040,0.92,19.83,4.8,9
1782739142.9243083,2026-06-29 15:19:02,6156650040,0.9,20.27,0.0,9
1782739147.9257846,2026-06-29 15:19:07,6161652038,0.79,19.83,4.8,9
1782739152.9272406,2026-06-29 15:19:12,6166654040,1.21,19.83,4.8,9
1782739157.9366255,2026-06-29 15:19:17,6171656040,0.95,19.83,4.8,9
1782739162.9348154,2026-06-29 15:19:22,6176658040,0.92,19.83,4.8,9
1782739167.9432986,2026-06-29 15:19:27,6181660040,0.89,19.83,4.8,9
1782739172.9508717,2026-06-29 15:19:32,6186662040,1.0,19.83,4.8,9
1782739177.9524157,2026-06-29 15:19:37,6191664040,0.86,19.83,4.8,9
1782739182.9536262,2026-06-29 15:19:42,6196666040,0.78,19.83,4.8,9
1782739187.959205,2026-06-29 15:19:47,6201668040,0.79,19.83,4.8,9
1782739192.951838,2026-06-29 15:19:52,6206670040,0.8,19.83,4.8,9
1782739197.9544504,2026-06-29 15:19:57,6211672040,1.18,19.83,4.8,9
1782739202.9565358,2026-06-29 15:20:02,6216674040,0.83,19.83,4.8,9
1782739207.9507895,2026-06-29 15:20:07,6221676040,0.85,19.83,4.8,9
1782739212.9594338,2026-06-29 15:20:12,6226678040,0.88,19.83,4.8,9
1782739217.9612257,2026-06-29 15:20:17,6231680040,1.17,19.83,4.8,9
1782739222.9731529,2026-06-29 15:20:22,6236682040,0.93,19.83,4.8,9
1782739227.9729536,2026-06-29 15:20:27,6241684040,0.91,19.83,4.8,9
1782739232.9753075,2026-06-29 15:20:32,6246686040,0.82,19.83,4.8,9
1782739237.9775681,2026-06-29 15:20:37,6251688040,1.23,19.83,4.8,9
1782739242.9859378,2026-06-29 15:20:42,6256690040,0.84,19.83,4.8,9
1782739247.9914267,2026-06-29 15:20:47,6261692040,0.8,19.83,4.8,9
1782739252.9885347,2026-06-29 15:20:52,6266694040,0.82,19.83,4.8,9
1782739257.9947078,2026-06-29 15:20:57,6271696040,1.07,19.83,4.8,9
1782739262.9927688,2026-06-29 15:21:02,6276698040,0.77,19.83,4.8,9
1782739267.9974222,2026-06-29 15:21:07,6281700041,0.77,19.83,4.8,9
1782739272.9981563,2026-06-29 15:21:12,6286702040,0.81,19.83,4.8,9
1782739277.9970877,2026-06-29 15:21:17,6291704040,1.0,19.83,4.8,9
1782739282.9953399,2026-06-29 15:21:22,6296706040,0.89,19.83,4.8,9
1782739288.0057373,2026-06-29 15:21:28,6301708040,0.86,19.83,4.8,9
1782739293.0112588,2026-06-29 15:21:33,6306710040,0.89,19.83,4.8,9
1782739298.0145469,2026-06-29 15:21:38,6311712040,0.93,19.83,4.8,9
1782739303.0153813,2026-06-29 15:21:43,6316714040,1.16,19.83,4.8,9
1782739308.0165453,2026-06-29 15:21:48,6321716040,0.88,19.83,4.8,9
1782739313.0240068,2026-06-29 15:21:53,6326718040,0.86,19.83,4.8,9
1782739318.028409,2026-06-29 15:21:58,6331720040,0.84,19.83,4.8,9
1782739323.0235555,2026-06-29 15:22:03,6336722040,1.05,19.83,4.8,9
1782739328.028746,2026-06-29 15:22:08,6341724040,0.83,19.83,4.8,9
1782739333.0244322,2026-06-29 15:22:13,6346726040,0.81,19.83,4.8,9
1782739338.0338836,2026-06-29 15:22:18,6351728040,0.8,19.83,4.8,9
1782739343.0295072,2026-06-29 15:22:23,6356730040,1.11,19.83,4.8,9
1782739348.0262756,2026-06-29 15:22:28,6361732040,0.86,19.83,4.8,9
1782739353.0300758,2026-06-29 15:22:33,6366734040,0.86,19.83,4.8,9
1782739358.0418909,2026-06-29 15:22:38,6371736040,0.91,19.83,4.8,9
1782739363.037635,2026-06-29 15:22:43,6376738040,1.15,19.83,4.8,9
1782739368.0450935,2026-06-29 15:22:48,6381740040,0.86,19.83,4.8,9
1782739373.0486786,2026-06-29 15:22:53,6386742040,0.84,19.83,4.8,9
1782739378.0584524,2026-06-29 15:22:58,6391744040,0.83,19.83,4.8,9
1782739383.059294,2026-06-29 15:23:03,6396746040,1.08,19.83,4.8,9
1782739388.0634077,2026-06-29 15:23:08,6401748040,0.92,19.83,4.8,9
1782739393.0650752,2026-06-29 15:23:13,6406750040,0.89,19.83,4.8,9
1782739398.0665684,2026-06-29 15:23:18,6411752040,0.95,19.83,4.8,9
1782739403.061235,2026-06-29 15:23:23,6416754040,1.03,19.83,4.8,9
1782739408.0651548,2026-06-29 15:23:28,6421756040,1.19,19.83,4.8,9
1782739413.0698838,2026-06-29 15:23:33,6426758040,0.97,19.83,4.8,9
1782739418.0732574,2026-06-29 15:23:38,6431760040,0.91,19.83,4.8,9
1782739423.074,2026-06-29 15:23:43,6436762040,0.9,19.83,4.8,9
1782739428.0765343,2026-06-29 15:23:48,6441764040,1.11,19.83,4.8,9
1782739433.0774727,2026-06-29 15:23:53,6446766040,0.0,19.83,4.8,9
1782739438.0789914,2026-06-29 15:23:58,6451768040,0.85,19.83,4.8,9
1782739443.0774775,2026-06-29 15:24:03,6456770040,0.89,19.83,4.8,9
1782739448.05313,2026-06-29 15:24:08,6461772040,1.08,19.83,4.8,9
1782739453.048938,2026-06-29 15:24:13,6466774040,0.82,19.83,4.8,9
1782739458.0597708,2026-06-29 15:24:18,6471776040,0.81,19.83,4.8,9
1782739463.0627613,2026-06-29 15:24:23,6476778040,0.86,19.83,4.8,9
1782739468.0647209,2026-06-29 15:24:28,6481780040,1.13,19.83,4.8,9
1782739473.0695872,2026-06-29 15:24:33,6486782040,0.9,19.83,4.8,9
