attack_type,packet Number,event_type,time_stamp,signal_strength,ssid,bssid,src,dst,reason,status,details
Dragonblood DoS,546,Authentication,2026-06-29T15:04:01.830144000Z,-54,,78:72:64:ea:b9:14,fa:1c:33:36:59:9c,78:72:64:ea:b9:14,,0,Attacker is Sending Authentication request to trusted AP
Dragonblood DoS,547,Authentication,2026-06-29T15:04:01.961210000Z,-52,,78:72:64:ea:b9:14,d2:ff:d2:06:14:7f,78:72:64:ea:b9:14,,0,Attacker is Sending Authentication request to trusted AP
Dragonblood DoS,548,Authentication,2026-06-29T15:04:02.092288000Z,-52,,78:72:64:ea:b9:14,c2:04:b5:9d:34:bc,78:72:64:ea:b9:14,,0,Attacker is Sending Authentication request to trusted AP
,549,Authentication,2026-06-29T15:04:02.096979000Z,-26,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,fa:1c:33:36:59:9c,,0,Successful Authentication to Trusted AP
,550,Authentication,2026-06-29T15:04:02.102766000Z,-27,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,fa:1c:33:36:59:9c,,0,Successful Authentication to Trusted AP
,551,Authentication,2026-06-29T15:04:02.108754000Z,-27,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,fa:1c:33:36:59:9c,,0,Successful Authentication to Trusted AP
,552,Authentication,2026-06-29T15:04:02.114644000Z,-28,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,fa:1c:33:36:59:9c,,0,Successful Authentication to Trusted AP
Dragonblood DoS,553,Authentication,2026-06-29T15:04:02.221312000Z,-53,,78:72:64:ea:b9:14,82:01:84:0f:83:c9,78:72:64:ea:b9:14,,0,Attacker is Sending Authentication request to trusted AP
,554,Authentication,2026-06-29T15:04:02.352984000Z,-24,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,d2:ff:d2:06:14:7f,,0,Successful Authentication to Trusted AP
,555,Authentication,2026-06-29T15:04:02.364502000Z,-25,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,d2:ff:d2:06:14:7f,,0,Successful Authentication to Trusted AP
Dragonblood DoS,556,Authentication,2026-06-29T15:04:02.469128000Z,-53,,78:72:64:ea:b9:14,d2:ff:d2:06:14:7f,78:72:64:ea:b9:14,,0,Attacker is Sending Authentication request to trusted AP
,557,Authentication,2026-06-29T15:04:02.558292000Z,-24,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,c2:04:b5:9d:34:bc,,0,Successful Authentication to Trusted AP
,558,Authentication,2026-06-29T15:04:02.569701000Z,-22,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,c2:04:b5:9d:34:bc,,0,Successful Authentication to Trusted AP
Dragonblood DoS,559,Authentication,2026-06-29T15:04:02.583822000Z,-52,,78:72:64:ea:b9:14,c2:04:b5:9d:34:bc,78:72:64:ea:b9:14,,0,Attacker is Sending Authentication request to trusted AP
Dragonblood DoS,560,Authentication,2026-06-29T15:04:02.714891000Z,-54,,78:72:64:ea:b9:14,82:01:84:0f:83:c9,78:72:64:ea:b9:14,,0,Attacker is Sending Authentication request to trusted AP
,561,Authentication,2026-06-29T15:04:02.776027000Z,-22,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,82:01:84:0f:83:c9,,0,Successful Authentication to Trusted AP
,562,Authentication,2026-06-29T15:04:02.787284000Z,-22,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,82:01:84:0f:83:c9,,0,Successful Authentication to Trusted AP
