packet_number,timestamp,frame_name,frame_len,length,dbm_antsignal,channel_freq,type,subtype,ds,frag,retry,pwrmgt,moredata,protected,duration,label
1,2026-06-29T14:17:58.303516000Z,QoS Data,148,34,-17,920,2,8,1,0,0,0,0,1,720,0
3,2026-06-29T14:17:58.306003000Z,QoS Data,148,34,-36,920,2,8,0,0,0,0,0,1,720,0
6,2026-06-29T14:17:58.313473000Z,QoS Data,131,34,-34,920,2,8,0,0,0,0,0,1,720,0
8,2026-06-29T14:17:58.362868000Z,Data,387,34,-33,920,2,0,0,0,0,0,0,1,0,0
9,2026-06-29T14:17:58.415052000Z,QoS Data,128,34,-18,920,2,8,1,0,0,0,0,1,720,0
11,2026-06-29T14:17:58.417485000Z,QoS Data,128,34,-35,920,2,8,0,0,0,0,0,1,720,0
13,2026-06-29T14:17:58.467712000Z,Data,426,34,-31,920,2,0,0,0,0,0,0,1,0,0
14,2026-06-29T14:17:58.572705000Z,Data,458,34,-33,920,2,0,0,0,0,0,0,1,0,0
15,2026-06-29T14:17:58.674848000Z,Data,387,34,-33,920,2,0,0,0,0,0,0,1,0,0
16,2026-06-29T14:17:58.692131000Z,S1G Beacon,61,34,-32,920,3,1,,,,,,,0,0
17,2026-06-29T14:17:58.780295000Z,Data,446,34,-32,920,2,0,0,0,0,0,0,1,0,0
18,2026-06-29T14:17:58.884192000Z,Data,440,34,-32,920,2,0,0,0,0,0,0,1,0,0
19,2026-06-29T14:17:58.986882000Z,Data,387,34,-30,920,2,0,0,0,0,0,0,1,0,0
20,2026-06-29T14:17:59.092233000Z,Data,442,34,-31,920,2,0,0,0,0,0,0,1,0,0
21,2026-06-29T14:17:59.196565000Z,Data,452,34,-31,920,2,0,0,0,0,0,0,1,0,0
22,2026-06-29T14:17:59.324084000Z,Data,287,34,-32,920,2,0,0,0,0,0,0,1,0,0
23,2026-06-29T14:17:59.513159000Z,S1G Beacon,129,34,-33,920,3,1,,,,,,,0,0
24,2026-06-29T14:18:00.330586000Z,S1G Beacon,61,34,-29,920,3,1,,,,,,,0,0
25,2026-06-29T14:18:01.151617000Z,S1G Beacon,129,34,-29,920,3,1,,,,,,,0,0
26,2026-06-29T14:18:01.969046000Z,S1G Beacon,61,34,-33,920,3,1,,,,,,,0,0
27,2026-06-29T14:18:02.348093000Z,Data,287,34,-34,920,2,0,0,0,0,0,0,1,0,0
28,2026-06-29T14:18:02.790066000Z,S1G Beacon,129,34,-32,920,3,1,,,,,,,0,0
29,2026-06-29T14:18:03.327895000Z,QoS Data,149,34,-32,920,2,8,1,0,0,0,0,1,720,0
31,2026-06-29T14:18:03.330361000Z,QoS Data,149,34,-37,920,2,8,0,0,0,0,0,1,720,0
32,2026-06-29T14:18:03.332886000Z,QoS Data,149,34,-37,920,2,8,0,0,1,0,0,1,720,0
34,2026-06-29T14:18:03.338449000Z,QoS Data,131,34,-16,920,2,8,1,0,0,0,0,1,720,0
35,2026-06-29T14:18:03.340965000Z,QoS Data,131,34,-36,920,2,8,0,0,0,0,0,1,720,0
37,2026-06-29T14:18:03.343430000Z,QoS Data,131,34,-16,920,2,8,1,0,1,0,0,1,720,0
39,2026-06-29T14:18:03.347979000Z,RTS,54,34,-14,920,1,11,,,,0,0,0,2560,0
41,2026-06-29T14:18:03.349818000Z,QoS Data,131,34,-16,920,2,8,1,0,1,0,0,1,720,0
43,2026-06-29T14:18:03.353016000Z,RTS,54,34,-13,920,1,11,,,,0,0,0,2560,0
45,2026-06-29T14:18:03.354856000Z,QoS Data,131,34,-15,920,2,8,1,0,1,0,0,1,720,0
47,2026-06-29T14:18:03.358318000Z,RTS,54,34,-14,920,1,11,,,,0,0,0,2956,0
49,2026-06-29T14:18:03.360555000Z,QoS Data,131,34,-13,920,2,8,1,0,1,0,0,1,720,0
51,2026-06-29T14:18:03.364376000Z,RTS,54,34,-13,920,1,11,,,,0,0,0,2956,0
53,2026-06-29T14:18:03.366612000Z,QoS Data,131,34,-13,920,2,8,1,0,1,0,0,1,720,0
55,2026-06-29T14:18:03.369244000Z,RTS,54,34,-13,920,1,11,,,,0,0,0,3352,0
57,2026-06-29T14:18:03.371877000Z,QoS Data,131,34,-13,920,2,8,1,0,1,0,0,1,720,0
59,2026-06-29T14:18:03.375391000Z,RTS,54,34,-12,920,1,11,,,,0,0,0,3352,0
61,2026-06-29T14:18:03.379111000Z,RTS,54,34,-13,920,1,11,,,,0,0,0,3352,0
63,2026-06-29T14:18:03.382261000Z,RTS,54,34,-14,920,1,11,,,,0,0,0,3352,0
65,2026-06-29T14:18:03.384894000Z,QoS Data,131,34,-14,920,2,8,1,0,1,0,0,1,720,0
68,2026-06-29T14:18:03.417722000Z,QoS Data,128,34,-39,920,2,8,0,0,0,0,0,1,720,0
69,2026-06-29T14:18:03.420109000Z,QoS Data,128,34,-38,920,2,8,0,0,1,0,0,1,720,0
71,2026-06-29T14:18:03.510213000Z,QoS Null,64,34,-13,920,2,12,1,0,0,0,0,0,720,0
73,2026-06-29T14:18:03.513268000Z,QoS Null,64,34,-12,920,2,12,1,0,1,0,0,0,720,0
75,2026-06-29T14:18:03.607484000Z,S1G Beacon,61,34,-34,920,3,1,,,,,,,0,0
76,2026-06-29T14:18:04.428523000Z,S1G Beacon,129,34,-39,920,3,1,,,,,,,0,0
78,2026-06-29T14:18:05.372416000Z,Data,287,34,-31,920,2,0,0,0,0,0,0,1,0,0
79,2026-06-29T14:18:06.884386000Z,S1G Beacon,61,34,-28,920,3,1,,,,,,,0,0
80,2026-06-29T14:18:07.705409000Z,S1G Beacon,129,34,-19,920,3,1,,,,,,,0,0
83,2026-06-29T14:18:08.359682000Z,QoS Data,149,34,-28,920,2,8,0,0,0,0,0,1,720,0
84,2026-06-29T14:18:08.362254000Z,QoS Data,149,34,-26,920,2,8,0,0,1,0,0,1,720,0
86,2026-06-29T14:18:08.368157000Z,QoS Data,131,34,-13,920,2,8,1,0,0,0,0,1,720,0
89,2026-06-29T14:18:08.396292000Z,Data,287,34,-18,920,2,0,0,0,0,0,0,1,0,0
91,2026-06-29T14:18:08.416860000Z,QoS Data,128,34,-27,920,2,8,0,0,0,0,0,1,720,0
