host_timestamp,local_time,esp32_uptime_us,cpu_used_pct,ram_used_pct,throughput_bps,tcp_disconnects
1782740138.111012,2026-06-29 15:35:38,7159665730,0.75,19.71,31.99,9
1782740143.109898,2026-06-29 15:35:43,7164667730,0.92,19.71,31.99,9
1782740148.1188135,2026-06-29 15:35:48,7169669730,0.79,19.71,31.99,9
1782740153.1182525,2026-06-29 15:35:53,7174671730,0.78,19.71,31.99,9
1782740158.1131122,2026-06-29 15:35:58,7179673730,0.78,19.71,31.99,9
1782740163.1172845,2026-06-29 15:36:03,7184675730,1.05,19.71,31.99,9
1782740168.1245341,2026-06-29 15:36:08,7189677730,0.8,19.71,33.59,9
1782740173.1185017,2026-06-29 15:36:13,7194679730,0.84,19.71,31.99,9
1782740178.129166,2026-06-29 15:36:18,7199681730,0.78,19.71,31.99,9
1782740183.1272607,2026-06-29 15:36:23,7204683730,1.03,19.71,31.99,9
1782740188.1325538,2026-06-29 15:36:28,7209685730,0.75,19.71,31.99,9
1782740193.127964,2026-06-29 15:36:33,7214687730,0.74,19.71,31.99,9
1782740198.1375785,2026-06-29 15:36:38,7219689730,0.77,19.71,31.99,9
1782740203.1357858,2026-06-29 15:36:43,7224691730,0.99,19.71,31.99,9
1782740208.133973,2026-06-29 15:36:48,7229693730,0.79,19.71,31.99,9
1782740213.133587,2026-06-29 15:36:53,7234695730,0.79,19.71,31.99,9
1782740218.1459394,2026-06-29 15:36:58,7239697730,0.72,19.71,31.99,9
1782740223.1410737,2026-06-29 15:37:03,7244699730,0.97,19.71,31.99,9
1782740228.1387527,2026-06-29 15:37:08,7249701730,0.72,19.71,31.99,9
1782740233.143603,2026-06-29 15:37:13,7254703730,0.74,19.71,33.59,9
1782740238.1537595,2026-06-29 15:37:18,7259705730,0.75,19.71,33.59,9
1782740243.1466238,2026-06-29 15:37:23,7264707730,0.8,19.71,31.99,9
1782740248.1534328,2026-06-29 15:37:28,7269709730,0.91,19.71,31.99,9
1782740253.1543238,2026-06-29 15:37:33,7274711732,0.76,19.71,33.59,9
1782740258.159216,2026-06-29 15:37:38,7279713730,0.8,19.71,31.99,9
1782740263.155215,2026-06-29 15:37:43,7284715730,0.76,19.71,31.99,9
1782740268.1618454,2026-06-29 15:37:48,7289717730,1.01,19.71,33.59,9
1782740273.1665459,2026-06-29 15:37:53,7294719730,0.77,19.71,31.99,9
1782740278.1671333,2026-06-29 15:37:58,7299721730,0.82,19.71,31.99,9
