host_timestamp,local_time,esp32_uptime_us,cpu_used_pct,ram_used_pct,throughput_bps,tcp_disconnects
1782746410.8818302,2026-06-29 17:20:10,13424737040,0.96,19.83,4.8,18
1782746415.878412,2026-06-29 17:20:15,13429739040,0.97,19.83,4.8,18
1782746420.8841498,2026-06-29 17:20:20,13434741040,1.21,19.83,4.8,18
1782746425.8875732,2026-06-29 17:20:25,13439743040,1.01,19.83,4.8,18
1782746430.8877838,2026-06-29 17:20:30,13444745040,0.96,19.83,4.8,18
1782746435.882363,2026-06-29 17:20:35,13449747040,0.9,19.83,4.8,18
1782746440.8908236,2026-06-29 17:20:40,13454749040,1.14,19.83,4.8,18
1782746445.8896866,2026-06-29 17:20:45,13459751040,0.88,19.83,4.8,18
1782746450.8913944,2026-06-29 17:20:50,13464753040,0.86,19.83,4.8,18
1782746455.895819,2026-06-29 17:20:55,13469755040,0.87,19.83,4.8,18
1782746460.9023213,2026-06-29 17:21:00,13474757040,1.11,19.83,4.8,18
1782746465.8978631,2026-06-29 17:21:05,13479759040,0.81,19.83,4.8,18
1782746470.8959746,2026-06-29 17:21:10,13484761040,0.85,19.83,4.8,18
1782746475.8979073,2026-06-29 17:21:15,13489763040,0.84,19.83,4.8,18
1782746480.9018562,2026-06-29 17:21:20,13494765040,1.03,19.83,4.8,18
1782746485.9089353,2026-06-29 17:21:25,13499767040,0.95,19.83,4.8,18
1782746490.9125206,2026-06-29 17:21:30,13504769040,0.87,19.83,4.8,18
1782746495.9107857,2026-06-29 17:21:35,13509771040,0.88,19.83,4.8,18
1782746500.907631,2026-06-29 17:21:40,13514773040,0.92,19.83,4.8,18
1782746505.914532,2026-06-29 17:21:45,13519775040,1.24,19.83,4.8,18
1782746510.9173717,2026-06-29 17:21:50,13524777040,0.92,19.83,4.8,18
1782746515.9192798,2026-06-29 17:21:55,13529779040,0.94,19.83,4.8,18
1782746520.9213436,2026-06-29 17:22:00,13534781040,0.94,19.83,4.8,18
1782746525.9240081,2026-06-29 17:22:05,13539783040,1.18,19.83,4.8,18
1782746530.9257765,2026-06-29 17:22:10,13544785040,0.91,19.83,4.8,18
1782746535.9256806,2026-06-29 17:22:15,13549787040,0.87,19.83,4.8,18
1782746540.9331279,2026-06-29 17:22:20,13554789040,0.9,19.83,4.8,18
1782746545.9268534,2026-06-29 17:22:25,13559791040,1.2,19.83,4.8,18
1782746550.926331,2026-06-29 17:22:30,13564793040,0.84,19.83,4.8,18
1782746555.9354289,2026-06-29 17:22:35,13569795040,0.84,19.83,4.8,18
1782746560.9299788,2026-06-29 17:22:40,13574797040,0.83,19.83,4.8,18
1782746565.933864,2026-06-29 17:22:45,13579799040,1.07,19.83,4.8,18
1782746570.941337,2026-06-29 17:22:50,13584801040,0.81,19.83,4.8,18
1782746575.941833,2026-06-29 17:22:55,13589803046,0.88,19.83,4.8,18
1782746580.943868,2026-06-29 17:23:00,13594805040,0.91,19.83,4.8,18
1782746585.9439304,2026-06-29 17:23:05,13599807040,1.14,19.83,4.8,18
1782746590.9483495,2026-06-29 17:23:10,13604809040,0.99,19.83,4.8,18
1782746595.9537404,2026-06-29 17:23:15,13609811040,0.94,19.83,4.8,18
1782746600.9454312,2026-06-29 17:23:20,13614813040,0.95,19.83,4.8,18
1782746605.948729,2026-06-29 17:23:25,13619815040,1.0,19.83,4.8,18
1782746610.9531431,2026-06-29 17:23:30,13624817040,1.17,19.83,4.8,18
1782746615.957874,2026-06-29 17:23:35,13629819040,0.95,19.83,4.8,18
1782746620.9590802,2026-06-29 17:23:40,13634821040,0.92,19.83,4.8,18
1782746625.9569767,2026-06-29 17:23:45,13639823040,0.9,19.83,4.8,18
1782746630.9636037,2026-06-29 17:23:50,13644825040,1.18,19.83,4.8,18
1782746635.9611979,2026-06-29 17:23:55,13649827040,0.9,19.83,4.8,18
1782746640.9658952,2026-06-29 17:24:00,13654829040,0.85,19.87,4.8,18
