attack_type,packet Number,event_type,time_stamp,signal_strength,ssid,bssid,src,dst,reason,status,details
,199,Deauthentication,2026-06-27T17:04:53.606735000Z,-14,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,7a:be:94:c0:5b:ad,2,,Legitimate Deauthentication frame not sent by attacker
,200,Deauthentication,2026-06-27T17:04:53.610624000Z,-14,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,7a:be:94:c0:5b:ad,2,,Legitimate Deauthentication frame not sent by attacker
,201,Deauthentication,2026-06-27T17:04:53.614676000Z,-15,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,7a:be:94:c0:5b:ad,2,,Legitimate Deauthentication frame not sent by attacker
,202,Deauthentication,2026-06-27T17:04:53.618674000Z,-15,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,7a:be:94:c0:5b:ad,2,,Legitimate Deauthentication frame not sent by attacker
,442,Deauthentication,2026-06-27T17:05:43.928088000Z,-14,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,e2:84:eb:f3:8d:7a,2,,Legitimate Deauthentication frame not sent by attacker
,443,Deauthentication,2026-06-27T17:05:43.932038000Z,-14,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,e2:84:eb:f3:8d:7a,2,,Legitimate Deauthentication frame not sent by attacker
,444,Deauthentication,2026-06-27T17:05:43.935726000Z,-13,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,e2:84:eb:f3:8d:7a,2,,Legitimate Deauthentication frame not sent by attacker
,445,Deauthentication,2026-06-27T17:05:43.939776000Z,-15,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,e2:84:eb:f3:8d:7a,2,,Legitimate Deauthentication frame not sent by attacker
,674,Deauthentication,2026-06-27T17:06:29.723181000Z,-14,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,22:8a:f8:8d:dd:65,2,,Legitimate Deauthentication frame not sent by attacker
,675,Deauthentication,2026-06-27T17:06:29.726241000Z,-14,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,22:8a:f8:8d:dd:65,2,,Legitimate Deauthentication frame not sent by attacker
,676,Deauthentication,2026-06-27T17:06:29.730190000Z,-13,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,22:8a:f8:8d:dd:65,2,,Legitimate Deauthentication frame not sent by attacker
,677,Deauthentication,2026-06-27T17:06:29.734085000Z,-14,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,22:8a:f8:8d:dd:65,2,,Legitimate Deauthentication frame not sent by attacker
,685,Deauthentication,2026-06-27T17:06:30.208228000Z,-14,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,9e:7d:1a:e4:33:82,2,,Legitimate Deauthentication frame not sent by attacker
,686,Deauthentication,2026-06-27T17:06:30.211922000Z,-15,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,9e:7d:1a:e4:33:82,2,,Legitimate Deauthentication frame not sent by attacker
,687,Deauthentication,2026-06-27T17:06:30.215810000Z,-14,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,9e:7d:1a:e4:33:82,2,,Legitimate Deauthentication frame not sent by attacker
,688,Deauthentication,2026-06-27T17:06:30.219757000Z,-15,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,9e:7d:1a:e4:33:82,2,,Legitimate Deauthentication frame not sent by attacker
Dragonblood DoS,1665,Authentication,2026-06-27T17:09:40.710954000Z,-54,,78:72:64:ea:b9:14,26:dd:f1:44:bb:fc,78:72:64:ea:b9:14,,126,Attacker is Sending Authentication request to trusted AP
,1666,Authentication,2026-06-27T17:09:40.791654000Z,-14,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,26:dd:f1:44:bb:fc,,126,Unsuccessful Authentication (check status code) to Trusted AP
,1667,Authentication,2026-06-27T17:09:40.798214000Z,-15,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,26:dd:f1:44:bb:fc,,126,Unsuccessful Authentication (check status code) to Trusted AP
,1668,Authentication,2026-06-27T17:09:40.804675000Z,-14,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,26:dd:f1:44:bb:fc,,126,Unsuccessful Authentication (check status code) to Trusted AP
,1669,Authentication,2026-06-27T17:09:40.811132000Z,-15,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,26:dd:f1:44:bb:fc,,126,Unsuccessful Authentication (check status code) to Trusted AP
Dragonblood DoS,1670,Authentication,2026-06-27T17:09:40.829733000Z,-54,,78:72:64:ea:b9:14,f6:ac:7f:ed:56:c1,78:72:64:ea:b9:14,,126,Attacker is Sending Authentication request to trusted AP
,1671,Authentication,2026-06-27T17:09:40.924718000Z,-15,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,f6:ac:7f:ed:56:c1,,126,Unsuccessful Authentication (check status code) to Trusted AP
,1672,Authentication,2026-06-27T17:09:40.931073000Z,-15,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,f6:ac:7f:ed:56:c1,,126,Unsuccessful Authentication (check status code) to Trusted AP
,1673,Authentication,2026-06-27T17:09:40.937531000Z,-16,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,f6:ac:7f:ed:56:c1,,126,Unsuccessful Authentication (check status code) to Trusted AP
,1674,Authentication,2026-06-27T17:09:40.944098000Z,-16,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,f6:ac:7f:ed:56:c1,,126,Unsuccessful Authentication (check status code) to Trusted AP
Dragonblood DoS,1675,Authentication,2026-06-27T17:09:40.951594000Z,-54,,78:72:64:ea:b9:14,02:22:84:6a:bc:13,78:72:64:ea:b9:14,,126,Attacker is Sending Authentication request to trusted AP
,1676,Authentication,2026-06-27T17:09:41.064493000Z,-16,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,02:22:84:6a:bc:13,,126,Unsuccessful Authentication (check status code) to Trusted AP
,1677,Authentication,2026-06-27T17:09:41.070899000Z,-15,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,02:22:84:6a:bc:13,,126,Unsuccessful Authentication (check status code) to Trusted AP
,1678,Authentication,2026-06-27T17:09:41.077407000Z,-14,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,02:22:84:6a:bc:13,,126,Unsuccessful Authentication (check status code) to Trusted AP
Dragonblood DoS,1679,Authentication,2026-06-27T17:09:41.202480000Z,-53,,78:72:64:ea:b9:14,32:55:78:dc:21:f3,78:72:64:ea:b9:14,,126,Attacker is Sending Authentication request to trusted AP
,1680,Authentication,2026-06-27T17:09:41.276929000Z,-16,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,32:55:78:dc:21:f3,,126,Unsuccessful Authentication (check status code) to Trusted AP
,1681,Authentication,2026-06-27T17:09:41.282921000Z,-16,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,32:55:78:dc:21:f3,,126,Unsuccessful Authentication (check status code) to Trusted AP
,1682,Authentication,2026-06-27T17:09:41.289533000Z,-14,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,32:55:78:dc:21:f3,,126,Unsuccessful Authentication (check status code) to Trusted AP
,1683,Authentication,2026-06-27T17:09:41.296101000Z,-14,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,32:55:78:dc:21:f3,,126,Unsuccessful Authentication (check status code) to Trusted AP
Dragonblood DoS,1684,Authentication,2026-06-27T17:09:41.333559000Z,-53,,78:72:64:ea:b9:14,16:cd:d7:02:0d:f8,78:72:64:ea:b9:14,,126,Attacker is Sending Authentication request to trusted AP
,1685,Authentication,2026-06-27T17:09:41.424156000Z,-15,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,16:cd:d7:02:0d:f8,,126,Unsuccessful Authentication (check status code) to Trusted AP
,1686,Authentication,2026-06-27T17:09:41.430768000Z,-15,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,16:cd:d7:02:0d:f8,,126,Unsuccessful Authentication (check status code) to Trusted AP
,1687,Authentication,2026-06-27T17:09:41.437280000Z,-16,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,16:cd:d7:02:0d:f8,,126,Unsuccessful Authentication (check status code) to Trusted AP
,1688,Authentication,2026-06-27T17:09:41.442648000Z,-15,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,16:cd:d7:02:0d:f8,,126,Unsuccessful Authentication (check status code) to Trusted AP
Dragonblood DoS,1689,Authentication,2026-06-27T17:09:41.464628000Z,-55,,78:72:64:ea:b9:14,82:81:f9:9e:78:c6,78:72:64:ea:b9:14,,126,Attacker is Sending Authentication request to trusted AP
,1691,Authentication,2026-06-27T17:09:41.487502000Z,-15,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,82:81:f9:9e:78:c6,,76,Unsuccessful Authentication (check status code) to Trusted AP
,1692,Authentication,2026-06-27T17:09:41.493051000Z,-15,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,82:81:f9:9e:78:c6,,76,Unsuccessful Authentication (check status code) to Trusted AP
,1693,Authentication,2026-06-27T17:09:41.497976000Z,-16,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,82:81:f9:9e:78:c6,,76,Unsuccessful Authentication (check status code) to Trusted AP
,1694,Authentication,2026-06-27T17:09:41.503058000Z,-16,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,82:81:f9:9e:78:c6,,76,Unsuccessful Authentication (check status code) to Trusted AP
Dragonblood DoS,1695,Authentication,2026-06-27T17:09:41.595708000Z,-54,,78:72:64:ea:b9:14,e6:04:f1:b2:ca:98,78:72:64:ea:b9:14,,126,Attacker is Sending Authentication request to trusted AP
,1696,Authentication,2026-06-27T17:09:41.602386000Z,-15,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,e6:04:f1:b2:ca:98,,76,Unsuccessful Authentication (check status code) to Trusted AP
,1697,Authentication,2026-06-27T17:09:41.607308000Z,-51,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,e6:04:f1:b2:ca:98,,76,Unsuccessful Authentication (check status code) to Trusted AP
,1698,Authentication,2026-06-27T17:09:41.612132000Z,-15,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,e6:04:f1:b2:ca:98,,76,Unsuccessful Authentication (check status code) to Trusted AP
,1699,Authentication,2026-06-27T17:09:41.616948000Z,-16,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,e6:04:f1:b2:ca:98,,76,Unsuccessful Authentication (check status code) to Trusted AP
Dragonblood DoS,1700,Authentication,2026-06-27T17:09:41.726777000Z,-54,,78:72:64:ea:b9:14,6e:6c:14:2e:43:d5,78:72:64:ea:b9:14,,126,Attacker is Sending Authentication request to trusted AP
,1701,Authentication,2026-06-27T17:09:41.733723000Z,-15,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,6e:6c:14:2e:43:d5,,76,Unsuccessful Authentication (check status code) to Trusted AP
,1702,Authentication,2026-06-27T17:09:41.743463000Z,-16,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,6e:6c:14:2e:43:d5,,76,Unsuccessful Authentication (check status code) to Trusted AP
,1703,Authentication,2026-06-27T17:09:41.748440000Z,-15,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,6e:6c:14:2e:43:d5,,76,Unsuccessful Authentication (check status code) to Trusted AP
Dragonblood DoS,1704,Authentication,2026-06-27T17:09:41.857851000Z,-54,,78:72:64:ea:b9:14,02:84:47:4a:b8:79,78:72:64:ea:b9:14,,126,Attacker is Sending Authentication request to trusted AP
,1705,Authentication,2026-06-27T17:09:41.865365000Z,-16,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,02:84:47:4a:b8:79,,76,Unsuccessful Authentication (check status code) to Trusted AP
,1706,Authentication,2026-06-27T17:09:41.869094000Z,-15,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,02:84:47:4a:b8:79,,76,Unsuccessful Authentication (check status code) to Trusted AP
,1707,Authentication,2026-06-27T17:09:41.873915000Z,-16,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,02:84:47:4a:b8:79,,76,Unsuccessful Authentication (check status code) to Trusted AP
,1708,Authentication,2026-06-27T17:09:41.878941000Z,-16,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,02:84:47:4a:b8:79,,76,Unsuccessful Authentication (check status code) to Trusted AP
Dragonblood DoS,1709,Authentication,2026-06-27T17:09:41.988930000Z,-54,,78:72:64:ea:b9:14,26:dd:f1:44:bb:fc,78:72:64:ea:b9:14,,126,Attacker is Sending Authentication request to trusted AP
,1710,Authentication,2026-06-27T17:09:41.998254000Z,-15,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,26:dd:f1:44:bb:fc,,126,Unsuccessful Authentication (check status code) to Trusted AP
,1711,Authentication,2026-06-27T17:09:42.005022000Z,-16,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,26:dd:f1:44:bb:fc,,126,Unsuccessful Authentication (check status code) to Trusted AP
,1712,Authentication,2026-06-27T17:09:42.010177000Z,-15,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,26:dd:f1:44:bb:fc,,126,Unsuccessful Authentication (check status code) to Trusted AP
,1713,Authentication,2026-06-27T17:09:42.015183000Z,-15,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,26:dd:f1:44:bb:fc,,126,Unsuccessful Authentication (check status code) to Trusted AP
Dragonblood DoS,1714,Authentication,2026-06-27T17:09:42.119997000Z,-54,,78:72:64:ea:b9:14,f6:ac:7f:ed:56:c1,78:72:64:ea:b9:14,,126,Attacker is Sending Authentication request to trusted AP
,1715,Authentication,2026-06-27T17:09:42.126279000Z,-15,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,f6:ac:7f:ed:56:c1,,126,Unsuccessful Authentication (check status code) to Trusted AP
Dragonblood DoS,1716,Authentication,2026-06-27T17:09:42.135253000Z,-55,,78:72:64:ea:b9:14,82:81:f9:9e:78:c6,78:72:64:ea:b9:14,,126,Attacker is Sending Authentication request to trusted AP
,1717,Authentication,2026-06-27T17:09:42.141295000Z,-15,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,f6:ac:7f:ed:56:c1,,126,Unsuccessful Authentication (check status code) to Trusted AP
,1718,Authentication,2026-06-27T17:09:42.147909000Z,-15,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,f6:ac:7f:ed:56:c1,,126,Unsuccessful Authentication (check status code) to Trusted AP
,1719,Authentication,2026-06-27T17:09:42.154682000Z,-15,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,f6:ac:7f:ed:56:c1,,126,Unsuccessful Authentication (check status code) to Trusted AP
Dragonblood DoS,1720,Authentication,2026-06-27T17:09:42.219239000Z,-53,,78:72:64:ea:b9:14,e6:04:f1:b2:ca:98,78:72:64:ea:b9:14,,126,Attacker is Sending Authentication request to trusted AP
Dragonblood DoS,1721,Authentication,2026-06-27T17:09:42.246881000Z,-54,,78:72:64:ea:b9:14,e6:04:f1:b2:ca:98,78:72:64:ea:b9:14,,126,Attacker is Sending Authentication request to trusted AP
Dragonblood DoS,1722,Authentication,2026-06-27T17:09:42.256119000Z,-53,,78:72:64:ea:b9:14,e6:04:f1:b2:ca:98,78:72:64:ea:b9:14,,126,Attacker is Sending Authentication request to trusted AP
,1723,Authentication,2026-06-27T17:09:42.260912000Z,-15,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,82:81:f9:9e:78:c6,,126,Unsuccessful Authentication (check status code) to Trusted AP
,1724,Authentication,2026-06-27T17:09:42.267581000Z,-15,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,82:81:f9:9e:78:c6,,126,Unsuccessful Authentication (check status code) to Trusted AP
,1725,Authentication,2026-06-27T17:09:42.273985000Z,-15,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,82:81:f9:9e:78:c6,,126,Unsuccessful Authentication (check status code) to Trusted AP
,1726,Authentication,2026-06-27T17:09:42.280654000Z,-16,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,82:81:f9:9e:78:c6,,126,Unsuccessful Authentication (check status code) to Trusted AP
Dragonblood DoS,1728,Authentication,2026-06-27T17:09:42.350312000Z,-53,,78:72:64:ea:b9:14,6e:6c:14:2e:43:d5,78:72:64:ea:b9:14,,126,Attacker is Sending Authentication request to trusted AP
Dragonblood DoS,1729,Authentication,2026-06-27T17:09:42.362693000Z,-53,,78:72:64:ea:b9:14,32:57:c9:06:39:06,78:72:64:ea:b9:14,,126,Attacker is Sending Authentication request to trusted AP
Dragonblood DoS,1730,Authentication,2026-06-27T17:09:42.380003000Z,-53,,78:72:64:ea:b9:14,6e:6c:14:2e:43:d5,78:72:64:ea:b9:14,,126,Attacker is Sending Authentication request to trusted AP
,1731,Authentication,2026-06-27T17:09:42.395611000Z,-16,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,e6:04:f1:b2:ca:98,,126,Unsuccessful Authentication (check status code) to Trusted AP
,1732,Authentication,2026-06-27T17:09:42.402177000Z,-14,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,e6:04:f1:b2:ca:98,,126,Unsuccessful Authentication (check status code) to Trusted AP
,1733,Authentication,2026-06-27T17:09:42.408688000Z,-15,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,e6:04:f1:b2:ca:98,,126,Unsuccessful Authentication (check status code) to Trusted AP
,1734,Authentication,2026-06-27T17:09:42.415356000Z,-16,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,e6:04:f1:b2:ca:98,,126,Unsuccessful Authentication (check status code) to Trusted AP
Dragonblood DoS,1735,Authentication,2026-06-27T17:09:42.481385000Z,-53,,78:72:64:ea:b9:14,02:84:47:4a:b8:79,78:72:64:ea:b9:14,,126,Attacker is Sending Authentication request to trusted AP
Dragonblood DoS,1736,Authentication,2026-06-27T17:09:42.490627000Z,-54,,78:72:64:ea:b9:14,02:84:47:4a:b8:79,78:72:64:ea:b9:14,,126,Attacker is Sending Authentication request to trusted AP
Dragonblood DoS,1737,Authentication,2026-06-27T17:09:42.511077000Z,-54,,78:72:64:ea:b9:14,02:84:47:4a:b8:79,78:72:64:ea:b9:14,,126,Attacker is Sending Authentication request to trusted AP
,1738,Authentication,2026-06-27T17:09:42.533617000Z,-16,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,6e:6c:14:2e:43:d5,,126,Unsuccessful Authentication (check status code) to Trusted AP
,1739,Authentication,2026-06-27T17:09:42.546636000Z,-16,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,6e:6c:14:2e:43:d5,,126,Unsuccessful Authentication (check status code) to Trusted AP
,1740,Authentication,2026-06-27T17:09:42.553143000Z,-15,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,6e:6c:14:2e:43:d5,,126,Unsuccessful Authentication (check status code) to Trusted AP
,1741,Authentication,2026-06-27T17:09:42.607189000Z,-15,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,32:57:c9:06:39:06,,76,Unsuccessful Authentication (check status code) to Trusted AP
Dragonblood DoS,1742,Authentication,2026-06-27T17:09:42.611536000Z,-53,,78:72:64:ea:b9:14,16:cd:d7:02:0d:f8,78:72:64:ea:b9:14,,126,Attacker is Sending Authentication request to trusted AP
,1743,Authentication,2026-06-27T17:09:42.614732000Z,-16,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,32:57:c9:06:39:06,,76,Unsuccessful Authentication (check status code) to Trusted AP
,1744,Authentication,2026-06-27T17:09:42.619603000Z,-15,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,32:57:c9:06:39:06,,76,Unsuccessful Authentication (check status code) to Trusted AP
,1745,Authentication,2026-06-27T17:09:42.624631000Z,-15,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,32:57:c9:06:39:06,,76,Unsuccessful Authentication (check status code) to Trusted AP
,1746,Authentication,2026-06-27T17:09:42.673288000Z,-16,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,02:84:47:4a:b8:79,,126,Unsuccessful Authentication (check status code) to Trusted AP
,1747,Authentication,2026-06-27T17:09:42.678603000Z,-15,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,02:84:47:4a:b8:79,,126,Unsuccessful Authentication (check status code) to Trusted AP
,1748,Authentication,2026-06-27T17:09:42.685167000Z,-15,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,02:84:47:4a:b8:79,,126,Unsuccessful Authentication (check status code) to Trusted AP
