attack_type,packet Number,event_type,time_stamp,signal_strength,ssid,bssid,src,dst,reason,status,details
Dragonblood DoS,1186,Authentication,2026-06-29T16:07:53.136402000Z,-54,,78:72:64:ea:b9:14,22:37:75:e0:6c:6e,78:72:64:ea:b9:14,,0,Attacker is Sending Authentication request to trusted AP
Dragonblood DoS,1188,Authentication,2026-06-29T16:07:53.201938000Z,-54,,78:72:64:ea:b9:14,9e:97:ba:77:ea:f4,78:72:64:ea:b9:14,,0,Attacker is Sending Authentication request to trusted AP
Dragonblood DoS,1190,Authentication,2026-06-29T16:07:53.300255000Z,-54,,78:72:64:ea:b9:14,fa:1a:41:e2:b8:57,78:72:64:ea:b9:14,,0,Attacker is Sending Authentication request to trusted AP
,1192,Authentication,2026-06-29T16:07:53.357198000Z,-33,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,22:37:75:e0:6c:6e,,0,Successful Authentication to Trusted AP
,1193,Authentication,2026-06-29T16:07:53.363095000Z,-35,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,22:37:75:e0:6c:6e,,0,Successful Authentication to Trusted AP
,1194,Authentication,2026-06-29T16:07:53.369341000Z,-35,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,22:37:75:e0:6c:6e,,0,Successful Authentication to Trusted AP
,1195,Authentication,2026-06-29T16:07:53.375176000Z,-35,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,22:37:75:e0:6c:6e,,0,Successful Authentication to Trusted AP
Dragonblood DoS,1197,Authentication,2026-06-29T16:07:53.464088000Z,-54,,78:72:64:ea:b9:14,22:37:75:e0:6c:6e,78:72:64:ea:b9:14,,0,Attacker is Sending Authentication request to trusted AP
Dragonblood DoS,1198,Authentication,2026-06-29T16:07:53.562394000Z,-54,,78:72:64:ea:b9:14,9e:97:ba:77:ea:f4,78:72:64:ea:b9:14,,0,Attacker is Sending Authentication request to trusted AP
Dragonblood DoS,1199,Authentication,2026-06-29T16:07:53.627930000Z,-55,,78:72:64:ea:b9:14,fa:1a:41:e2:b8:57,78:72:64:ea:b9:14,,0,Attacker is Sending Authentication request to trusted AP
,1200,Authentication,2026-06-29T16:07:53.650265000Z,-36,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,9e:97:ba:77:ea:f4,,0,Successful Authentication to Trusted AP
,1201,Authentication,2026-06-29T16:07:53.656207000Z,-37,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,9e:97:ba:77:ea:f4,,0,Successful Authentication to Trusted AP
,1202,Authentication,2026-06-29T16:07:53.661990000Z,-35,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,9e:97:ba:77:ea:f4,,0,Successful Authentication to Trusted AP
Dragonblood DoS,1203,Authentication,2026-06-29T16:07:53.726236000Z,-54,,78:72:64:ea:b9:14,4a:ea:44:36:17:40,78:72:64:ea:b9:14,,0,Attacker is Sending Authentication request to trusted AP
Dragonblood DoS,1204,Authentication,2026-06-29T16:07:53.824544000Z,-55,,78:72:64:ea:b9:14,22:37:75:e0:6c:6e,78:72:64:ea:b9:14,,0,Attacker is Sending Authentication request to trusted AP
,1205,Authentication,2026-06-29T16:07:53.862413000Z,-38,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,fa:1a:41:e2:b8:57,,0,Successful Authentication to Trusted AP
,1206,Authentication,2026-06-29T16:07:53.868249000Z,-38,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,fa:1a:41:e2:b8:57,,0,Successful Authentication to Trusted AP
,1207,Authentication,2026-06-29T16:07:53.873928000Z,-37,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,fa:1a:41:e2:b8:57,,0,Successful Authentication to Trusted AP
,1208,Authentication,2026-06-29T16:07:53.879607000Z,-36,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,fa:1a:41:e2:b8:57,,0,Successful Authentication to Trusted AP
Dragonblood DoS,1209,Authentication,2026-06-29T16:07:53.890082000Z,-54,,78:72:64:ea:b9:14,9e:97:ba:77:ea:f4,78:72:64:ea:b9:14,,0,Attacker is Sending Authentication request to trusted AP
,1212,Authentication,2026-06-29T16:07:53.924822000Z,-36,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,22:37:75:e0:6c:6e,,0,Successful Authentication to Trusted AP
,1213,Authentication,2026-06-29T16:07:53.930558000Z,-36,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,22:37:75:e0:6c:6e,,0,Successful Authentication to Trusted AP
,1214,Authentication,2026-06-29T16:07:53.936444000Z,-34,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,22:37:75:e0:6c:6e,,0,Successful Authentication to Trusted AP
,1215,Authentication,2026-06-29T16:07:53.942339000Z,-35,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,22:37:75:e0:6c:6e,,0,Successful Authentication to Trusted AP
Dragonblood DoS,1216,Authentication,2026-06-29T16:07:53.988389000Z,-54,,78:72:64:ea:b9:14,fa:1a:41:e2:b8:57,78:72:64:ea:b9:14,,0,Attacker is Sending Authentication request to trusted AP
,1221,Authentication,2026-06-29T16:07:54.004518000Z,-36,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,9e:97:ba:77:ea:f4,,0,Successful Authentication to Trusted AP
,1222,Authentication,2026-06-29T16:07:54.016247000Z,-34,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,9e:97:ba:77:ea:f4,,0,Successful Authentication to Trusted AP
