host_timestamp,local_time,esp32_uptime_us,cpu_used_pct,ram_used_pct,throughput_bps,tcp_disconnects
1782737752.2043896,2026-06-29 14:55:52,4773708730,0.7,19.72,33.59,8
1782737757.2138767,2026-06-29 14:55:57,4778710730,0.7,19.72,31.99,8
1782737762.212521,2026-06-29 14:56:02,4783712730,0.72,19.72,31.99,8
1782737767.2167087,2026-06-29 14:56:07,4788714730,0.73,19.72,33.59,8
1782737772.2102115,2026-06-29 14:56:12,4793716730,1.0,19.72,31.99,8
1782737777.2170022,2026-06-29 14:56:17,4798718730,0.76,19.72,33.59,8
1782737782.2165318,2026-06-29 14:56:22,4803720730,0.76,19.72,31.99,8
1782737787.2175276,2026-06-29 14:56:27,4808722730,0.81,19.72,31.99,8
1782737792.220645,2026-06-29 14:56:32,4813724730,0.65,19.72,33.59,8
1782737797.2191722,2026-06-29 14:56:37,4818726730,0.72,19.72,31.99,8
1782737802.2263184,2026-06-29 14:56:42,4823728730,0.77,19.72,31.99,8
1782737807.2241902,2026-06-29 14:56:47,4828730730,1.34,19.77,31.99,8
1782737812.2285216,2026-06-29 14:56:52,4833732730,1.07,19.72,31.99,8
1782737817.2332551,2026-06-29 14:56:57,4838734730,0.71,19.72,31.99,8
1782737822.2325897,2026-06-29 14:57:02,4843736730,0.87,19.72,31.99,8
1782737827.237819,2026-06-29 14:57:07,4848738730,0.76,19.72,31.99,8
1782737832.2401972,2026-06-29 14:57:12,4853740730,1.02,19.72,33.59,8
1782737837.2363374,2026-06-29 14:57:17,4858742730,0.79,19.72,31.99,8
1782737842.245041,2026-06-29 14:57:22,4863744730,0.77,19.72,31.99,8
1782737847.2448697,2026-06-29 14:57:27,4868746730,0.74,19.72,31.99,8
1782737852.245702,2026-06-29 14:57:32,4873748730,1.0,19.72,31.99,8
1782737857.2499099,2026-06-29 14:57:37,4878750730,0.78,19.72,31.99,8
1782737862.2426326,2026-06-29 14:57:42,4883752730,0.74,19.72,31.99,8
1782737867.245038,2026-06-29 14:57:47,4888754730,0.7,19.72,31.99,8
1782737872.2569408,2026-06-29 14:57:52,4893756730,0.99,19.72,33.59,8
1782737877.2490644,2026-06-29 14:57:57,4898758730,0.89,19.72,33.59,8
1782737882.2607903,2026-06-29 14:58:02,4903760730,1.66,19.76,31.99,8
1782737887.2570205,2026-06-29 14:58:07,4908762725,0.56,19.79,0.0,9
1782737892.2656946,2026-06-29 14:58:12,4913764730,2.39,19.72,31.99,9
1782737897.2610636,2026-06-29 14:58:17,4918766730,0.71,19.71,31.99,9
1782737902.2598422,2026-06-29 14:58:22,4923768730,0.71,19.71,31.99,9
1782737907.2671945,2026-06-29 14:58:27,4928770730,0.66,19.71,31.99,9
1782737912.269516,2026-06-29 14:58:32,4933772730,0.78,19.71,31.99,9
1782737917.2650564,2026-06-29 14:58:37,4938774730,0.87,19.71,31.99,9
1782737922.2653153,2026-06-29 14:58:42,4943776730,0.82,19.71,31.99,9
1782737927.272399,2026-06-29 14:58:47,4948778730,0.62,19.71,31.99,9
1782737932.2784028,2026-06-29 14:58:52,4953780730,0.54,19.71,31.99,9
1782737937.2718875,2026-06-29 14:58:57,4958782730,0.83,19.71,31.99,9
1782737942.2729726,2026-06-29 14:59:02,4963784730,0.65,19.71,31.99,9
1782737947.2852166,2026-06-29 14:59:07,4968786730,0.61,19.71,31.99,9
1782737952.2806964,2026-06-29 14:59:12,4973788730,0.67,19.71,31.99,9
1782737957.2830114,2026-06-29 14:59:17,4978790730,0.64,19.71,33.59,9
1782737962.284511,2026-06-29 14:59:22,4983792730,0.96,19.71,31.99,9
1782737967.2893908,2026-06-29 14:59:27,4988794730,0.73,19.71,31.99,9
1782737972.2896073,2026-06-29 14:59:32,4993796730,0.73,19.71,31.99,9
1782737977.2923188,2026-06-29 14:59:37,4998798730,0.97,19.71,33.59,9
1782737982.2932088,2026-06-29 14:59:42,5003800730,0.89,19.71,31.99,9
1782737987.296844,2026-06-29 14:59:47,5008802730,0.78,19.71,31.99,9
1782737992.2927911,2026-06-29 14:59:52,5013804730,0.77,19.71,31.99,9
1782737997.3022528,2026-06-29 14:59:57,5018806730,0.96,19.71,31.99,9
1782738002.299997,2026-06-29 15:00:02,5023808730,0.68,19.71,31.99,9
