packet_number,timestamp,frame_name,frame_len,length,dbm_antsignal,channel_freq,type,subtype,ds,frag,retry,pwrmgt,moredata,protected,duration,label
2,2026-06-29T13:35:36.001789000Z,QoS Data,148,34,-33,920,2,8,0,0,0,0,0,1,720,0
3,2026-06-29T13:35:36.005649000Z,QoS Data,148,34,-31,920,2,8,0,0,1,0,0,1,720,0
5,2026-06-29T13:35:36.012339000Z,QoS Data,131,34,-14,920,2,8,1,0,0,0,0,1,720,0
7,2026-06-29T13:35:36.015065000Z,QoS Data,131,34,-31,920,2,8,0,0,0,0,0,1,720,0
8,2026-06-29T13:35:36.018545000Z,QoS Data,131,34,-14,920,2,8,1,0,1,0,0,1,720,0
10,2026-06-29T13:35:36.024285000Z,RTS,54,34,-14,920,1,11,,,,0,0,0,4540,0
12,2026-06-29T13:35:36.028102000Z,QoS Data,131,34,-14,920,2,8,1,0,1,0,0,1,720,0
14,2026-06-29T13:35:36.031870000Z,RTS,54,34,-15,920,1,11,,,,0,0,0,4540,0
16,2026-06-29T13:35:36.037768000Z,RTS,54,34,-14,920,1,11,,,,0,0,0,4540,0
18,2026-06-29T13:35:36.041588000Z,QoS Data,131,34,-14,920,2,8,1,0,1,0,0,1,720,0
20,2026-06-29T13:35:36.045260000Z,RTS,54,34,-14,920,1,11,,,,0,0,0,3352,0
22,2026-06-29T13:35:36.050747000Z,RTS,54,34,-16,920,1,11,,,,0,0,0,3352,0
24,2026-06-29T13:35:36.058317000Z,RTS,54,34,-15,920,1,11,,,,0,0,0,3352,0
26,2026-06-29T13:35:36.068499000Z,RTS,54,34,-15,920,1,11,,,,0,0,0,3352,0
28,2026-06-29T13:35:36.071127000Z,QoS Data,131,34,-14,920,2,8,1,0,1,0,0,1,720,0
30,2026-06-29T13:35:36.074272000Z,RTS,54,34,-13,920,1,11,,,,0,0,0,4540,0
32,2026-06-29T13:35:36.079861000Z,RTS,54,34,-14,920,1,11,,,,0,0,0,4540,0
34,2026-06-29T13:35:36.086436000Z,RTS,54,34,-14,920,1,11,,,,0,0,0,4540,0
36,2026-06-29T13:35:36.091711000Z,RTS,54,34,-14,920,1,11,,,,0,0,0,4540,0
38,2026-06-29T13:35:36.098389000Z,RTS,54,34,-13,920,1,11,,,,0,0,0,4540,0
40,2026-06-29T13:35:36.102210000Z,QoS Data,131,34,-15,920,2,8,1,0,1,0,0,1,720,0
42,2026-06-29T13:35:36.147535000Z,S1G Beacon,61,34,-27,920,3,1,,,,,,,0,0
43,2026-06-29T13:35:36.212467000Z,QoS Null,64,34,-14,920,2,12,1,0,0,0,0,0,720,0
46,2026-06-29T13:35:36.218786000Z,QoS Null,64,34,-14,920,2,12,1,0,1,0,0,0,720,0
48,2026-06-29T13:35:36.221902000Z,QoS Null,64,34,-14,920,2,12,1,0,1,0,0,0,720,0
50,2026-06-29T13:35:36.240728000Z,QoS Data,128,34,-28,920,2,8,1,0,0,0,0,1,720,0
52,2026-06-29T13:35:36.242937000Z,QoS Data,128,34,-31,920,2,8,0,0,0,0,0,1,720,0
53,2026-06-29T13:35:36.246086000Z,QoS Data,128,34,-31,920,2,8,0,0,1,0,0,1,720,0
55,2026-06-29T13:35:36.355615000Z,Data,132,34,-29,920,2,0,0,0,0,0,0,1,0,0
56,2026-06-29T13:35:36.394367000Z,Data,287,34,-27,920,2,0,0,0,0,0,0,1,0,0
57,2026-06-29T13:35:36.968571000Z,S1G Beacon,129,34,-28,920,3,1,,,,,,,0,0
58,2026-06-29T13:35:37.200962000Z,Data,378,34,-28,920,2,0,0,0,0,0,0,1,0,0
59,2026-06-29T13:35:37.304982000Z,Data,387,34,-27,920,2,0,0,0,0,0,0,1,0,0
60,2026-06-29T13:35:37.410663000Z,Data,450,34,-28,920,2,0,0,0,0,0,0,1,0,0
61,2026-06-29T13:35:37.514967000Z,Data,442,34,-27,920,2,0,0,0,0,0,0,1,0,0
62,2026-06-29T13:35:37.617412000Z,Data,387,34,-28,920,2,0,0,0,0,0,0,1,0,0
63,2026-06-29T13:35:37.721992000Z,Data,426,34,-27,920,2,0,0,0,0,0,0,1,0,0
64,2026-06-29T13:35:37.785981000Z,S1G Beacon,61,34,-27,920,3,1,,,,,,,0,0
65,2026-06-29T13:35:37.827033000Z,Data,458,34,-27,920,2,0,0,0,0,0,0,1,0,0
66,2026-06-29T13:35:38.346456000Z,Data,442,34,-26,920,2,0,0,0,0,0,0,1,0,0
67,2026-06-29T13:35:39.418408000Z,Data,287,34,-26,920,2,0,0,0,0,0,0,1,0,0
68,2026-06-29T13:35:39.424437000Z,S1G Beacon,61,34,-28,920,3,1,,,,,,,0,0
69,2026-06-29T13:35:40.245460000Z,S1G Beacon,129,34,-26,920,3,1,,,,,,,0,0
70,2026-06-29T13:35:41.029324000Z,QoS Data,148,34,-17,920,2,8,1,0,0,0,0,1,720,0
72,2026-06-29T13:35:41.038419000Z,QoS Data,131,34,-16,920,2,8,1,0,0,0,0,1,720,0
74,2026-06-29T13:35:41.041081000Z,QoS Data,131,34,-30,920,2,8,0,0,0,0,0,1,720,0
76,2026-06-29T13:35:41.062888000Z,S1G Beacon,61,34,-26,920,3,1,,,,,,,0,0
77,2026-06-29T13:35:41.240745000Z,QoS Data,128,34,-18,920,2,8,1,0,0,0,0,1,720,0
80,2026-06-29T13:35:41.883919000Z,S1G Beacon,129,34,-25,920,3,1,,,,,,,0,0
82,2026-06-29T13:35:42.442641000Z,Data,287,34,-27,920,2,0,0,0,0,0,0,1,0,0
83,2026-06-29T13:35:44.339797000Z,S1G Beacon,61,34,-29,920,3,1,,,,,,,0,0
84,2026-06-29T13:35:45.160837000Z,S1G Beacon,129,34,-26,920,3,1,,,,,,,0,0
85,2026-06-29T13:35:45.466589000Z,Data,287,34,-23,920,2,0,0,0,0,0,0,1,0,0
86,2026-06-29T13:35:45.978240000Z,S1G Beacon,61,34,-24,920,3,1,,,,,,,0,0
87,2026-06-29T13:35:46.055367000Z,QoS Data,148,34,-21,920,2,8,1,0,0,0,0,1,720,0
89,2026-06-29T13:35:46.064561000Z,QoS Data,131,34,-14,920,2,8,1,0,0,0,0,1,720,0
90,2026-06-29T13:35:46.067271000Z,QoS Data,131,34,-29,920,2,8,0,0,0,0,0,1,720,0
92,2026-06-29T13:35:46.242805000Z,QoS Data,128,34,-29,920,2,8,0,0,0,0,0,1,720,0
95,2026-06-29T13:35:46.799277000Z,S1G Beacon,129,34,-22,920,3,1,,,,,,,0,0
96,2026-06-29T13:35:48.437718000Z,S1G Beacon,129,34,-22,920,3,1,,,,,,,0,0
97,2026-06-29T13:35:48.490664000Z,Data,287,34,-22,920,2,0,0,0,0,0,0,1,0,0
98,2026-06-29T13:35:49.255156000Z,S1G Beacon,61,34,-29,920,3,1,,,,,,,0,0
99,2026-06-29T13:35:50.076172000Z,S1G Beacon,129,34,-28,920,3,1,,,,,,,0,0
100,2026-06-29T13:35:50.893597000Z,S1G Beacon,61,34,-32,920,3,1,,,,,,,0,0
101,2026-06-29T13:35:51.081279000Z,QoS Data,148,34,-15,920,2,8,1,0,0,0,0,1,720,0
103,2026-06-29T13:35:51.083568000Z,QoS Data,148,34,-36,920,2,8,0,0,0,0,0,1,720,0
105,2026-06-29T13:35:51.089742000Z,QoS Data,131,34,-13,920,2,8,1,0,0,0,0,1,720,0
107,2026-06-29T13:35:51.092088000Z,QoS Data,131,34,-33,920,2,8,0,0,0,0,0,1,720,0
