host_timestamp,local_time,esp32_uptime_us,cpu_used_pct,ram_used_pct,throughput_bps,tcp_disconnects,rssi
1783421839.1385324,2026-07-07 12:57:19,3512647766,0.96,18.26,33.6,2,-33
1783421844.1141834,2026-07-07 12:57:24,3517647766,0.99,18.26,33.6,2,-34
1783421849.1166878,2026-07-07 12:57:29,3522647766,1.25,18.26,32.8,2,-35
1783421854.1234643,2026-07-07 12:57:34,3527647766,0.98,18.26,33.6,2,-32
1783421859.1273894,2026-07-07 12:57:39,3532647766,0.93,18.26,32.0,2,-34
1783421864.145965,2026-07-07 12:57:44,3537647766,0.91,18.26,32.0,2,-35
1783421869.1382816,2026-07-07 12:57:49,3542647766,1.21,18.26,33.6,2,-32
1783421874.1482015,2026-07-07 12:57:54,3547647766,0.87,18.26,33.6,2,-37
1783421879.1326702,2026-07-07 12:57:59,3552647766,0.88,18.26,33.6,2,-34
1783421884.1414213,2026-07-07 12:58:04,3557647766,0.83,18.26,32.8,2,-34
1783421889.1429,2026-07-07 12:58:09,3562647766,0.96,18.26,33.6,2,-35
1783421894.1477897,2026-07-07 12:58:14,3567647766,0.97,18.26,33.6,2,-34
1783421899.1491287,2026-07-07 12:58:19,3572647766,0.76,18.26,33.6,2,-35
1783421904.1531138,2026-07-07 12:58:24,3577647766,0.75,18.26,33.6,2,-35
1783421909.1543217,2026-07-07 12:58:29,3582647766,0.72,18.26,32.8,2,-34
1783421914.1518545,2026-07-07 12:58:34,3587647766,1.02,18.26,32.0,2,-36
1783421919.1604981,2026-07-07 12:58:39,3592647766,0.7,18.26,32.0,2,-34
1783421924.1579363,2026-07-07 12:58:44,3597647766,0.91,18.26,32.8,2,-35
1783421929.1562176,2026-07-07 12:58:49,3602647766,0.72,18.26,33.6,2,-35
1783421934.1654475,2026-07-07 12:58:54,3607647766,1.03,18.26,33.6,2,-35
1783421939.1697273,2026-07-07 12:58:59,3612647766,0.73,18.26,32.8,2,-36
1783421944.1687844,2026-07-07 12:59:04,3617647766,1.02,18.26,32.8,2,-35
1783421949.1693666,2026-07-07 12:59:09,3622647766,0.71,18.26,33.6,2,-38
1783421954.1890244,2026-07-07 12:59:14,3627647766,1.06,18.26,33.6,2,-35
1783421959.1796665,2026-07-07 12:59:19,3632647766,0.74,18.26,32.8,2,-36
1783421964.1743479,2026-07-07 12:59:24,3637647766,0.75,18.26,32.8,2,-35
1783421969.1838503,2026-07-07 12:59:29,3642647766,0.73,18.26,33.6,2,-36
1783421974.194901,2026-07-07 12:59:34,3647647766,1.03,18.26,33.6,2,-35
1783421979.1846428,2026-07-07 12:59:39,3652647766,0.64,18.26,32.8,2,-36
1783421984.1824691,2026-07-07 12:59:44,3657647766,0.67,18.26,32.0,2,-35
1783421989.1849728,2026-07-07 12:59:49,3662647767,0.62,18.26,32.0,2,-35
1783421994.1885827,2026-07-07 12:59:54,3667647766,0.82,18.26,32.0,2,-37
1783421999.1956303,2026-07-07 12:59:59,3672647767,0.76,18.26,32.0,2,-36
1783422004.1984081,2026-07-07 13:00:04,3677647767,0.62,18.26,32.0,2,-35
1783422009.1994314,2026-07-07 13:00:09,3682647766,0.65,18.26,32.0,2,-35
1783422014.2062476,2026-07-07 13:00:14,3687647766,0.92,18.26,32.0,2,-33
1783422019.2047877,2026-07-07 13:00:19,3692647766,0.94,18.26,32.0,2,-35
1783422024.2186885,2026-07-07 13:00:24,3697647766,0.72,18.26,32.0,2,-34
1783422029.2117963,2026-07-07 13:00:29,3702647766,0.68,18.26,33.6,2,-34
1783422034.2158818,2026-07-07 13:00:34,3707647766,0.64,18.26,33.6,2,-34
1783422039.226888,2026-07-07 13:00:39,3712647766,0.99,18.26,32.8,2,-34
1783422044.2127662,2026-07-07 13:00:44,3717647766,0.67,18.26,32.0,2,-34
1783422049.2218459,2026-07-07 13:00:49,3722647766,0.64,18.26,32.0,2,-34
1783422054.226022,2026-07-07 13:00:54,3727647766,0.74,18.26,32.0,2,-34
1783422059.2343225,2026-07-07 13:00:59,3732647766,1.0,18.26,33.6,2,-34
1783422064.2289445,2026-07-07 13:01:04,3737647767,0.64,18.26,33.6,2,-39
1783422069.230887,2026-07-07 13:01:09,3742647766,0.7,18.26,33.6,2,-34
1783422074.2293916,2026-07-07 13:01:14,3747647766,0.67,18.26,33.6,2,-36
1783422079.2377553,2026-07-07 13:01:19,3752647767,1.0,18.26,33.6,2,-35
1783422084.2390223,2026-07-07 13:01:24,3757647766,0.67,18.26,32.0,2,-35
1783422089.2404053,2026-07-07 13:01:29,3762647766,0.64,18.26,32.0,2,-38
1783422094.2630768,2026-07-07 13:01:34,3767647766,0.59,18.26,32.8,2,-33
1783422099.237743,2026-07-07 13:01:39,3772647766,0.77,18.26,33.6,2,-31
1783422104.2406335,2026-07-07 13:01:44,3777647766,0.79,18.26,33.6,2,-30
1783422109.2429621,2026-07-07 13:01:49,3782647766,0.56,18.26,33.6,2,-34
1783422114.2450926,2026-07-07 13:01:54,3787647766,0.6,18.26,33.6,2,-31
1783422119.2460942,2026-07-07 13:01:59,3792647766,0.61,18.26,32.8,2,-32
1783422124.2533367,2026-07-07 13:02:04,3797647766,0.93,18.26,33.6,2,-31
1783422129.2478867,2026-07-07 13:02:09,3802647766,0.62,18.26,33.6,2,-31
1783422134.2519352,2026-07-07 13:02:14,3807647766,0.59,18.26,33.6,2,-29
1783422139.2504015,2026-07-07 13:02:19,3812647766,0.69,18.26,33.6,2,-32
1783422144.2528057,2026-07-07 13:02:24,3817647766,0.98,18.26,33.6,2,-30
1783422149.254658,2026-07-07 13:02:29,3822647766,0.59,18.26,32.0,2,-32
1783422154.2565742,2026-07-07 13:02:34,3827647766,0.63,18.26,32.0,2,-31
1783422159.250596,2026-07-07 13:02:39,3832647766,0.62,18.26,32.0,2,-30
1783422164.2475243,2026-07-07 13:02:44,3837647766,0.9,18.26,32.0,2,-32
1783422169.2520535,2026-07-07 13:02:49,3842647766,0.65,18.26,32.0,2,-31
1783422174.2472079,2026-07-07 13:02:54,3847647766,0.64,18.26,32.8,2,-32
1783422179.2617786,2026-07-07 13:02:59,3852647766,0.61,18.26,32.0,2,-31
1783422184.2454538,2026-07-07 13:03:04,3857647767,1.15,18.26,32.0,2,-32
1783422189.236256,2026-07-07 13:03:09,3862647766,0.69,18.26,33.6,2,-32
1783422194.231781,2026-07-07 13:03:14,3867647766,0.64,18.26,33.6,2,-31
1783422199.231896,2026-07-07 13:03:19,3872647766,0.67,18.26,32.0,2,-31
1783422204.2330074,2026-07-07 13:03:24,3877647766,0.84,18.26,32.0,2,-31
1783422209.233691,2026-07-07 13:03:29,3882647766,0.82,18.26,33.6,2,-31
1783422214.2273047,2026-07-07 13:03:34,3887647766,0.69,18.26,32.0,2,-31
1783422219.2271125,2026-07-07 13:03:39,3892647766,0.68,18.26,32.0,2,-30
1783422224.2188888,2026-07-07 13:03:44,3897647766,0.83,18.26,33.6,2,-32
1783422229.2166574,2026-07-07 13:03:49,3902647766,1.01,18.26,33.6,2,-31
1783422234.21701,2026-07-07 13:03:54,3907647767,0.64,18.26,33.6,2,-32
1783422239.2090275,2026-07-07 13:03:59,3912647766,0.69,18.26,32.8,2,-31
1783422244.213223,2026-07-07 13:04:04,3917647766,0.68,18.26,33.6,2,-31
1783422249.2105482,2026-07-07 13:04:09,3922647766,0.94,18.26,32.0,2,-31
1783422254.1990669,2026-07-07 13:04:14,3927647766,0.69,18.26,33.6,2,-30
1783422259.201861,2026-07-07 13:04:19,3932647766,0.63,18.26,33.6,2,-31
1783422264.204639,2026-07-07 13:04:24,3937647766,0.81,18.26,32.0,2,-31
1783422269.195891,2026-07-07 13:04:29,3942647766,1.01,18.26,33.6,2,-30
1783422274.1903467,2026-07-07 13:04:34,3947647767,0.66,18.26,33.6,2,-30
1783422279.1892712,2026-07-07 13:04:39,3952647766,0.66,18.26,33.6,2,-31
1783422284.1859722,2026-07-07 13:04:44,3957647767,0.65,18.26,32.8,2,-31
1783422289.1823006,2026-07-07 13:04:49,3962647766,0.99,18.26,32.8,2,-30
1783422294.1872075,2026-07-07 13:04:54,3967647766,0.65,18.26,32.8,2,-31
1783422299.1838617,2026-07-07 13:04:59,3972647766,0.68,18.26,32.8,2,-31
1783422304.1842926,2026-07-07 13:05:04,3977647766,0.69,18.26,33.6,2,-30
1783422309.1808717,2026-07-07 13:05:09,3982647766,0.81,18.26,33.6,2,-30
1783422314.1902058,2026-07-07 13:05:14,3987647766,0.88,18.26,32.8,2,-31
1783422319.1903543,2026-07-07 13:05:19,3992647766,0.71,18.26,33.6,2,-30
1783422324.1897273,2026-07-07 13:05:24,3997647766,0.77,18.26,32.0,2,-30
1783422329.192832,2026-07-07 13:05:29,4002647766,0.7,18.26,33.6,2,-27
1783422334.1949492,2026-07-07 13:05:34,4007647766,0.98,18.26,33.6,2,-32
1783422339.2213695,2026-07-07 13:05:39,4012647766,0.69,18.26,33.6,2,-32
1783422344.2073843,2026-07-07 13:05:44,4017647766,0.69,18.26,32.8,2,-30
1783422349.202825,2026-07-07 13:05:49,4022647766,0.66,18.66,33.6,2,-31
1783422354.207402,2026-07-07 13:05:54,4027647766,0.98,18.66,33.6,2,-32
1783422359.2067459,2026-07-07 13:05:59,4032647767,0.66,18.66,33.6,2,-32
1783422364.2137332,2026-07-07 13:06:04,4037647766,1.09,18.66,33.6,2,-32
1783422369.2103274,2026-07-07 13:06:09,4042647766,0.69,18.66,33.6,2,-31
1783422374.2176569,2026-07-07 13:06:14,4047647766,0.94,18.71,32.0,2,-33
1783422379.238959,2026-07-07 13:06:19,4052647766,0.61,18.71,33.6,2,-32
1783422384.2188642,2026-07-07 13:06:24,4057647766,0.63,18.26,0.0,2,-31
1783422389.2276971,2026-07-07 13:06:29,4062647766,0.77,18.26,0.0,2,-32
1783422394.2299662,2026-07-07 13:06:34,4067647766,0.99,18.26,32.8,2,-31
1783422399.2343633,2026-07-07 13:06:39,4072647766,0.67,18.26,32.0,2,-31
1783422404.2365205,2026-07-07 13:06:44,4077647766,0.67,18.26,32.0,2,-31
1783422409.2337503,2026-07-07 13:06:49,4082647766,0.65,18.26,32.0,2,-32
1783422414.2353275,2026-07-07 13:06:54,4087647766,0.81,18.26,32.0,2,-33
1783422419.2412922,2026-07-07 13:06:59,4092647766,0.85,18.26,33.6,2,-33
1783422424.250885,2026-07-07 13:07:04,4097647766,0.65,18.26,33.6,2,-31
1783422429.2432172,2026-07-07 13:07:09,4102647766,0.67,18.26,33.6,2,-32
1783422434.2453296,2026-07-07 13:07:14,4107647766,0.76,18.26,32.0,2,-31
