host_timestamp,local_time,esp32_uptime_us,cpu_used_pct,ram_used_pct,throughput_bps,tcp_disconnects,rssi
1783338214.5641992,2026-07-06 13:43:34,993661532,0.95,18.35,4.8,0,-28
1783338219.557488,2026-07-06 13:43:39,998661532,0.94,18.35,4.8,0,-30
1783338224.5585475,2026-07-06 13:43:44,1003661532,1.27,18.35,4.8,0,-31
1783338229.5557704,2026-07-06 13:43:49,1008661532,1.08,18.35,4.8,0,-28
1783338234.557149,2026-07-06 13:43:54,1013661532,0.92,18.35,4.8,0,-34
1783338239.558187,2026-07-06 13:43:59,1018661532,0.89,18.39,4.8,0,-33
1783338244.5455647,2026-07-06 13:44:04,1023661532,0.93,18.39,4.8,0,-38
1783338249.5458167,2026-07-06 13:44:09,1028661532,1.29,18.39,4.8,0,-32
1783338254.5428689,2026-07-06 13:44:14,1033661532,0.92,18.75,2.4,0,-33
1783338259.5470164,2026-07-06 13:44:19,1038661532,0.86,18.35,2.4,0,-31
1783338264.5404832,2026-07-06 13:44:24,1043661532,0.97,18.35,4.8,0,-32
1783338269.5308783,2026-07-06 13:44:29,1048661532,1.31,18.35,4.8,0,-32
1783338274.532532,2026-07-06 13:44:34,1053661532,0.86,18.35,4.8,0,-34
1783338279.5350637,2026-07-06 13:44:39,1058661532,0.87,18.35,4.8,0,-32
1783338284.5254421,2026-07-06 13:44:44,1063661532,1.11,18.35,4.8,0,-33
1783338289.535961,2026-07-06 13:44:49,1068661532,1.61,18.35,4.8,0,-32
1783338294.5181735,2026-07-06 13:44:54,1073661532,0.88,18.35,4.8,0,-31
1783338299.5225759,2026-07-06 13:44:59,1078661532,0.91,18.35,4.8,0,-33
1783338304.5131943,2026-07-06 13:45:04,1083661532,0.96,18.35,4.8,0,-32
1783338309.5183735,2026-07-06 13:45:09,1088661532,1.16,18.35,4.8,0,-33
1783338314.51497,2026-07-06 13:45:14,1093661532,0.87,18.35,4.8,0,-30
1783338319.509141,2026-07-06 13:45:19,1098661532,0.92,18.35,4.8,0,-32
1783338324.5170739,2026-07-06 13:45:24,1103661532,1.01,18.35,4.8,0,-30
1783338329.521641,2026-07-06 13:45:29,1108661534,1.09,18.35,4.8,0,-31
1783338334.51493,2026-07-06 13:45:34,1113661532,1.06,18.35,4.8,0,-35
