packet_number,timestamp,frame_name,frame_len,length,dbm_antsignal,channel_freq,type,subtype,ds,frag,retry,pwrmgt,moredata,protected,duration,label
1,2026-07-06T14:29:04.370895000Z,S1G Beacon,61,34,-20,920,3,1,,,,,,,0,0
2,2026-07-06T14:29:04.434354000Z,Data,287,34,-20,920,2,0,0,0,0,0,0,1,0,0
3,2026-07-06T14:29:05.191862000Z,S1G Beacon,129,34,-20,920,3,1,,,,,,,0,0
4,2026-07-06T14:29:06.009283000Z,S1G Beacon,61,34,-21,920,3,1,,,,,,,0,0
5,2026-07-06T14:29:06.477323000Z,QoS Data,148,34,-32,920,2,8,1,0,0,0,0,1,720,0
7,2026-07-06T14:29:06.479903000Z,QoS Data,148,34,-22,920,2,8,0,0,0,0,0,1,720,0
11,2026-07-06T14:29:06.489570000Z,QoS Data,131,34,-26,920,2,8,0,0,0,0,0,1,720,0
13,2026-07-06T14:29:06.509598000Z,QoS Data,128,34,-35,920,2,8,1,0,0,0,0,1,720,0
15,2026-07-06T14:29:06.511752000Z,QoS Data,128,34,-22,920,2,8,0,0,0,0,0,1,720,0
17,2026-07-06T14:29:06.830302000Z,S1G Beacon,129,34,-18,920,3,1,,,,,,,0,0
18,2026-07-06T14:29:06.855546000Z,Authentication,166,34,-60,920,0,11,0,0,0,0,0,0,0,2
19,2026-07-06T14:29:06.862701000Z,Authentication,105,34,-41,920,0,11,0,0,0,0,0,0,720,0
20,2026-07-06T14:29:06.866898000Z,Authentication,105,34,-20,920,0,11,0,0,1,0,0,0,720,0
21,2026-07-06T14:29:06.871142000Z,Authentication,105,34,-18,920,0,11,0,0,1,0,0,0,720,0
22,2026-07-06T14:29:06.875176000Z,Authentication,105,34,-18,920,0,11,0,0,1,0,0,0,720,0
23,2026-07-06T14:29:06.888317000Z,Authentication,166,34,-59,920,0,11,0,0,0,0,0,0,0,2
24,2026-07-06T14:29:06.895048000Z,Authentication,105,34,-19,920,0,11,0,0,0,0,0,0,720,0
25,2026-07-06T14:29:06.899451000Z,Authentication,105,34,-19,920,0,11,0,0,1,0,0,0,720,0
26,2026-07-06T14:29:06.903544000Z,Authentication,105,34,-18,920,0,11,0,0,1,0,0,0,720,0
27,2026-07-06T14:29:06.907791000Z,Authentication,105,34,-19,920,0,11,0,0,1,0,0,0,720,0
28,2026-07-06T14:29:06.921085000Z,Authentication,166,34,-60,920,0,11,0,0,0,0,0,0,0,2
29,2026-07-06T14:29:06.927413000Z,Authentication,105,34,-19,920,0,11,0,0,0,0,0,0,720,0
30,2026-07-06T14:29:06.931560000Z,Authentication,105,34,-20,920,0,11,0,0,1,0,0,0,720,0
31,2026-07-06T14:29:06.935132000Z,Authentication,105,34,-20,920,0,11,0,0,1,0,0,0,720,0
32,2026-07-06T14:29:06.939278000Z,Authentication,105,34,-19,920,0,11,0,0,1,0,0,0,720,0
33,2026-07-06T14:29:06.953858000Z,Authentication,166,34,-60,920,0,11,0,0,0,0,0,0,0,2
