packet_number,timestamp,frame_name,frame_len,length,dbm_antsignal,channel_freq,type,subtype,ds,frag,retry,pwrmgt,moredata,protected,duration,label
1,2026-06-27T09:32:49.106352000Z,QoS Data,149,34,-16,920,2,8,1,0,0,0,0,1,720,0
3,2026-06-27T09:32:49.113875000Z,QoS Data,131,34,-34,920,2,8,1,0,0,0,0,1,720,0
5,2026-06-27T09:32:49.284414000Z,S1G Beacon,129,34,-25,920,3,1,,,,,,,0,0
6,2026-06-27T09:32:49.291716000Z,QoS Data,128,34,-14,920,2,8,1,0,0,0,0,1,720,0
8,2026-06-27T09:32:50.101839000Z,S1G Beacon,61,34,-24,920,3,1,,,,,,,0,0
9,2026-06-27T09:32:50.645187000Z,Data,287,34,-23,920,2,0,0,0,0,0,0,1,0,0
10,2026-06-27T09:32:50.922873000Z,S1G Beacon,129,34,-24,920,3,1,,,,,,,0,0
11,2026-06-27T09:32:51.740308000Z,S1G Beacon,61,34,-24,920,3,1,,,,,,,0,0
12,2026-06-27T09:32:52.561328000Z,S1G Beacon,129,34,-23,920,3,1,,,,,,,0,0
13,2026-06-27T09:32:53.378749000Z,S1G Beacon,61,34,-25,920,3,1,,,,,,,0,0
14,2026-06-27T09:32:53.470830000Z,Data,378,34,-24,920,2,0,0,0,0,0,0,1,0,0
15,2026-06-27T09:32:53.574803000Z,Data,387,34,-23,920,2,0,0,0,0,0,0,1,0,0
16,2026-06-27T09:32:53.668745000Z,Data,287,34,-22,920,2,0,0,0,0,0,0,1,0,0
17,2026-06-27T09:32:53.784528000Z,Data,442,34,-24,920,2,0,0,0,0,0,0,1,0,0
18,2026-06-27T09:32:53.886896000Z,Data,387,34,-24,920,2,0,0,0,0,0,0,1,0,0
19,2026-06-27T09:32:53.991833000Z,Data,426,34,-25,920,2,0,0,0,0,0,0,1,0,0
20,2026-06-27T09:32:54.096770000Z,Data,458,34,-25,920,2,0,0,0,0,0,0,1,0,0
21,2026-06-27T09:32:54.130314000Z,QoS Data,149,34,-16,920,2,8,1,0,0,0,0,1,720,0
24,2026-06-27T09:32:54.199769000Z,S1G Beacon,129,34,-24,920,3,1,,,,,,,0,0
25,2026-06-27T09:32:54.291635000Z,QoS Data,128,34,-14,920,2,8,1,0,0,0,0,1,720,0
