packet_number,tsf,frame_name,frame_len,length,dbm_antsignal,channel_freq,type,subtype,ds,frag,retry,pwrmgt,moredata,protected,duration,label
1,16691679808,S1G Beacon,129,34,-17,920,3,1,,,,,,,0,0
2,16692499014,S1G Beacon,61,34,-17,920,3,1,,,,,,,0,0
3,16692727439,QoS Data,149,34,-12,920,2,8,1,0,0,0,0,1,720,0
6,16692736715,QoS Data,131,34,-18,920,2,8,1,0,0,0,0,1,720,0
10,16692795033,QoS Data,128,34,-12,920,2,8,1,0,0,0,0,1,720,0
13,16693107274,Data,287,34,-15,920,2,0,0,0,0,0,0,1,0,0
14,16693318216,S1G Beacon,129,34,-17,920,3,1,,,,,,,0,0
15,16694137419,S1G Beacon,61,34,-17,920,3,1,,,,,,,0,0
16,16694956622,S1G Beacon,129,34,-16,920,3,1,,,,,,,0,0
17,16695775827,S1G Beacon,61,34,-17,920,3,1,,,,,,,0,0
18,16696131037,Data,287,34,-21,920,2,0,0,0,0,0,0,1,0,0
19,16696595030,S1G Beacon,129,34,-17,920,3,1,,,,,,,0,0
20,16697414232,S1G Beacon,61,34,-19,920,3,1,,,,,,,0,0
21,16697751698,QoS Data,149,34,-14,920,2,8,1,0,0,0,0,1,720,0
25,16697767038,QoS Data,131,34,-25,920,2,8,0,0,1,0,0,1,720,0
27,16697795313,QoS Data,128,34,-13,920,2,8,1,0,0,0,0,1,720,0
30,16698233437,S1G Beacon,129,34,-17,920,3,1,,,,,,,0,0
31,16699052640,S1G Beacon,61,34,-18,920,3,1,,,,,,,0,0
32,16699155084,Data,287,34,-18,920,2,0,0,0,0,0,0,1,0,0
33,16699871842,S1G Beacon,129,34,-19,920,3,1,,,,,,,0,0
35,16700691045,S1G Beacon,61,34,-18,920,3,1,,,,,,,0,0
36,16701510250,S1G Beacon,129,34,-18,920,3,1,,,,,,,0,0
38,16702179071,Data,287,34,-18,920,2,0,0,0,0,0,0,1,0,0
39,16702329454,S1G Beacon,61,34,-18,920,3,1,,,,,,,0,0
40,16702779585,QoS Data,149,34,-13,920,2,8,1,0,0,0,0,1,720,0
42,16702782389,QoS Data,149,34,-27,920,2,8,0,0,0,0,0,1,720,0
