attack_type,packet Number,event_type,time_stamp,signal_strength,ssid,bssid,src,dst,reason,status,details
,1096,Authentication,2026-06-27T15:28:45.388324000Z,-15,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,c6:9b:2c:8f:3f:6b,,126,Unsuccessful Authentication (check status code) to Trusted AP
,1097,Authentication,2026-06-27T15:28:45.394823000Z,-15,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,c6:9b:2c:8f:3f:6b,,126,Unsuccessful Authentication (check status code) to Trusted AP
,1098,Authentication,2026-06-27T15:28:45.401488000Z,-14,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,c6:9b:2c:8f:3f:6b,,126,Unsuccessful Authentication (check status code) to Trusted AP
,1099,Authentication,2026-06-27T15:28:45.408258000Z,-15,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,c6:9b:2c:8f:3f:6b,,126,Unsuccessful Authentication (check status code) to Trusted AP
Dragonblood DoS,1101,Authentication,2026-06-27T15:28:45.526637000Z,-54,,78:72:64:ea:b9:14,72:81:d8:39:d3:a0,78:72:64:ea:b9:14,,126,Attacker is Sending Authentication request to trusted AP
,1102,Authentication,2026-06-27T15:28:45.661549000Z,-15,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,72:81:d8:39:d3:a0,,126,Unsuccessful Authentication (check status code) to Trusted AP
,1103,Authentication,2026-06-27T15:28:45.667941000Z,-15,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,72:81:d8:39:d3:a0,,126,Unsuccessful Authentication (check status code) to Trusted AP
,1104,Authentication,2026-06-27T15:28:45.674553000Z,-15,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,72:81:d8:39:d3:a0,,126,Unsuccessful Authentication (check status code) to Trusted AP
,1105,Authentication,2026-06-27T15:28:45.681065000Z,-15,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,72:81:d8:39:d3:a0,,126,Unsuccessful Authentication (check status code) to Trusted AP
Dragonblood DoS,1107,Authentication,2026-06-27T15:28:45.788784000Z,-53,,78:72:64:ea:b9:14,02:64:6f:b8:ce:11,78:72:64:ea:b9:14,,126,Attacker is Sending Authentication request to trusted AP
,1109,Authentication,2026-06-27T15:28:45.855043000Z,-15,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,02:64:6f:b8:ce:11,,126,Unsuccessful Authentication (check status code) to Trusted AP
,1110,Authentication,2026-06-27T15:28:45.861550000Z,-15,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,02:64:6f:b8:ce:11,,126,Unsuccessful Authentication (check status code) to Trusted AP
,1111,Authentication,2026-06-27T15:28:45.868105000Z,-15,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,02:64:6f:b8:ce:11,,126,Unsuccessful Authentication (check status code) to Trusted AP
,1112,Authentication,2026-06-27T15:28:45.874825000Z,-15,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,02:64:6f:b8:ce:11,,126,Unsuccessful Authentication (check status code) to Trusted AP
Dragonblood DoS,1113,Authentication,2026-06-27T15:28:46.050944000Z,-54,,78:72:64:ea:b9:14,ba:65:0e:3a:c8:63,78:72:64:ea:b9:14,,126,Attacker is Sending Authentication request to trusted AP
,1114,Authentication,2026-06-27T15:28:46.117395000Z,-16,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,ba:65:0e:3a:c8:63,,126,Unsuccessful Authentication (check status code) to Trusted AP
,1115,Authentication,2026-06-27T15:28:46.123845000Z,-16,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,ba:65:0e:3a:c8:63,,126,Unsuccessful Authentication (check status code) to Trusted AP
,1116,Authentication,2026-06-27T15:28:46.129625000Z,-15,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,ba:65:0e:3a:c8:63,,126,Unsuccessful Authentication (check status code) to Trusted AP
,1117,Authentication,2026-06-27T15:28:46.136289000Z,-14,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,ba:65:0e:3a:c8:63,,126,Unsuccessful Authentication (check status code) to Trusted AP
Dragonblood DoS,1118,Authentication,2026-06-27T15:28:46.289538000Z,-54,,78:72:64:ea:b9:14,4e:3b:51:b3:6a:c9,78:72:64:ea:b9:14,,126,Attacker is Sending Authentication request to trusted AP
,1119,Authentication,2026-06-27T15:28:46.357869000Z,-16,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,4e:3b:51:b3:6a:c9,,126,Unsuccessful Authentication (check status code) to Trusted AP
,1120,Authentication,2026-06-27T15:28:46.364378000Z,-15,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,4e:3b:51:b3:6a:c9,,126,Unsuccessful Authentication (check status code) to Trusted AP
,1121,Authentication,2026-06-27T15:28:46.370889000Z,-15,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,4e:3b:51:b3:6a:c9,,126,Unsuccessful Authentication (check status code) to Trusted AP
,1122,Authentication,2026-06-27T15:28:46.375942000Z,-14,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,4e:3b:51:b3:6a:c9,,126,Unsuccessful Authentication (check status code) to Trusted AP
Dragonblood DoS,1123,Authentication,2026-06-27T15:28:46.542491000Z,-54,,78:72:64:ea:b9:14,7a:5c:ce:82:a7:6d,78:72:64:ea:b9:14,,126,Attacker is Sending Authentication request to trusted AP
,1124,Authentication,2026-06-27T15:28:46.549562000Z,-15,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,7a:5c:ce:82:a7:6d,,76,Unsuccessful Authentication (check status code) to Trusted AP
,1125,Authentication,2026-06-27T15:28:46.554329000Z,-15,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,7a:5c:ce:82:a7:6d,,76,Unsuccessful Authentication (check status code) to Trusted AP
,1126,Authentication,2026-06-27T15:28:46.559255000Z,-15,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,7a:5c:ce:82:a7:6d,,76,Unsuccessful Authentication (check status code) to Trusted AP
,1127,Authentication,2026-06-27T15:28:46.564021000Z,-15,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,7a:5c:ce:82:a7:6d,,76,Unsuccessful Authentication (check status code) to Trusted AP
Dragonblood DoS,1129,Authentication,2026-06-27T15:28:46.804619000Z,-54,,78:72:64:ea:b9:14,6a:9f:4c:21:5d:b4,78:72:64:ea:b9:14,,126,Attacker is Sending Authentication request to trusted AP
,1130,Authentication,2026-06-27T15:28:46.811709000Z,-16,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,6a:9f:4c:21:5d:b4,,76,Unsuccessful Authentication (check status code) to Trusted AP
,1132,Authentication,2026-06-27T15:28:46.820763000Z,-16,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,6a:9f:4c:21:5d:b4,,76,Unsuccessful Authentication (check status code) to Trusted AP
,1133,Authentication,2026-06-27T15:28:46.825904000Z,-15,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,6a:9f:4c:21:5d:b4,,76,Unsuccessful Authentication (check status code) to Trusted AP
,1134,Authentication,2026-06-27T15:28:46.830361000Z,-14,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,6a:9f:4c:21:5d:b4,,76,Unsuccessful Authentication (check status code) to Trusted AP
Dragonblood DoS,1135,Authentication,2026-06-27T15:28:47.048373000Z,-53,,78:72:64:ea:b9:14,52:95:97:4d:c2:b6,78:72:64:ea:b9:14,,126,Attacker is Sending Authentication request to trusted AP
,1136,Authentication,2026-06-27T15:28:47.055234000Z,-15,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,52:95:97:4d:c2:b6,,76,Unsuccessful Authentication (check status code) to Trusted AP
,1137,Authentication,2026-06-27T15:28:47.060265000Z,-15,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,52:95:97:4d:c2:b6,,76,Unsuccessful Authentication (check status code) to Trusted AP
,1138,Authentication,2026-06-27T15:28:47.065031000Z,-16,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,52:95:97:4d:c2:b6,,76,Unsuccessful Authentication (check status code) to Trusted AP
,1139,Authentication,2026-06-27T15:28:47.069950000Z,-15,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,52:95:97:4d:c2:b6,,76,Unsuccessful Authentication (check status code) to Trusted AP
Dragonblood DoS,1141,Authentication,2026-06-27T15:28:47.165991000Z,-53,,78:72:64:ea:b9:14,7a:5c:ce:82:a7:6d,78:72:64:ea:b9:14,,126,Attacker is Sending Authentication request to trusted AP
Dragonblood DoS,1142,Authentication,2026-06-27T15:28:47.174177000Z,-53,,78:72:64:ea:b9:14,7a:5c:ce:82:a7:6d,78:72:64:ea:b9:14,,126,Attacker is Sending Authentication request to trusted AP
Dragonblood DoS,1143,Authentication,2026-06-27T15:28:47.203846000Z,-53,,78:72:64:ea:b9:14,7a:5c:ce:82:a7:6d,78:72:64:ea:b9:14,,126,Attacker is Sending Authentication request to trusted AP
,1144,Authentication,2026-06-27T15:28:47.247385000Z,-16,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,7a:5c:ce:82:a7:6d,,126,Unsuccessful Authentication (check status code) to Trusted AP
,1145,Authentication,2026-06-27T15:28:47.254058000Z,-15,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,7a:5c:ce:82:a7:6d,,126,Unsuccessful Authentication (check status code) to Trusted AP
,1146,Authentication,2026-06-27T15:28:47.260725000Z,-16,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,7a:5c:ce:82:a7:6d,,126,Unsuccessful Authentication (check status code) to Trusted AP
