host_timestamp,local_time,esp32_uptime_us,cpu_used_pct,ram_used_pct,throughput_bps,tcp_disconnects
1782560499.9726193,2026-06-27 13:41:39,10077905040,0.87,19.88,4.8,0
1782560504.9763455,2026-06-27 13:41:44,10082907040,1.18,19.88,4.8,0
1782560509.9757624,2026-06-27 13:41:49,10087909040,0.91,19.88,4.8,0
1782560514.987844,2026-06-27 13:41:54,10092911040,0.82,19.88,4.8,0
1782560519.987819,2026-06-27 13:41:59,10097913040,0.78,19.88,4.8,0
1782560525.0059977,2026-06-27 13:42:05,10102915040,1.08,19.88,4.8,0
1782560529.9826367,2026-06-27 13:42:09,10107917040,0.83,19.88,4.8,0
1782560534.9969661,2026-06-27 13:42:14,10112919040,0.82,19.88,4.8,0
1782560539.996964,2026-06-27 13:42:19,10117921040,0.86,19.88,4.8,0
1782560545.0016737,2026-06-27 13:42:24,10122923040,1.04,19.88,4.8,0
1782560549.9981878,2026-06-27 13:42:29,10127925040,0.98,19.88,4.8,0
1782560554.9975655,2026-06-27 13:42:34,10132927040,1.07,19.88,4.8,0
1782560560.001809,2026-06-27 13:42:39,10137929040,1.0,19.88,4.8,0
1782560565.0074928,2026-06-27 13:42:45,10142931040,1.01,19.88,4.8,0
1782560570.0057812,2026-06-27 13:42:50,10147933040,1.21,19.88,4.8,0
1782560575.0014405,2026-06-27 13:42:54,10152935040,0.99,19.88,4.8,0
1782560580.0045025,2026-06-27 13:43:00,10157937040,0.97,19.88,4.8,0
1782560585.0234542,2026-06-27 13:43:05,10162939040,0.84,19.89,4.8,0
1782560590.0408044,2026-06-27 13:43:10,10167941040,1.13,20.33,0.0,0
1782560595.0101814,2026-06-27 13:43:15,10172943038,0.85,19.83,4.8,0
1782560600.0099823,2026-06-27 13:43:20,10177945040,0.95,19.83,4.8,0
1782560605.0174792,2026-06-27 13:43:25,10182947040,0.89,19.83,4.8,0
1782560610.022193,2026-06-27 13:43:30,10187949040,1.12,19.83,4.8,0
1782560615.0283933,2026-06-27 13:43:35,10192951040,0.85,19.83,4.8,0
1782560620.0336971,2026-06-27 13:43:40,10197953040,0.87,19.83,4.8,0
1782560625.0275574,2026-06-27 13:43:45,10202955040,0.88,19.83,4.8,0
1782560630.0236177,2026-06-27 13:43:50,10207957040,1.16,19.83,4.8,0
1782560635.0346313,2026-06-27 13:43:55,10212959040,0.91,19.83,4.8,0
1782560640.0328658,2026-06-27 13:44:00,10217961040,0.91,19.83,4.8,0
1782560645.0297017,2026-06-27 13:44:05,10222963040,0.89,19.83,4.8,0
1782560650.0413573,2026-06-27 13:44:10,10227965040,1.1,19.83,4.8,0
1782560655.0438728,2026-06-27 13:44:15,10232967040,1.05,19.83,4.8,0
1782560660.0374618,2026-06-27 13:44:20,10237969040,0.93,19.83,4.8,0
1782560665.0417562,2026-06-27 13:44:25,10242971040,0.98,19.83,4.8,0
1782560670.062507,2026-06-27 13:44:30,10247973040,0.94,19.83,4.8,0
1782560675.0474482,2026-06-27 13:44:35,10252975040,1.17,19.83,4.8,0
1782560680.0516353,2026-06-27 13:44:40,10257977040,0.9,19.83,4.8,0
1782560685.0453386,2026-06-27 13:44:45,10262979040,0.88,19.83,4.8,0
1782560690.0568717,2026-06-27 13:44:50,10267981040,0.93,19.83,4.8,0
1782560695.06054,2026-06-27 13:44:55,10272983040,1.12,19.83,4.8,0
1782560700.054896,2026-06-27 13:45:00,10277985040,0.89,19.83,4.8,0
1782560705.0557945,2026-06-27 13:45:05,10282987040,0.9,19.83,4.8,0
1782560710.0589075,2026-06-27 13:45:10,10287989040,0.86,19.83,4.8,0
1782560715.062067,2026-06-27 13:45:15,10292991040,1.09,19.83,4.8,0
1782560720.058153,2026-06-27 13:45:20,10297993040,0.86,19.83,4.8,0
1782560725.0607805,2026-06-27 13:45:25,10302995040,0.87,19.83,4.8,0
1782560730.0670562,2026-06-27 13:45:30,10307997040,0.85,19.83,4.8,0
1782560735.0644505,2026-06-27 13:45:35,10312999040,1.2,19.83,4.8,0
1782560740.0679338,2026-06-27 13:45:40,10318001040,0.94,19.83,4.8,0
1782560745.0802002,2026-06-27 13:45:45,10323003087,0.93,19.83,4.8,0
1782560750.0726395,2026-06-27 13:45:50,10328005040,0.98,19.83,4.8,0
1782560755.0723302,2026-06-27 13:45:55,10333007040,1.22,19.83,4.8,0
1782560760.078943,2026-06-27 13:46:00,10338009040,1.03,19.83,4.8,0
1782560765.0859015,2026-06-27 13:46:05,10343011040,0.97,19.83,4.8,0
1782560770.080791,2026-06-27 13:46:10,10348013040,0.98,19.83,4.8,0
1782560775.078753,2026-06-27 13:46:15,10353015040,0.94,19.83,4.8,0
1782560780.0907888,2026-06-27 13:46:20,10358017040,1.17,19.83,4.8,0
1782560785.0851927,2026-06-27 13:46:25,10363019040,0.93,19.83,4.8,0
1782560790.0886886,2026-06-27 13:46:30,10368021040,0.87,19.83,4.8,0
1782560795.1020215,2026-06-27 13:46:35,10373023040,0.92,19.83,4.8,0
1782560800.0921814,2026-06-27 13:46:40,10378025040,1.09,19.83,4.8,0
1782560805.092226,2026-06-27 13:46:45,10383027040,0.87,19.83,4.8,0
1782560810.1003628,2026-06-27 13:46:50,10388029040,0.89,19.83,4.8,0
1782560815.1117215,2026-06-27 13:46:55,10393031040,0.81,19.83,4.8,0
1782560820.1085382,2026-06-27 13:47:00,10398033040,1.09,19.83,4.8,0
1782560825.1043725,2026-06-27 13:47:05,10403035040,0.83,19.83,4.8,0
1782560830.1002696,2026-06-27 13:47:10,10408037040,0.84,19.83,4.8,0
1782560835.112545,2026-06-27 13:47:15,10413039040,0.88,19.83,4.8,0
1782560840.111524,2026-06-27 13:47:20,10418041040,1.14,19.83,4.8,0
1782560845.1059732,2026-06-27 13:47:25,10423043040,0.9,19.83,4.8,0
1782560850.1144452,2026-06-27 13:47:30,10428045040,0.92,19.83,4.8,0
1782560855.1122017,2026-06-27 13:47:35,10433047040,0.88,19.83,4.8,0
1782560860.1228762,2026-06-27 13:47:40,10438049040,1.02,19.83,4.8,0
1782560865.118377,2026-06-27 13:47:45,10443051040,0.93,19.83,4.8,0
1782560870.1159754,2026-06-27 13:47:50,10448053040,0.87,19.83,4.8,0
1782560875.121335,2026-06-27 13:47:55,10453055040,0.85,19.83,4.8,0
1782560880.1203008,2026-06-27 13:48:00,10458057040,0.91,19.83,4.8,0
1782560885.1323507,2026-06-27 13:48:05,10463059040,1.02,19.83,4.8,0
1782560890.1297536,2026-06-27 13:48:10,10468061040,0.81,19.83,4.8,0
1782560895.1277604,2026-06-27 13:48:15,10473063040,0.89,19.83,4.8,0
1782560900.133514,2026-06-27 13:48:20,10478065040,0.86,19.83,4.8,0
1782560905.1339078,2026-06-27 13:48:25,10483067040,1.16,19.83,4.8,0
1782560910.135592,2026-06-27 13:48:30,10488069040,0.98,19.83,4.8,0
1782560915.137961,2026-06-27 13:48:35,10493071040,0.98,19.83,4.8,0
1782560920.150653,2026-06-27 13:48:40,10498073040,0.94,19.83,4.8,0
1782560925.147086,2026-06-27 13:48:45,10503075040,1.19,19.83,4.8,0
1782560930.1681046,2026-06-27 13:48:50,10508077040,0.96,19.83,4.8,0
1782560935.1525514,2026-06-27 13:48:55,10513079040,1.04,19.83,4.8,0
1782560940.1435266,2026-06-27 13:49:00,10518081040,0.9,19.83,4.8,0
1782560945.1521485,2026-06-27 13:49:05,10523083040,1.13,19.83,4.8,0
1782560950.1522002,2026-06-27 13:49:10,10528085040,0.86,19.83,4.8,0
1782560955.1513512,2026-06-27 13:49:15,10533087040,0.83,19.83,4.8,0
