packet_number,timestamp,frame_name,frame_len,length,dbm_antsignal,channel_freq,type,subtype,ds,frag,retry,pwrmgt,moredata,protected,duration,label
2,2026-06-27T12:05:19.366173000Z,S1G Beacon,129,34,-18,920,3,1,,,,,,,0,0
3,2026-06-27T12:05:20.183584000Z,S1G Beacon,61,34,-18,920,3,1,,,,,,,0,0
4,2026-06-27T12:05:20.876999000Z,Data,287,34,-20,920,2,0,0,0,0,0,0,1,0,0
5,2026-06-27T12:05:21.704700000Z,QoS Data,148,34,-13,920,2,8,1,0,0,0,0,1,720,0
7,2026-06-27T12:05:21.707053000Z,QoS Data,148,34,-26,920,2,8,0,0,0,0,0,1,720,0
10,2026-06-27T12:05:21.714931000Z,QoS Data,131,34,-27,920,2,8,0,0,0,0,0,1,720,0
11,2026-06-27T12:05:21.719240000Z,QoS Data,131,34,-26,920,2,8,0,0,1,0,0,1,720,0
13,2026-06-27T12:05:21.822037000Z,S1G Beacon,61,34,-19,920,3,1,,,,,,,0,0
14,2026-06-27T12:05:21.904024000Z,QoS Data,128,34,-13,920,2,8,1,0,0,0,0,1,720,0
16,2026-06-27T12:05:21.906352000Z,QoS Data,128,34,-27,920,2,8,0,0,0,0,0,1,720,0
18,2026-06-27T12:05:22.643089000Z,S1G Beacon,129,34,-19,920,3,1,,,,,,,0,0
19,2026-06-27T12:05:23.901053000Z,Data,287,34,-21,920,2,0,0,0,0,0,0,1,0,0
20,2026-06-27T12:05:24.281505000Z,S1G Beacon,129,34,-20,920,3,1,,,,,,,0,0
22,2026-06-27T12:05:25.098939000Z,S1G Beacon,61,34,-20,920,3,1,,,,,,,0,0
23,2026-06-27T12:05:25.829194000Z,Data,132,34,-19,920,2,0,0,0,0,0,0,1,0,0
24,2026-06-27T12:05:25.919954000Z,S1G Beacon,129,34,-20,920,3,1,,,,,,,0,0
25,2026-06-27T12:05:26.732885000Z,QoS Data,149,34,-13,920,2,8,1,0,0,0,0,1,720,0
27,2026-06-27T12:05:26.737380000Z,S1G Beacon,61,34,-19,920,3,1,,,,,,,0,0
28,2026-06-27T12:05:26.739338000Z,QoS Data,149,34,-27,920,2,8,0,0,0,0,0,1,720,0
29,2026-06-27T12:05:26.743582000Z,QoS Data,149,34,-26,920,2,8,0,0,1,0,0,1,720,0
32,2026-06-27T12:05:26.751703000Z,QoS Data,131,34,-28,920,2,8,0,0,0,0,0,1,720,0
34,2026-06-27T12:05:26.904023000Z,QoS Data,128,34,-13,920,2,8,1,0,0,0,0,1,720,0
36,2026-06-27T12:05:27.558411000Z,S1G Beacon,129,34,-19,920,3,1,,,,,,,0,0
37,2026-06-27T12:05:28.375826000Z,S1G Beacon,61,34,-19,920,3,1,,,,,,,0,0
38,2026-06-27T12:05:29.080001000Z,Data,378,34,-19,920,2,0,0,0,0,0,0,1,0,0
39,2026-06-27T12:05:29.183826000Z,Data,387,34,-19,920,2,0,0,0,0,0,0,1,0,0
40,2026-06-27T12:05:29.196858000Z,S1G Beacon,129,34,-20,920,3,1,,,,,,,0,0
41,2026-06-27T12:05:29.289585000Z,Data,450,34,-19,920,2,0,0,0,0,0,0,1,0,0
42,2026-06-27T12:05:29.393401000Z,Data,442,34,-20,920,2,0,0,0,0,0,0,1,0,0
43,2026-06-27T12:05:29.495991000Z,Data,387,34,-20,920,2,0,0,0,0,0,0,1,0,0
44,2026-06-27T12:05:29.808122000Z,Data,387,34,-19,920,2,0,0,0,0,0,0,1,0,0
45,2026-06-27T12:05:29.913390000Z,Data,446,34,-19,920,2,0,0,0,0,0,0,1,0,0
46,2026-06-27T12:05:29.949335000Z,Data,287,34,-21,920,2,0,0,0,0,0,0,1,0,0
47,2026-06-27T12:05:30.014275000Z,S1G Beacon,61,34,-19,920,3,1,,,,,,,0,0
48,2026-06-27T12:05:30.026819000Z,Data,440,34,-20,920,2,0,0,0,0,0,0,1,0,0
49,2026-06-27T12:05:30.119968000Z,Data,387,34,-19,920,2,0,0,0,0,0,0,1,0,0
50,2026-06-27T12:05:30.329806000Z,Data,452,34,-20,920,2,0,0,0,0,0,0,1,0,0
51,2026-06-27T12:05:30.835311000Z,S1G Beacon,129,34,-20,920,3,1,,,,,,,0,0
52,2026-06-27T12:05:31.764651000Z,QoS Data,148,34,-14,920,2,8,1,0,0,0,0,1,720,0
56,2026-06-27T12:05:31.775322000Z,QoS Data,131,34,-28,920,2,8,0,0,0,0,0,1,720,0
58,2026-06-27T12:05:31.904057000Z,QoS Data,128,34,-14,920,2,8,1,0,0,0,0,1,720,0
59,2026-06-27T12:05:31.906538000Z,QoS Data,128,34,-27,920,2,8,0,0,0,0,0,1,720,0
61,2026-06-27T12:05:32.473757000Z,S1G Beacon,129,34,-21,920,3,1,,,,,,,0,0
62,2026-06-27T12:05:32.973287000Z,Data,287,34,-20,920,2,0,0,0,0,0,0,1,0,0
