attack_type,packet Number,event_type,time_stamp,signal_strength,ssid,bssid,src,dst,reason,status,details
,22,Deauthentication,2026-06-23T13:19:58.264990000Z,-16,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,36:b3:34:e4:ea:b2,2,,Legitimate Deauthentication frame not sent by attacker
,23,Deauthentication,2026-06-23T13:19:58.268047000Z,-17,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,36:b3:34:e4:ea:b2,2,,Legitimate Deauthentication frame not sent by attacker
,24,Deauthentication,2026-06-23T13:19:58.271322000Z,-17,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,36:b3:34:e4:ea:b2,2,,Legitimate Deauthentication frame not sent by attacker
,25,Deauthentication,2026-06-23T13:19:58.274334000Z,-17,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,36:b3:34:e4:ea:b2,2,,Legitimate Deauthentication frame not sent by attacker
,96,Deauthentication,2026-06-23T13:20:10.906200000Z,-17,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,d6:7e:9f:2d:0a:13,2,,Legitimate Deauthentication frame not sent by attacker
,97,Deauthentication,2026-06-23T13:20:10.909305000Z,-17,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,d6:7e:9f:2d:0a:13,2,,Legitimate Deauthentication frame not sent by attacker
,98,Deauthentication,2026-06-23T13:20:10.911951000Z,-17,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,d6:7e:9f:2d:0a:13,2,,Legitimate Deauthentication frame not sent by attacker
,99,Deauthentication,2026-06-23T13:20:10.915220000Z,-17,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,d6:7e:9f:2d:0a:13,2,,Legitimate Deauthentication frame not sent by attacker
,195,Authentication,2026-06-23T13:20:33.228089000Z,-16,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,42:77:5b:7c:65:4f,,126,Unsuccessful Authentication (check status code) to Trusted AP
,196,Authentication,2026-06-23T13:20:33.233999000Z,-16,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,42:77:5b:7c:65:4f,,126,Unsuccessful Authentication (check status code) to Trusted AP
,197,Authentication,2026-06-23T13:20:33.239728000Z,-15,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,42:77:5b:7c:65:4f,,126,Unsuccessful Authentication (check status code) to Trusted AP
,198,Authentication,2026-06-23T13:20:33.245515000Z,-15,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,42:77:5b:7c:65:4f,,126,Unsuccessful Authentication (check status code) to Trusted AP
Dragonblood DoS,200,Authentication,2026-06-23T13:20:33.274595000Z,-63,,78:72:64:ea:b9:14,42:77:5b:7c:65:4f,78:72:64:ea:b9:14,,126,Attacker is Sending Authentication request to trusted AP
,201,Authentication,2026-06-23T13:20:33.309184000Z,-15,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,42:77:5b:7c:65:4f,,126,Unsuccessful Authentication (check status code) to Trusted AP
,202,Authentication,2026-06-23T13:20:33.314970000Z,-17,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,42:77:5b:7c:65:4f,,126,Unsuccessful Authentication (check status code) to Trusted AP
,203,Authentication,2026-06-23T13:20:33.320710000Z,-16,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,42:77:5b:7c:65:4f,,126,Unsuccessful Authentication (check status code) to Trusted AP
,204,Authentication,2026-06-23T13:20:33.326590000Z,-15,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,42:77:5b:7c:65:4f,,126,Unsuccessful Authentication (check status code) to Trusted AP
Dragonblood DoS,205,Authentication,2026-06-23T13:20:33.389289000Z,-64,,78:72:64:ea:b9:14,5a:e9:dc:63:bb:bf,78:72:64:ea:b9:14,,126,Attacker is Sending Authentication request to trusted AP
,206,Authentication,2026-06-23T13:20:33.456226000Z,-15,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,5a:e9:dc:63:bb:bf,,126,Unsuccessful Authentication (check status code) to Trusted AP
