packet_number,frame_name,frame_len,length,dbm_antsignal,channel_freq,type,subtype,ds,frag,retry,pwrmgt,moredata,protected,duration,label
1,S1G Beacon,61,34,0,920,3,1,,,,,,,0,1
2,S1G Beacon,129,34,-30,920,3,1,,,,,,,0,1
3,S1G Beacon,132,34,0,920,3,1,,,,,,,0,1
4,S1G Beacon,61,34,0,920,3,1,,,,,,,0,1
5,S1G Beacon,132,34,0,920,3,1,,,,,,,0,1
6,S1G Beacon,61,34,0,920,3,1,,,,,,,0,1
7,S1G Beacon,132,34,0,920,3,1,,,,,,,0,1
8,S1G Beacon,61,34,0,920,3,1,,,,,,,0,1
9,S1G Beacon,132,34,0,920,3,1,,,,,,,0,1
10,S1G Beacon,61,34,0,920,3,1,,,,,,,0,1
11,S1G Beacon,61,34,-29,920,3,1,,,,,,,0,1
12,S1G Beacon,132,34,0,920,3,1,,,,,,,0,1
13,S1G Beacon,61,34,0,920,3,1,,,,,,,0,1
14,S1G Beacon,132,34,0,920,3,1,,,,,,,0,1
15,S1G Beacon,61,34,0,920,3,1,,,,,,,0,1
17,S1G Beacon,132,34,0,920,3,1,,,,,,,0,1
18,S1G Beacon,132,34,0,920,3,1,,,,,,,0,1
19,S1G Beacon,61,34,0,920,3,1,,,,,,,0,1
20,S1G Beacon,129,34,-30,920,3,1,,,,,,,0,1
21,S1G Beacon,132,34,0,920,3,1,,,,,,,0,1
22,S1G Beacon,61,34,0,920,3,1,,,,,,,0,1
23,S1G Beacon,132,34,0,920,3,1,,,,,,,0,1
24,S1G Beacon,61,34,0,920,3,1,,,,,,,0,1
25,S1G Beacon,132,34,0,920,3,1,,,,,,,0,1
26,S1G Beacon,61,34,0,920,3,1,,,,,,,0,1
27,S1G Beacon,132,34,0,920,3,1,,,,,,,0,1
28,S1G Beacon,61,34,0,920,3,1,,,,,,,0,1
29,S1G Beacon,61,34,-31,920,3,1,,,,,,,0,1
30,S1G Beacon,132,34,0,920,3,1,,,,,,,0,1
31,S1G Beacon,61,34,0,920,3,1,,,,,,,0,1
32,S1G Beacon,132,34,0,920,3,1,,,,,,,0,1
33,S1G Beacon,61,34,0,920,3,1,,,,,,,0,1
34,S1G Beacon,132,34,0,920,3,1,,,,,,,0,1
35,S1G Beacon,61,34,0,920,3,1,,,,,,,0,1
36,S1G Beacon,132,34,0,920,3,1,,,,,,,0,1
37,S1G Beacon,61,34,0,920,3,1,,,,,,,0,1
38,S1G Beacon,129,34,-31,920,3,1,,,,,,,0,1
39,S1G Beacon,132,34,0,920,3,1,,,,,,,0,1
40,S1G Beacon,61,34,0,920,3,1,,,,,,,0,1
41,S1G Beacon,132,34,0,920,3,1,,,,,,,0,1
42,S1G Beacon,61,34,0,920,3,1,,,,,,,0,1
43,S1G Beacon,132,34,0,920,3,1,,,,,,,0,1
44,S1G Beacon,61,34,0,920,3,1,,,,,,,0,1
45,S1G Beacon,132,34,0,920,3,1,,,,,,,0,1
46,S1G Beacon,61,34,0,920,3,1,,,,,,,0,1
47,S1G Beacon,61,34,-31,920,3,1,,,,,,,0,1
48,S1G Beacon,132,34,0,920,3,1,,,,,,,0,1
49,S1G Beacon,61,34,0,920,3,1,,,,,,,0,1
50,S1G Beacon,132,34,0,920,3,1,,,,,,,0,1
51,S1G Beacon,61,34,0,920,3,1,,,,,,,0,1
52,S1G Beacon,132,34,0,920,3,1,,,,,,,0,1
53,S1G Beacon,61,34,0,920,3,1,,,,,,,0,1
54,S1G Beacon,132,34,0,920,3,1,,,,,,,0,1
55,S1G Beacon,61,34,0,920,3,1,,,,,,,0,1
56,S1G Beacon,129,34,-29,920,3,1,,,,,,,0,1
57,S1G Beacon,132,34,0,920,3,1,,,,,,,0,1
58,S1G Beacon,61,34,0,920,3,1,,,,,,,0,1
59,S1G Beacon,132,34,0,920,3,1,,,,,,,0,1
60,S1G Beacon,61,34,0,920,3,1,,,,,,,0,1
61,S1G Beacon,132,34,0,920,3,1,,,,,,,0,1
62,S1G Beacon,61,34,0,920,3,1,,,,,,,0,1
63,S1G Beacon,132,34,0,920,3,1,,,,,,,0,1
64,S1G Beacon,61,34,0,920,3,1,,,,,,,0,1
65,S1G Beacon,61,34,-29,920,3,1,,,,,,,0,1
66,S1G Beacon,132,34,0,920,3,1,,,,,,,0,1
67,S1G Beacon,61,34,0,920,3,1,,,,,,,0,1
68,S1G Beacon,132,34,0,920,3,1,,,,,,,0,1
69,S1G Beacon,61,34,0,920,3,1,,,,,,,0,1
70,S1G Beacon,132,34,0,920,3,1,,,,,,,0,1
71,S1G Beacon,61,34,0,920,3,1,,,,,,,0,1
72,S1G Beacon,132,34,0,920,3,1,,,,,,,0,1
73,Probe Request,81,34,-6,920,0,4,0,0,0,0,0,0,0,0
74,Probe Response,186,34,0,920,0,5,0,0,0,0,0,0,720,1
76,Probe Response,193,34,-31,920,0,5,0,0,0,0,0,0,720,0
78,S1G Beacon,61,34,0,920,3,1,,,,,,,0,1
79,S1G Beacon,129,34,-31,920,3,1,,,,,,,0,1
80,S1G Beacon,132,34,0,920,3,1,,,,,,,0,1
81,S1G Beacon,61,34,0,920,3,1,,,,,,,0,1
82,S1G Beacon,132,34,0,920,3,1,,,,,,,0,1
83,S1G Beacon,61,34,0,920,3,1,,,,,,,0,1
84,S1G Beacon,132,34,0,920,3,1,,,,,,,0,1
