packet_number,timestamp,frame_name,frame_len,length,dbm_antsignal,channel_freq,type,subtype,ds,frag,retry,pwrmgt,moredata,protected,duration,label
1,,S1G Beacon,61,34,-46,920,3,1,,,,,,,0,1
3,,S1G Beacon,129,34,-46,920,3,1,,,,,,,0,1
4,,S1G Beacon,61,34,-46,920,3,1,,,,,,,0,1
5,,S1G Beacon,129,34,-46,920,3,1,,,,,,,0,1
7,,S1G Beacon,61,34,-48,920,3,1,,,,,,,0,1
13,,S1G Beacon,129,34,-43,920,3,1,,,,,,,0,1
21,,S1G Beacon,61,34,-43,920,3,1,,,,,,,0,1
24,,S1G Beacon,129,34,-47,920,3,1,,,,,,,0,1
25,,S1G Beacon,61,34,-46,920,3,1,,,,,,,0,1
27,,S1G Beacon,129,34,-46,920,3,1,,,,,,,0,1
28,,S1G Beacon,61,34,-45,920,3,1,,,,,,,0,1
29,,S1G Beacon,129,34,-46,920,3,1,,,,,,,0,1
30,,Probe Request,81,34,-27,920,0,4,0,0,0,0,0,0,0,0
31,,Probe Response,168,34,-45,920,0,5,0,0,0,0,0,0,720,0
34,,S1G Beacon,61,34,-45,920,3,1,,,,,,,0,1
36,,S1G Beacon,129,34,-44,920,3,1,,,,,,,0,1
37,,S1G Beacon,61,34,-46,920,3,1,,,,,,,0,1
38,,S1G Beacon,129,34,-47,920,3,1,,,,,,,0,1
39,,Authentication,68,34,-30,920,0,11,0,0,1,0,0,0,720,0
40,,Authentication,68,34,-46,920,0,11,0,0,0,0,0,0,720,0
42,,Association Request,124,34,-28,920,0,0,0,0,0,0,0,0,720,0
43,,Association Response,155,34,-51,920,0,1,0,0,0,0,0,0,720,0
46,,Action,71,34,-27,920,0,13,0,0,0,0,0,0,720,0
48,,Action,71,34,-47,920,0,13,0,0,0,0,0,0,720,0
54,,S1G Beacon,61,34,-45,920,3,1,,,,,,,0,1
63,,S1G Beacon,129,34,-47,920,3,1,,,,,,,0,1
67,,S1G Beacon,61,34,-45,920,3,1,,,,,,,0,1
71,,S1G Beacon,129,34,-46,920,3,1,,,,,,,0,1
74,,S1G Beacon,61,34,-45,920,3,1,,,,,,,0,1
75,,S1G Beacon,129,34,-46,920,3,1,,,,,,,0,1
