attack_type,packet Number,event_type,time_stamp,signal_strength,ssid,bssid,src,dst,reason,status,details
,73,Probe Request,,-6,,ff:ff:ff:ff:ff:ff,3c:22:7f:71:df:d6,ff:ff:ff:ff:ff:ff,,,STA is broadcasting probe request
Evil Twin Attack,74,Probe Response,,0,eviltwin,9c:04:b6:46:07:34,9c:04:b6:46:07:34,3c:22:7f:71:df:d6,,,Evil Twin is sending probe response to STA
,76,Probe Response,,-31,H7608,78:72:64:ea:b9:14,78:72:64:ea:b9:14,3c:22:7f:71:df:d6,,,Trusted AP is sending probe response to STA
Dragonblood DoS,126,Authentication,,-64,,78:72:64:ea:b9:14,32:8a:86:e5:48:b4,78:72:64:ea:b9:14,,126,Attacker is Sending Authentication request to trusted AP
Dragonblood DoS,127,Authentication,,-66,,78:72:64:ea:b9:14,6e:3a:9e:32:b3:bf,78:72:64:ea:b9:14,,126,Attacker is Sending Authentication request to trusted AP
Dragonblood DoS,128,Authentication,,-65,,78:72:64:ea:b9:14,06:56:ed:f4:77:57,78:72:64:ea:b9:14,,126,Attacker is Sending Authentication request to trusted AP
Dragonblood DoS,130,Authentication,,-63,,78:72:64:ea:b9:14,7e:5b:51:3d:17:cd,78:72:64:ea:b9:14,,126,Attacker is Sending Authentication request to trusted AP
Dragonblood DoS,131,Authentication,,-64,,78:72:64:ea:b9:14,d2:09:2c:ba:e2:7f,78:72:64:ea:b9:14,,126,Attacker is Sending Authentication request to trusted AP
Dragonblood DoS,132,Authentication,,-65,,78:72:64:ea:b9:14,8e:78:24:37:7c:22,78:72:64:ea:b9:14,,126,Attacker is Sending Authentication request to trusted AP
Dragonblood DoS,133,Authentication,,-66,,78:72:64:ea:b9:14,f6:67:e1:3d:fb:78,78:72:64:ea:b9:14,,126,Attacker is Sending Authentication request to trusted AP
Dragonblood DoS,134,Authentication,,-63,,78:72:64:ea:b9:14,2a:92:b7:a7:da:77,78:72:64:ea:b9:14,,126,Attacker is Sending Authentication request to trusted AP
,135,Authentication,,-29,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,32:8a:86:e5:48:b4,,126,Unsuccessful Authentication (check status code) to Trusted AP
,136,Authentication,,-30,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,32:8a:86:e5:48:b4,,126,Unsuccessful Authentication (check status code) to Trusted AP
,137,Authentication,,-30,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,32:8a:86:e5:48:b4,,126,Unsuccessful Authentication (check status code) to Trusted AP
,138,Authentication,,-30,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,32:8a:86:e5:48:b4,,126,Unsuccessful Authentication (check status code) to Trusted AP
Dragonblood DoS,139,Authentication,,-63,,78:72:64:ea:b9:14,1a:7a:69:6d:25:89,78:72:64:ea:b9:14,,126,Attacker is Sending Authentication request to trusted AP
Dragonblood DoS,141,Authentication,,-64,,78:72:64:ea:b9:14,9a:c2:36:fb:45:a3,78:72:64:ea:b9:14,,126,Attacker is Sending Authentication request to trusted AP
Dragonblood DoS,142,Authentication,,-63,,78:72:64:ea:b9:14,fe:b1:b3:68:94:29,78:72:64:ea:b9:14,,126,Attacker is Sending Authentication request to trusted AP
Dragonblood DoS,143,Authentication,,-64,,78:72:64:ea:b9:14,b6:85:e5:59:c1:75,78:72:64:ea:b9:14,,126,Attacker is Sending Authentication request to trusted AP
Dragonblood DoS,144,Authentication,,-63,,78:72:64:ea:b9:14,9a:9a:79:0e:32:14,78:72:64:ea:b9:14,,126,Attacker is Sending Authentication request to trusted AP
Dragonblood DoS,145,Authentication,,-63,,78:72:64:ea:b9:14,42:25:10:f5:1b:6f,78:72:64:ea:b9:14,,126,Attacker is Sending Authentication request to trusted AP
Dragonblood DoS,146,Authentication,,-64,,78:72:64:ea:b9:14,6e:3f:fd:71:cf:b2,78:72:64:ea:b9:14,,126,Attacker is Sending Authentication request to trusted AP
Dragonblood DoS,147,Authentication,,-64,,78:72:64:ea:b9:14,86:3f:89:b0:cb:96,78:72:64:ea:b9:14,,126,Attacker is Sending Authentication request to trusted AP
Dragonblood DoS,149,Authentication,,-65,,78:72:64:ea:b9:14,86:ba:ea:75:fa:e3,78:72:64:ea:b9:14,,126,Attacker is Sending Authentication request to trusted AP
Dragonblood DoS,150,Authentication,,-64,,78:72:64:ea:b9:14,aa:aa:dd:a6:aa:fd,78:72:64:ea:b9:14,,126,Attacker is Sending Authentication request to trusted AP
,151,Authentication,,-29,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,6e:3a:9e:32:b3:bf,,126,Unsuccessful Authentication (check status code) to Trusted AP
,152,Authentication,,-30,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,6e:3a:9e:32:b3:bf,,126,Unsuccessful Authentication (check status code) to Trusted AP
,153,Authentication,,-29,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,6e:3a:9e:32:b3:bf,,126,Unsuccessful Authentication (check status code) to Trusted AP
